Name,Text
TID_ACHIEVEMENT_0,Meet The Challenge
TID_ACHIEVEMENT_1,Journeyman Fighter
TID_ACHIEVEMENT_2,Combat Veteran
TID_ACHIEVEMENT_3,Road Warrior
TID_ACHIEVEMENT_4,Warfighter
TID_ACHIEVEMENT_5,People's Champion
TID_ACHIEVEMENT_6,To The Max
TID_ACHIEVEMENT_7,And Beyond
TID_ACHIEVEMENT_8,Pocket Money
TID_ACHIEVEMENT_9,Serious Cash
TID_ACHIEVEMENT_10,Loaded
TID_ACHIEVEMENT_11,Walking Bank
TID_ACHIEVEMENT_12,Millionaire
TID_ACHIEVEMENT_13,Flat Broke
TID_ACHIEVEMENT_14,Big Spender
TID_ACHIEVEMENT_15,Visitor
TID_ACHIEVEMENT_16,Tourist
TID_ACHIEVEMENT_17,Traveler
TID_ACHIEVEMENT_18,Explorer
TID_ACHIEVEMENT_19,Discoverer
TID_ACHIEVEMENT_20,Island Trotter
TID_ACHIEVEMENT_21,Hired Help
TID_ACHIEVEMENT_22,Team Player
TID_ACHIEVEMENT_23,First Blood
TID_ACHIEVEMENT_24,Number One
TID_ACHIEVEMENT_25,Premium Coverage
TID_ACHIEVEMENT_26,Bang! You're Dead
TID_ACHIEVEMENT_27,Serious Pro
TID_ACHIEVEMENT_28,That's Just Weird
TID_ACHIEVEMENT_29,Geared Up
TID_ACHIEVEMENT_30,Standard Issue
TID_ACHIEVEMENT_31,Mean and Green
TID_ACHIEVEMENT_32,True Blue
TID_ACHIEVEMENT_33,Purple Is The New Black
TID_ACHIEVEMENT_34,Gunman
TID_ACHIEVEMENT_35,Sharpshooter
TID_ACHIEVEMENT_36,Heavy Artillery
TID_ACHIEVEMENT_37,Basher
TID_ACHIEVEMENT_38,Smasher
TID_ACHIEVEMENT_39,Fortress Crasher
TID_ACHIEVEMENT_40,Cerebral
TID_ACHIEVEMENT_41,Brilliant
TID_ACHIEVEMENT_42,Genius
TID_ACHIEVEMENT_43,Tough
TID_ACHIEVEMENT_44,Unbreakable
TID_ACHIEVEMENT_45,Made Of Sterner Stuff
TID_ACHIEVEMENT_46,Celebrity
TID_ACHIEVEMENT_47,Household Name
TID_ACHIEVEMENT_48,Incredibly Credible
TID_ACHIEVEMENT_49,TAXI!
TID_ACHIEVEMENT_50,"Driver, Take Me To Sydney"
TID_ACHIEVEMENT_51,Divide and Conquer
TID_ACHIEVEMENT_52,Best Day Ever!
TID_ACHIEVEMENT_0_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_1_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_2_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_3_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_4_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_5_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_6_DESCRIPTION,Reach level <NUMBER>
TID_ACHIEVEMENT_7_DESCRIPTION,Exceed the Level Cap (30)
TID_ACHIEVEMENT_8_DESCRIPTION,Collect $<NUMBER>
TID_ACHIEVEMENT_9_DESCRIPTION,Collect $<NUMBER>
TID_ACHIEVEMENT_10_DESCRIPTION,Collect $<NUMBER>
TID_ACHIEVEMENT_11_DESCRIPTION,Collect $<NUMBER>
TID_ACHIEVEMENT_12_DESCRIPTION,Collect $<NUMBER>
TID_ACHIEVEMENT_13_DESCRIPTION,Have 0 Diamonds and Cash
TID_ACHIEVEMENT_14_DESCRIPTION,Buy something worth at least 30 diamonds
TID_ACHIEVEMENT_15_DESCRIPTION,Discover <NUMBER> areas
TID_ACHIEVEMENT_16_DESCRIPTION,Discover <NUMBER> areas
TID_ACHIEVEMENT_17_DESCRIPTION,Discover <NUMBER> areas
TID_ACHIEVEMENT_18_DESCRIPTION,Discover <NUMBER> areas
TID_ACHIEVEMENT_19_DESCRIPTION,Discover <NUMBER> areas
