Name,Deprecated,Type,TypeCount,Points,Image,Category,ListPriority
Meet The Challenge,,ReachExpLevel,2,10,graphics/achievement_icons/meetthechallenge.png,Character,
Journeyman Fighter,,ReachExpLevel,5,5,graphics/achievement_icons/journeymanfighter.png,Character,
Combat Veteran,,ReachExpLevel,10,5,graphics/achievement_icons/combatveteran.png,Character,
Road Warrior,,ReachExpLevel,15,5,graphics/achievement_icons/roadwarrior.png,Character,
Warfighter,,ReachExpLevel,20,5,graphics/achievement_icons/warfighter.png,Character,
People's Champion,,ReachExpLevel,25,5,graphics/achievement_icons/peopleschampion.png,Character,
To The Max,,ReachExpLevel,30,5,graphics/achievement_icons/tothemax.png,Character,
And Beyond,,GetPrestigeLevel,,20,graphics/achievement_icons/andbeyond.png,Character,
Pocket Money,,CollectCash,1000,5,graphics/achievement_icons/pocketmoney.png,Character,
Serious Cash,,CollectCash,10000,10,graphics/achievement_icons/seriouscash.png,Character,
Loaded,,CollectCash,50000,15,graphics/achievement_icons/loaded.png,Character,
Walking Bank,,CollectCash,100000,20,graphics/achievement_icons/walkingbank.png,Character,
Millionaire,,CollectCash,1000000,25,graphics/achievement_icons/millionare.png,Character,
Flat Broke,,Have0Money,,5,graphics/achievement_icons/flatbroke.png,Character,
Big Spender,,BuySomethingWithDiamondsCost,30,10,graphics/achievement_icons/bigspender.png,Character,
Visitor,,DiscoverAreaCount,5,5,graphics/achievement_icons/visitor.png,Exploration,
Tourist,,DiscoverAreaCount,10,5,graphics/achievement_icons/tourist.png,Exploration,
Traveler,,DiscoverAreaCount,25,5,graphics/achievement_icons/traveller.png,Exploration,
Explorer,,DiscoverAreaCount,50,5,graphics/achievement_icons/explorer.png,Exploration,
Discoverer,,DiscoverAreaCount,100,5,graphics/achievement_icons/discoverer.png,Exploration,
Island Trotter,,DiscoverAllAreas,,10,graphics/achievement_icons/islandtrotter.png,Exploration,
Hired Help,,HireMercenary,,5,graphics/achievement_icons/hiredhelp.png,Multiplayer,
Team Player,,BePartOfGroup,,10,graphics/achievement_icons/teamplayer.png,Multiplayer,
First Blood,,PVPKill,,10,graphics/achievement_icons/firstblood.png,Multiplayer,
Number One,,TopPVPLeaderboard,,5,graphics/achievement_icons/numberone.png,Multiplayer,
Premium Coverage,,UseDiamondResurrection,,10,graphics/achievement_icons/premiumcoverage.png,Special Feats,
Bang! You're Dead,,Die,,5,graphics/achievement_icons/bangdead.png,Special Feats,
Serious Pro,,GetAllSkills,,25,graphics/achievement_icons/seriouspro.png,Character,
That's Just Weird,,KillSomeoneNaked,,5,graphics/achievement_icons/thatsjustweird.png,Special Feats,
Geared Up,,AllEquipmentPoor,,5,graphics/achievement_icons/gearedup.png,Character,
Standard Issue,,AllEquipmentWithCommonOrBetter,,5,graphics/achievement_icons/standardissue.png,Character,
Mean and Green,,AllEquipmentWithUncommonOrBetter,,10,graphics/achievement_icons/meangreen.png,Character,
True Blue,,AllEquipmentWithRareOrBetter,,25,graphics/achievement_icons/trueblue.png,Character,
Purple Is The New Black,,AllEquipmentWithEpicOrBetter,,50,graphics/achievement_icons/newblack.png,Character,
Gunman,,GetRangedPower,100,5,graphics/achievement_icons/gunman.png,Character,
Sharpshooter,,GetRangedPower,200,10,graphics/achievement_icons/sharpshooter.png,Character,
Heavy Artillery,,GetRangedPower,300,15,graphics/achievement_icons/heavyartillery.png,Character,
Basher,,GetMeleePower,100,5,graphics/achievement_icons/basher.png,Character,
Smasher,,GetMeleePower,200,10,graphics/achievement_icons/smasher.png,Character,
Fortress Crasher,,GetMeleePower,300,15,graphics/achievement_icons/fortresscrasher.png,Character,
Cerebral,,GetEnergy,250,5,graphics/achievement_icons/cerebral.png,Character,
Brilliant,,GetEnergy,300,10,graphics/achievement_icons/brilliant.png,Character,
Genius,,GetEnergy,400,15,graphics/achievement_icons/genius.png,Character,
Tough,,GetHealth,1000,5,graphics/achievement_icons/tough.png,Character,
Unbreakable,,GetHealth,1600,10,graphics/achievement_icons/unbreakable.png,Character,
Made Of Sterner Stuff,,GetHealth,2200,15,graphics/achievement_icons/madeofsterner.png,Character,
Celebrity,TRUE,GetCredibility,100,5,graphics/achievement_icons/achievement_unlocked_icon.png,Character,
Household Name,TRUE,GetCredibility,200,10,graphics/achievement_icons/achievement_unlocked_icon.png,Character,
Incredibly Credible,TRUE,GetCredibility,300,15,graphics/achievement_icons/achievement_unlocked_icon.png,Character,
TAXI!,TRUE,UseTaxi,,1,graphics/achievement_icons/achievement_unlocked_icon.png,Exploration,
"Driver, Take Me To Sydney",TRUE,TakeLongestTaxiRide,,20,graphics/achievement_icons/achievement_unlocked_icon.png,Exploration,
Divide and Conquer,,AllGroupMembersInDifferentAreas,4,5,graphics/achievement_icons/divide.png,Multiplayer,
Best Day Ever!,TRUE,LootEpicGear,,10,graphics/achievement_icons/achievement_unlocked_icon.png,Character,
