Name,Text
TID_AI_SKILL_0,Quick Shot
TID_AI_SKILL_1,Slammer
TID_AI_SKILL_2,Minor Grenade
TID_AI_SKILL_3,Grenade
TID_AI_SKILL_4,Short Stun Grenade
TID_AI_SKILL_5,Stun Grenade
TID_AI_SKILL_6,Knucklesandwich
TID_AI_SKILL_7,Wounding Shot
TID_AI_SKILL_8,Barrel Explosion
TID_AI_SKILL_9,Barrel Stun
TID_AI_SKILL_10,Barrel Poison
TID_AI_SKILL_11,Jaw Blow
TID_AI_SKILL_12,Twirler
TID_AI_SKILL_13,Crate Breaking
TID_AI_SKILL_14,Crate Explosion
TID_AI_SKILL_15,Fire Rocket
TID_AI_SKILL_16,Kamikaze Explosion
TID_AI_SKILL_17,Shield Up
TID_AI_SKILL_18,Killmaster Killing Time
TID_AI_SKILL_19,Healing Shot
TID_AI_SKILL_20,Sonic Burst
TID_AI_SKILL_21,Sonic Stomp
TID_AI_SKILL_22,ElectricSlam
TID_AI_SKILL_23,ShootElectric
TID_AI_SKILL_24,Heman
TID_AI_SKILL_25,Overrun by Spider
TID_AI_SKILL_26,SentryBot Slammer
TID_AI_SKILL_27,Push
TID_AI_SKILL_28,Taunt
TID_AI_SKILL_29,Somersault
TID_AI_SKILL_30,Wall Explosion
TID_AI_SKILL_31,Glass Wall Break
TID_AI_SKILL_32,Roar
TID_AI_SKILL_33,RoboMissile
TID_AI_SKILL_34,Alarm
TID_AI_SKILL_35,Alarm Mute
TID_AI_SKILL_36,RoboGun
TID_AI_SKILL_37,RoboSlammer
TID_AI_SKILL_38,Demolishers Stun Grenade
TID_AI_SKILL_39,Wushu Stun
TID_AI_SKILL_40,Wushu Push
TID_AI_SKILL_41,Wushu Hit
TID_AI_SKILL_42,Warehousebot ShootElectric
TID_AI_SKILL_43,Warehousebot ElectricBlast
TID_AI_SKILL_44,AI ShootElectric
TID_AI_SKILL_45,General Stun Grenade
TID_AI_SKILL_46,Healing Power
TID_AI_SKILL_47,Molotov Cocktail
TID_AI_SKILL_48,Hooligan Buff
TID_AI_SKILL_49,Hired Guns Bazooka
TID_AI_SKILL_50,Hired Guns Movement
TID_AI_SKILL_51,Shuriken
TID_AI_SKILL_52,MechWarrior Rocket
TID_AI_SKILL_53,MechWarrior Slammer
TID_AI_SKILL_54,MechWarrior Electric Boogie
TID_AI_SKILL_55,Kingpin Shield Up
TID_AI_SKILL_56,John Woo Attack
TID_AI_SKILL_57,Hedonist Push
TID_AI_SKILL_58,Bush Explosion
TID_AI_SKILL_59,Pretty Roger Bazooka
TID_AI_SKILL_60,Epic Merc Heal
TID_AI_SKILL_61,Epic Merc Bot Missile
TID_AI_SKILL_62,Epic Merc Bot Gun
TID_AI_SKILL_63,Epic Merc Heal MK2
TID_AI_SKILL_64,Power Slam
TID_AI_SKILL_65,Lava Spit
TID_AI_SKILL_66,Lava Squirt
TID_AI_SKILL_67,Ant Poison
TID_AI_SKILL_68,Pyrox Fire
TID_AI_SKILL_69,Lash
TID_AI_SKILL_70,Mushroom Burst
TID_AI_SKILL_71,Hermit Slammer
TID_AI_SKILL_72,Hermit Blow
TID_AI_SKILL_73,Lizard Acid
TID_AI_SKILL_74,Lizard 360
TID_AI_SKILL_75,Mosquitobot Sonic Burst
TID_AI_SKILL_76,Bombot Stun
TID_AI_SKILL_77,Catherine Poison
TID_AI_SKILL_78,Catherine Headshot
TID_AI_SKILL_79,Kamikaze Heal
TID_AI_SKILL_80,Kamikaze Poison
TID_AI_SKILL_81,Armor Breaker
TID_AI_SKILL_82,Powerful Healing Shot
TID_AI_SKILL_83,Headshot
TID_AI_SKILL_84,Power of Love
TID_AI_SKILL_85,Rage of Love
TID_AI_SKILL_86,Giga Slammer
TID_AI_SKILL_87,Disembowel
TID_AI_SKILL_88,Creeping Poison
TID_AI_SKILL_89,Poison Grenade
TID_AI_SKILL_90,AI Alert
TID_AI_SKILL_91,Self Destruct
TID_AI_SKILL_92,Fire Big Rocket
TID_AI_SKILL_93,Cavedragon Egg
