Name,EnergyCost,HealthCost,ConsumableItemClass,RequiredWeaponClass,Projectile,TargetFilter,PreferredTargetClass,Range,Threat,Cast,CoolDown,AoeRadius,AoeFilter,RelativeDamage,PushBack,Animation,WeaponClassAnimation,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffArmor%,BuffDamage%,BuffHP%,BuffRelativeDamage,BuffEffect
Quick Shot,20,,,Ranged Weapon,,enemy,,,10,0,6000,,,100,,,,,TID_TOOLTIP_AI_SKILL_QuickShot,,,,,,QuickShot,QuickShot,,,,,,,,,,,,,,,
Slammer,15,,,Melee Weapon,,self,,,25,1000,10000,40,enemy,245,TRUE,,Slammer,,TID_TOOLTIP_AI_SKILL_Slammer,,FlashEffect,,Skill_Slammer_End,,,,,,,,,,,,,,,,,,
Minor Grenade,10,,Explosive,,Grenade,location,,,15,450,3000,40,enemy,100,TRUE,Throw,,,TID_TOOLTIP_AI_SKILL_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,
Grenade,10,,Explosive,,Grenade,location,,,15,450,3000,40,enemy,100,TRUE,Throw,,,TID_TOOLTIP_AI_SKILL_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,
Short Stun Grenade,20,,Explosive,,StunGrenade,location,,,15,450,3000,30,enemy,100,,Throw,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,FlashEffect,,,,,,,,,,150,,,TRUE,,,,,,,
Stun Grenade,20,,Explosive,,StunGrenade,location,,,15,450,3000,40,enemy,100,,Throw,,18,TID_TOOLTIP_AI_SKILL_STUNGRENADE,,Stun,,,,,,,,,,3000,,,TRUE,,,,,,,
Knucklesandwich,40,,,Melee Weapon,,enemy,,,8,450,7000,,,100,,AutoAttackHits,,,TID_TOOLTIP_AI_SKILL_KNUCKLESANDWITCH,,,,,,,,,,,,,,,,,,,,,,
Wounding Shot,0,,,Ranged Weapon,,friendly,,,10,0,0,,,150,,,,59,TID_TOOLTIP_AI_SKILL_SHOTGUN07,,,,,,,,,,,,10000,,,FALSE,,,,,,-20,
Barrel Explosion,0,,,,,self,,,10,0,0,60,enemy,100,TRUE,,,,,,BarrelExplosion,,GrenadeExplosion,,,,,,,,,,,,,,,,,,
Barrel Stun,0,,,,,self,,,10,0,0,60,enemy,60,FALSE,,,18,,,BarrelStun,,GrenadeExplosion,,,,,,,,3000,,,TRUE,,,,,,,
Barrel Poison,0,,,,,self,,,10,0,0,60,enemy,100,FALSE,,,43,,,BarrelPoison,,GrenadeExplosion,,,,,,,,5000,,,FALSE,,,,,,100,
Jaw Blow,,,,Melee Weapon,,enemy,,,10,450,15000,,,200,,JawBlow,,,TID_TOOLTIP_AI_SKILL_SLAM,,,,SkillJawBlow,,,,,,,,,,,,,,,,,,
Twirler,,,,Melee Weapon,,self,,,25,450,15000,30,enemy,200,,Twirler,,,TID_TOOLTIP_SKILL_Twirler,,WhirlWind,,,,,,,,,,,,,,,,,,,,
Crate Breaking,0,,,,,self,,,0,0,0,,,0,,,,,,,CrateBreaking,,,,,,,,,,,,,,,,,,,,
Crate Explosion,0,,,,,self,,,10,0,0,60,enemy,100,TRUE,,,,,,CrateExplosion,,GrenadeExplosion,,,,,,,,,,,,,,,,,,
Fire Rocket,12,,,Ranged Weapon,Missile,location,,,40,1250,15000,30,enemy,350,,RocketAttack,,21,TID_TOOLTIP_SKILL_GRENADE,,Nuke,,MissileLaunch,,,,,,,,5000,,,,,,-10,-5,,100,Burner
Kamikaze Explosion,0,100000,,,,enemy,,30,40,0,2000,50,enemy,500,,,,21,,,Wall Explode,,GrenadeExplosion,,,,,,,,5000,,,,,,,,,100,Burner
Shield Up,20,,,,,self,,,40,450,6000,,,,,PushBack,,6,,,ForceField,,,,,,,,,,10000,,,,-20,-20,20,20,,,
Killmaster Killing Time,50,,,,,self,,,40,3000,15000,,,300,,Rage,,16,,,FlashEffect,,,,,,,,,,10000,,,,40,40,-50,30,20,200,
