Name,Sound,SoundEffects,Outside
Docks,AmbienceDockPier,AmbienceDockDetails,TRUE
DocksGameStart,AmbienceDockPier,AmbienceLabycoreDocks,TRUE
Docks2,AmbienceDockPier2,,TRUE
DocksBackyard,AmbienceDockBackyard,,TRUE
DockWarehouse,AmbienceDockWarehouse,,
RedLights,AmbienceRedlights,,TRUE
BeachAvenue,AmbienceStreetGeneric,,TRUE
Downtown,AmbienceDowntown,,TRUE
Ghetto,AmbienceGhetto,,TRUE
ParkGeneric,AmbienceParkGeneric,,TRUE
ParkMusical,AmbienceParkMusical,,TRUE
StreetGeneric,AmbienceStreetGeneric,,TRUE
ItalianRestaurant,AmbienceItalianRestaurant,,
RoomGeneric,AmbienceRoomGeneric,,
RoomOffice,AmbienceRoomOffice,,
TriadHall,AmbienceTriadHall,,
LabycoreDocks,AmbienceDockPier,,TRUE
LabycoreEmergency,AmbienceDockPier,,TRUE
PowerPlantOutside,AmbiencePowerPlant,,TRUE
PowerPlantInterior,AmbiencePowerPlantInterior,,
PowerPlantTransformer,AmbienceTransformerYard,,TRUE
DrillingSite,AmbienceDrillingSite,,TRUE
PrisonYard,AmbiencePrisonYard,AmbiencePrisonYardDetails,TRUE
TouristHarbor,AmbienceTouristHarbor,AmbienceTouristHarborDetails,TRUE
LavaCaves,AmbienceLavaCaves,AmbienceLavaCavesDetails,
CellarTunnels,AmbienceCellarTunnels,AmbienceCellarTunnelsDetails,
Swamp,AmbienceSwamp,AmbienceSwampDetails,TRUE
ConstructionEast,AmbienceConstructionEast,AmbienceConstructionEastDetails,TRUE
ConstructionWest,AmbienceConstructionWest,AmbienceConstructionWestDetails,TRUE
GeneratedIslands,AmbienceGeneratedIsles,AmbienceGeneratedIslesDetails,TRUE
Disco,StripteaseClubmusic,,
Desert,AmbienceDesert,AmbienceDesertDetails,TRUE
DesertVillage,AmbienceDesertVillage,AmbienceDesertVillageDetails,TRUE
Warzone,AmbienceWarzone,AmbienceWarzoneDetails,TRUE
GenericJungle,AmbienceDesertVillage,AmbienceGenericJungleDetails,TRUE
Eerie,AmbienceEerie,,TRUE
ZombieForest,AmbienceZombieForest,AmbienceZombieForestDetails,TRUE
ZombieStreet1,AmbienceZombieStreetWind,AmbienceZombieDetailsStreet1,TRUE
ZombieStreet2,AmbienceZombieOpenWind,AmbienceZombieDetailsStreet2,TRUE
ZombieIndoor1,AmbienceZombieGhostly,AmbienceZombieDetailsIndoor2,
ZombieIndoor2,AmbienceZombieEerieWhisper,AmbienceZombieDetailsIndoor,
ZombieStreet3,AmbienceZombieEerie,AmbienceZombieDetailsStreet1,TRUE
ZombieIndoor3,AmbienceZombieEerie2,AmbienceZombieDetailsIndoor2,
ZombieIndoor4,AmbienceZombieWaterDrops,AmbienceZombieDetailsIndoor,
ZombieStreet4,AmbienceZombieDarkHollow,AmbienceZombieDetailsStreet1,TRUE
