Tank
,Info
,,FileName,ShadowSWF,ShadowExportName,BoundingBoxX,BoundingBoxY,BoundingBoxWidth,BoundingBoxHeight,PixelPerfectBoundingBox,Gender,Framerate,,,,
,,graphics/3d/character/pc_m_tank.SUP,graphics/shadow.swf,Shadow,-45,-90,90,115,,Male,20,,,,
,Clips
,,Name,HideWeapon,ShowWeaponEffect,DontSkipActionFrame,ActionStart,ActionLoopStart,ActionHit,ActionHit2,FrameCount,ActionStartSound,,,,
,,Idle,,,,,,,,53,,,,,
,,IdleLookaround,,,,,,,,80,,,,,
,,IdleSpearReady,,,,,,,,50,,,,,
,,IdlePistolReady,,,,,,,,68,,,,,
,,IdleRifleReady,,,,,,,,65,,,,,
,,IdleMinigunReady,,,,,,,,66,,,,,
,,Use,true,,true,12,,17,,20,,,,,
,,Stunned,,,,,,,,48,,,,,
,,Sleep,,,,,,,,53,,,,,
,,Yawn,true,,,,,,,73,,,,,
,,Cheer1,true,,,,,,,43,,,,,
,,Cheer2,true,,,,,,,60,,,,,
,,Taunt1,true,,,,,,,30,,,,,
,,Taunt2,true,,,,,,,30,,,,,
,,Rage,true,,,,,20,,40,,,,,
,,Walk,,,,,,1,11,20,,,,,
,,Walk 1-handed weapon,,,,,,1,11,20,,,,,
,,WalkRifle,,,,,,1,11,20,,,,,
,,WalkMinigun,,,,,,1,11,20,,,,,
,,Run,,,,,,1,8,18,,,,,
,,Run 1-handed weapon,,,,,,1,8,17,,,,,
,,RunRifle,,,,,,1,8,17,,,,,
,,RunMinigun,,,,,,1,8,17,,,,,
,,Throw,,,,7,,14,,24,SkillThrow,,,,
,,ThrowSide,,,,8,,11,,19,SkillThrow,,,,
,,JawBlow,,,true,3,,6,,16,MeleeSharpSwing,,,,
,,FatalStraight,,,true,6,,9,,16,MeleeSharpSwing,,,,
,,Downgrader,,,true,3,,7,,17,MeleeSharpSwing,,,,
,,RightSwing,,,true,5,,7,,17,MeleeSharpSwing,,,,
,,Melee01,,true,true,11,,15,,25,MeleeSharpSwing,,,,
,,Melee02,,true,true,11,,15,,25,MeleeSharpSwing,,,,
,,Melee03,,true,true,10,,13,,25,MeleeSharpSwing,,,,
,,Melee04,,true,true,10,,13,,25,MeleeSharpSwing,,,,
,,Melee05,,true,true,11,,13,,25,MeleeSharpSwing,,,,
,,ChainSaw_AttackA,,true,true,0,12,13,,25,,,,,
,,ChainSaw_AttackB,,true,true,0,14,15,,25,,,,,
,,SpearA,,true,true,9,,13,,25,MeleeSharpSwing,,,,
,,SpearB,,true,true,3,,18,,25,MeleeSharpSwing,,,,
,,SpearC,,true,true,2,,12,,25,MeleeSharpSwing,,,,
,,ShootPistol1,,true,true,5,6,7,,20,,,,,
,,ShootPistol2,,true,true,4,6,8,,20,,,,,
,,ShootPistol3,,true,true,5,7,8,,20,,,,,
,,ShootPistol4,,true,true,3,7,8,,20,,,,,
,,ShootRifle1,,true,true,3,11,12,,22,,,,,
,,ShootRifle2,,true,true,7,10,12,,22,,,,,
,,ShootMinigun,,true,true,0,17,18,,30,,,,,
,,GetUp,,,,,,0,,19,,,,,
,,Twirler,,true,true,10,,11,,23,,,,,
,,Die1,,,,,,10,,11,,,,,
,,Die2,,,,,,15,,15,,,,,
,,Die3,,,,,,20,,20,,,,,
,,Die4,,,,,,23,,24,,,,,
,,Die5,,,,,,22,,23,,,,,
,,Megastrike1,,true,true,18,,23,,39,,,,,
,,Megastrike2,,true,true,18,,23,,39,,,,,
,,Megastrike3,,true,true,15,,23,,39,,,,,
,,Deception,,true,true,13,,18,,32,,,,,
,,Slammer,,true,true,16,,19,,39,Skill_Slammer_Start,,,,
,,LaunchRocket,,true,,0,,17,,32,,,,,
,,FlameThrower,,true,true,0,,8,,65,,,,,
,,Shoot_SonicGun,,true,true,10,13,16,,30,,,,,
,,Die_RunBurning,,,,0,,8,17,54,,,,,
,Palettes
,,Name,Clips,,,,,,,,,,,,
,,IdleSelection,Idle,,,,,,,,,,,,
,,AutoAttackUnarmed,JawBlow,,,,,,,,,,,,
,,,FatalStraight,,,,,,,,,,,,
,,,Downgrader,,,,,,,,,,,,
,,,RightSwing,,,,,,,,,,,,
,,AutoAttackHits,Melee01,,,,,,,,,,,,
,,,Melee02,,,,,,,,,,,,
,,,Melee03,,,,,,,,,,,,
,,,Melee04,,,,,,,,,,,,
,,,Melee05,,,,,,,,,,,,
,,AutoAttackPistol,ShootPistol1,,,,,,,,,,,,
,,,ShootPistol2,,,,,,,,,,,,
,,,ShootPistol3,,,,,,,,,,,,
,,,ShootPistol4,,,,,,,,,,,,
,,AutoAttackRifle,ShootRifle1,,,,,,,,,,,,
