Name,Text
TID_WEAPON_AXE_0,Normal Cleaver
TID_WEAPON_AXE_1,Basic Cleaver
TID_WEAPON_AXE_2,Universal Cleaver
TID_WEAPON_AXE_3,Average Cleaver
TID_WEAPON_AXE_4,Everyday Cleaver
TID_WEAPON_AXE_5,Regular Cleaver
TID_WEAPON_AXE_6,Popular Cleaver
TID_WEAPON_AXE_7,Common Cleaver
TID_WEAPON_AXE_8,Simple Cleaver
TID_WEAPON_AXE_9,Antiquated Cleaver
TID_WEAPON_AXE_10,Piece of Crap Cleaver
TID_WEAPON_AXE_11,Battered Cleaver
TID_WEAPON_AXE_12,Cracked Cleaver
TID_WEAPON_AXE_13,Broken Cleaver
TID_WEAPON_AXE_14,Corroded Cleaver
TID_WEAPON_AXE_15,Crude Cleaver
TID_WEAPON_AXE_16,Old Cleaver
TID_WEAPON_AXE_17,Respectable Cleaver
TID_WEAPON_AXE_18,Crazy Cleaver
TID_WEAPON_AXE_19,Extreme Cleaver
TID_WEAPON_AXE_20,Wacky Cleaver
TID_WEAPON_AXE_21,High-Power Cleaver
TID_WEAPON_AXE_22,Tough Cleaver
TID_WEAPON_AXE_23,High-Power Power Cutter
TID_WEAPON_AXE_24,Tough Power Cutter
TID_WEAPON_AXE_25,Superior Power Cutter
TID_WEAPON_AXE_26,Gruesome Power Cutter
TID_WEAPON_AXE_27,Assault Power Cutter
TID_WEAPON_AXE_28,Jagged Power Cutter
TID_WEAPON_AXE_29,Good Cleaver
TID_WEAPON_AXE_30,Cool Cleaver
TID_WEAPON_AXE_31,Fine Cleaver
TID_WEAPON_AXE_32,Credible Cleaver
TID_WEAPON_AXE_33,Street Wise Cleaver
TID_WEAPON_AXE_34,Worthy Cleaver
TID_WEAPON_AXE_35,Nifty Cleaver
TID_WEAPON_AXE_36,Ideal Cleaver
TID_WEAPON_AXE_37,Street Wise Power Cutter
TID_WEAPON_AXE_38,Worthy Power Cutter
TID_WEAPON_AXE_39,Nifty Power Cutter
TID_WEAPON_AXE_40,Ideal Power Cutter
TID_WEAPON_AXE_41,Elegant Power Cutter
TID_WEAPON_AXE_42,Boosted Power Cutter
TID_WEAPON_AXE_43,Acute Power Cutter
TID_WEAPON_AXE_44,Victorious Axe
TID_WEAPON_AXE_45,First-Class Axe
TID_WEAPON_AXE_46,Singular Axe
TID_WEAPON_AXE_47,Excellent Axe
TID_WEAPON_AXE_48,Crazy Axe
TID_WEAPON_AXE_49,Radical Axe
TID_WEAPON_AXE_50,Wacky Axe
TID_WEAPON_AXE_51,Extreme Axe
TID_WEAPON_AXE_52,Brutal Axe
TID_WEAPON_AXE_53,Jagged Axe
TID_WEAPON_AXE_54,Assault Axe
TID_WEAPON_AXE_55,Champ's Cleaver
