Name,WeaponClass,Rarity,RequiredLevel,Tier,LootDisabled,Enhancement,DiamondsOnly,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,PostToSocialNetworks
Pig_dynamite,Pig Dynamite,Common,1,,TRUE,,,,,,,,,,,,,,,TRUE
Bottle of Supercell Beer,Beer Bottle,Common,1,,TRUE,,,,,,,,,,,,,,,
Singular Iron Pipe,Pipe,Rare,30,,TRUE,of the Judgment,,,6,,,,,,,,,,,TRUE
Popular Bat,Bat,Common,3,,TRUE,,,,,,,,,,,,,,,
Common Bat,Bat,Common,6,,TRUE,,,,,,,,,,,,,,,
Simple Bat,Bat,Common,10,,TRUE,,,,,,,,,,,,,,,
Typical Bat,Bat,Common,15,,TRUE,,,,,,,,,,,,,,,
Usual Bat,Bat,Common,20,,TRUE,,,,,,,,,,,,,,,
Plain Bat,Bat,Common,23,,TRUE,,,,,,,,,,,,,,,
Normal Bat,Bat,Common,27,,TRUE,,,,,,,,,,,,,,,
Universal Bat,Bat,Common,29,,TRUE,,,,,,,,,,,,,,,
Standard Bat,Bat,Common,30,,TRUE,,,,,,,,,,,,,,,
Rotten Bat,Bat,Poor,1,,TRUE,,,,,,,,,,,,,,,
Poor Bat,Bat,Poor,5,,TRUE,,,,,,,,,,,,,,,
Shoddy Bat,Bat,Poor,11,,TRUE,,,,,,,,,,,,,,,
Inferior Bat,Bat,Poor,14,,TRUE,,,,,,,,,,,,,,,
Rural Bat,Bat,Poor,18,,TRUE,,,,,,,,,,,,,,,
Barebones Bat,Bat,Poor,22,,TRUE,,,,,,,,,,,,,,,
Crappy Bat,Bat,Poor,26,,TRUE,,,,,,,,,,,,,,,
Victorious Bat,Bat,Rare,9,,TRUE,of the Judgment,,,3,,,,,,,,,,,TRUE
First-Class Bat,Bat,Rare,13,,TRUE,of the Destroyer,,,2,,,,,,,,,,,TRUE
Singular Bat,Bat,Rare,16,,TRUE,of the Painmaker,,,,,,,,,,,,,,TRUE
Excellent Bat,Bat,Rare,21,,TRUE,of the Predator,,TRUE,6,,,,,,,,,,,TRUE
Outstanding Bat,Bat,Rare,28,,TRUE,of the Judgment,,,4,,,,,,,,,,,TRUE
Superfine Bat,Bat,Rare,30,2,TRUE,of the Destroyer,,,6,,,,,,,,,,,TRUE
Acute Bat,Bat,Uncommon,4,,TRUE,,,,1,,,,,,,,,,,TRUE
Advanced Bat,Bat,Uncommon,7,,TRUE,,,,,,,,,,,,,,,TRUE
Street Credible Bat,Bat,Uncommon,12,,TRUE,,,,,,,,,,,,,,,TRUE
Massive Bat,Bat,Uncommon,17,,TRUE,,,,2,,,,,,,,,,,TRUE
Okayish Bat,Bat,Uncommon,19,,TRUE,,,,4,,,,,,,,,,,TRUE
Great Bat,Bat,Uncommon,24,,TRUE,,,,2,,,,,,,,,,,TRUE
Illegal Bat,Bat,Uncommon,25,,TRUE,,,,1,,,,,,,,,,,TRUE
Cool Bat,Bat,Uncommon,30,,TRUE,,,,3,,,,,,,,,,,TRUE
Good Bat,Bat,Uncommon,18,,TRUE,,,,3,,,,,,,,,,,TRUE
Common Club,Club,Common,5,,TRUE,,,,,,,,,,,,,,,
Simple Club,Club,Common,9,,TRUE,,,,,,,,,,,,,,,
Typical Club,Club,Common,12,,TRUE,,,,,,,,,,,,,,,
Usual Club,Club,Common,18,,TRUE,,,,,,,,,,,,,,,
Plain Club,Club,Common,24,,TRUE,,,,,,,,,,,,,,,
Standard Club,Club,Common,29,,TRUE,,,,,,,,,,,,,,,
Poor Club,Club,Poor,1,,TRUE,,,,,,,,,,,,,,,
Shoddy Club,Club,Poor,8,,TRUE,,,,,,,,,,,,,,,
Inferior Club,Club,Poor,14,,TRUE,,,,,,,,,,,,,,,
Rural Club,Club,Poor,17,,TRUE,,,,,,,,,,,,,,,
Barebones Club,Club,Poor,23,,TRUE,,,,,,,,,,,,,,,
Crappy Club,Club,Poor,27,,TRUE,,,,,,,,,,,,,,,
First-Class Club,Club,Rare,4,,TRUE,of the Judgment,,,,,,,,,,,,,,TRUE
Singular Club,Club,Rare,11,,TRUE,of the Destroyer,,,4,,,,,,,,,,,TRUE
Excellent Club,Club,Rare,16,,TRUE,of the Painmaker,,,5,,,,,,,,,,,TRUE
Outstanding Club,Club,Rare,19,,TRUE,of the Predator,,,3,,,,,,,,,,,TRUE
Superfine Club,Club,Rare,26,,TRUE,of the Judgment,,,6,,,,,,,,,,,TRUE
Exquisite Club,Club,Rare,30,,TRUE,of the Destroyer,,,7,,,,,,,,,,,TRUE
Advanced Club,Club,Uncommon,6,,TRUE,,,,3,,,,,,,,,,,TRUE
Street Credible Club,Club,Uncommon,10,,TRUE,,,,,,,,,,,,,,,TRUE
Massive Club,Club,Uncommon,13,,TRUE,,,,2,,,,,,,,,,,TRUE
Okayish Club,Club,Uncommon,22,,TRUE,,,,1,,,,,,,,,,,TRUE
Great Club,Club,Uncommon,25,,TRUE,,,,,,,,,,,,,,,TRUE
Illegal Club,Club,Uncommon,28,,TRUE,,,,2,,,,,,,,,,,TRUE
Cool Club,Club,Uncommon,30,,TRUE,,,,1,,,,,,,,,,,TRUE
Usual Flat Iron,Flat Iron,Common,1,,TRUE,,,,,,,,,,,,,,,
Plain Flat Iron,Flat Iron,Common,13,,TRUE,,,,,,,,,,,,,,,
