Name,Text
TID_WEAPON_BASHING_ITEM_0,Pig_dynamite
TID_WEAPON_BASHING_ITEM_1,Bottle of Supercell Beer
TID_WEAPON_BASHING_ITEM_2,Singular Iron Pipe
TID_WEAPON_BASHING_ITEM_3,Popular Bat
TID_WEAPON_BASHING_ITEM_4,Common Bat
TID_WEAPON_BASHING_ITEM_5,Simple Bat
TID_WEAPON_BASHING_ITEM_6,Typical Bat
TID_WEAPON_BASHING_ITEM_7,Usual Bat
TID_WEAPON_BASHING_ITEM_8,Plain Bat
TID_WEAPON_BASHING_ITEM_9,Normal Bat
TID_WEAPON_BASHING_ITEM_10,Universal Bat
TID_WEAPON_BASHING_ITEM_11,Standard Bat
TID_WEAPON_BASHING_ITEM_12,Rotten Bat
TID_WEAPON_BASHING_ITEM_13,Poor Bat
TID_WEAPON_BASHING_ITEM_14,Shoddy Bat
TID_WEAPON_BASHING_ITEM_15,Inferior Bat
TID_WEAPON_BASHING_ITEM_16,Rural Bat
TID_WEAPON_BASHING_ITEM_17,Barebones Bat
TID_WEAPON_BASHING_ITEM_18,Crappy Bat
TID_WEAPON_BASHING_ITEM_19,Victorious Bat
TID_WEAPON_BASHING_ITEM_20,First-Class Bat
TID_WEAPON_BASHING_ITEM_21,Singular Bat
TID_WEAPON_BASHING_ITEM_22,Excellent Bat
TID_WEAPON_BASHING_ITEM_23,Outstanding Bat
TID_WEAPON_BASHING_ITEM_24,Superfine Bat
TID_WEAPON_BASHING_ITEM_25,Acute Bat
TID_WEAPON_BASHING_ITEM_26,Advanced Bat
TID_WEAPON_BASHING_ITEM_27,Street Credible Bat
TID_WEAPON_BASHING_ITEM_28,Massive Bat
TID_WEAPON_BASHING_ITEM_29,Okayish Bat
TID_WEAPON_BASHING_ITEM_30,Great Bat
TID_WEAPON_BASHING_ITEM_31,Illegal Bat
TID_WEAPON_BASHING_ITEM_32,Cool Bat
TID_WEAPON_BASHING_ITEM_33,Good Bat
TID_WEAPON_BASHING_ITEM_34,Common Club
TID_WEAPON_BASHING_ITEM_35,Simple Club
TID_WEAPON_BASHING_ITEM_36,Typical Club
TID_WEAPON_BASHING_ITEM_37,Usual Club
TID_WEAPON_BASHING_ITEM_38,Plain Club
TID_WEAPON_BASHING_ITEM_39,Standard Club
TID_WEAPON_BASHING_ITEM_40,Poor Club
TID_WEAPON_BASHING_ITEM_41,Shoddy Club
TID_WEAPON_BASHING_ITEM_42,Inferior Club
TID_WEAPON_BASHING_ITEM_43,Rural Club
TID_WEAPON_BASHING_ITEM_44,Barebones Club
TID_WEAPON_BASHING_ITEM_45,Crappy Club
TID_WEAPON_BASHING_ITEM_46,First-Class Club
TID_WEAPON_BASHING_ITEM_47,Singular Club
TID_WEAPON_BASHING_ITEM_48,Excellent Club
TID_WEAPON_BASHING_ITEM_49,Outstanding Club
TID_WEAPON_BASHING_ITEM_50,Superfine Club
TID_WEAPON_BASHING_ITEM_51,Exquisite Club
TID_WEAPON_BASHING_ITEM_52,Advanced Club
TID_WEAPON_BASHING_ITEM_53,Street Credible Club
TID_WEAPON_BASHING_ITEM_54,Massive Club
TID_WEAPON_BASHING_ITEM_55,Okayish Club
TID_WEAPON_BASHING_ITEM_56,Great Club
TID_WEAPON_BASHING_ITEM_57,Illegal Club
TID_WEAPON_BASHING_ITEM_58,Cool Club
TID_WEAPON_BASHING_ITEM_59,Usual Flat Iron
TID_WEAPON_BASHING_ITEM_60,Plain Flat Iron
TID_WEAPON_BASHING_ITEM_61,Typical Flat Iron
TID_WEAPON_BASHING_ITEM_62,Standard Flat Iron
TID_WEAPON_BASHING_ITEM_63,Rural Flat Iron
TID_WEAPON_BASHING_ITEM_64,Barebones Flat Iron
TID_WEAPON_BASHING_ITEM_65,Crappy Flat Iron
TID_WEAPON_BASHING_ITEM_66,Outstanding Flat Iron
TID_WEAPON_BASHING_ITEM_67,Superfine Flat Iron
TID_WEAPON_BASHING_ITEM_68,Okayish Flat Iron
TID_WEAPON_BASHING_ITEM_69,Great Flat Iron
TID_WEAPON_BASHING_ITEM_70,Illegal Flat Iron
TID_WEAPON_BASHING_ITEM_71,Cool Flat Iron
TID_WEAPON_BASHING_ITEM_72,Antiquated Club
TID_WEAPON_BASHING_ITEM_73,Average Hockey Stick
TID_WEAPON_BASHING_ITEM_74,Simple Hockey Stick
TID_WEAPON_BASHING_ITEM_75,Typical Hockey Stick
TID_WEAPON_BASHING_ITEM_76,Usual Hockey Stick
TID_WEAPON_BASHING_ITEM_77,Plain Hockey Stick
TID_WEAPON_BASHING_ITEM_78,Standard Hockey Stick
TID_WEAPON_BASHING_ITEM_79,Common Hockey Stick
TID_WEAPON_BASHING_ITEM_80,Normal Hockey Stick
TID_WEAPON_BASHING_ITEM_81,Shoddy Hockey Stick
TID_WEAPON_BASHING_ITEM_82,Universal Hockey Stick
TID_WEAPON_BASHING_ITEM_83,Rural Hockey Stick
TID_WEAPON_BASHING_ITEM_84,Barebones Hockey Stick
TID_WEAPON_BASHING_ITEM_85,Crappy Hockey Stick
TID_WEAPON_BASHING_ITEM_86,Antiquated Hockey Stick
TID_WEAPON_BASHING_ITEM_87,Piece of Crap Hockey Stick
TID_WEAPON_BASHING_ITEM_88,Cracked Hockey Stick
TID_WEAPON_BASHING_ITEM_89,Singular Hockey Stick
TID_WEAPON_BASHING_ITEM_90,Excellent Hockey Stick
TID_WEAPON_BASHING_ITEM_91,Outstanding Hockey Stick
TID_WEAPON_BASHING_ITEM_92,Superfine Hockey Stick
TID_WEAPON_BASHING_ITEM_93,Exquisite Hockey Stick
TID_WEAPON_BASHING_ITEM_94,Respectable Hockey Stick
TID_WEAPON_BASHING_ITEM_95,Basic Hockey Stick
TID_WEAPON_BASHING_ITEM_96,Massive Hockey Stick
TID_WEAPON_BASHING_ITEM_97,Okayish Hockey Stick
TID_WEAPON_BASHING_ITEM_98,Fine Hockey Stick
TID_WEAPON_BASHING_ITEM_99,Credible Hockey Stick
TID_WEAPON_BASHING_ITEM_100,Great Hockey Stick
TID_WEAPON_BASHING_ITEM_101,Cool Hockey Stick
TID_WEAPON_BASHING_ITEM_102,Typical Plank
TID_WEAPON_BASHING_ITEM_103,Massive Plank
TID_WEAPON_BASHING_ITEM_104,Okayish Plank
TID_WEAPON_BASHING_ITEM_105,Great Plank
TID_WEAPON_BASHING_ITEM_106,Illegal Plank
TID_WEAPON_BASHING_ITEM_107,Standard Shovel
TID_WEAPON_BASHING_ITEM_108,Exquisite Shovel
TID_WEAPON_BASHING_ITEM_109,Electric Hammer
TID_WEAPON_BASHING_ITEM_110,First-Class Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_111,Singular Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_112,Excellent Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_113,Outstanding Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_114,Superfine Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_115,Victorious Voodoo Club
TID_WEAPON_BASHING_ITEM_116,First-Class Voodoo Club
TID_WEAPON_BASHING_ITEM_117,Singular Voodoo Club
TID_WEAPON_BASHING_ITEM_118,Outstanding Voodoo Club
TID_WEAPON_BASHING_ITEM_119,Excellent Voodoo Club
TID_WEAPON_BASHING_ITEM_120,Superfine Voodoo Club
TID_WEAPON_BASHING_ITEM_121,Exquisite Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_122,Crazy Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_123,Wacky Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_124,Extreme Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_125,Brutal Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_126,Mighty Shovel
TID_WEAPON_BASHING_ITEM_127,Greater Shovel
TID_WEAPON_BASHING_ITEM_128,Awesome Shovel
TID_WEAPON_BASHING_ITEM_129,Brutal Shovel
TID_WEAPON_BASHING_ITEM_130,Marvelous Shovel
TID_WEAPON_BASHING_ITEM_131,Wacky Shovel
TID_WEAPON_BASHING_ITEM_132,Brutal Voodoo Club
TID_WEAPON_BASHING_ITEM_133,Mighty Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_134,Mighty Voodoo Club
TID_WEAPON_BASHING_ITEM_135,Extreme Voodoo Club
TID_WEAPON_BASHING_ITEM_136,Awesome Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_137,Marvelous Hydraulic Hammer
TID_WEAPON_BASHING_ITEM_138,DancePole
TID_WEAPON_BASHING_ITEM_139,NPC_Whip
TID_WEAPON_BASHING_ITEM_140,NPC_Police Baton
TID_WEAPON_BASHING_ITEM_141,Diabolic Bat
TID_WEAPON_BASHING_ITEM_142,King's Iron
TID_WEAPON_BASHING_ITEM_143,Sentrybot's Leg Strut
TID_WEAPON_BASHING_ITEM_144,Solar Powered Flat Iron
TID_WEAPON_BASHING_ITEM_145,Bullet-Tooth's Nine Iron
TID_WEAPON_BASHING_ITEM_146,Rusty Iron Pipe
