Name,NPCItem,EquipmentClass,ClothClass,Enhancement,Tier,RequiredLevel,Rarity,LootDisabled,Texture,FemaleTexture,PostToSocialNetworks
NPC Belt,true,Belt,,,,1,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Common Belt,,Belt,Large,,,5,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Simple Belt,,Belt,Large,,,10,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Typical Belt,,Belt,Large,,,15,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Usual Belt,,Belt,Large,,,20,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Plain Belt,,Belt,Large,,,25,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Standard Belt,,Belt,Large,,,30,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Universal Belt,,Belt,Large,,,5,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Common Black Belt,,Black Belt,Large,,,7,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Simple Black Belt,,Black Belt,Large,,,12,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Typical Black Belt,,Black Belt,Large,,,17,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Usual Black Belt,,Black Belt,Large,,,22,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Plain Black Belt,,Black Belt,Large,,,27,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Simple Dark Leather Belt,,Dark Leather Belt,Large,,,14,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Typical Dark Leather Belt,,Dark Leather Belt,Large,,,19,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Usual Dark Leather Belt,,Dark Leather Belt,Large,,,24,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Plain Dark Leather Belt,,Dark Leather Belt,Large,,,29,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Standard Brown Belt,,Brown Belt,Large,,,5,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Universal Brown Belt,,Brown Belt,Large,,,6,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Average Brown Belt,,Brown Belt,Large,,,7,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Basic Brown Belt,,Brown Belt,Large,,,8,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Everyday Brown Belt,,Brown Belt,Large,,,9,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Regular Brown Belt,,Brown Belt,Large,,,10,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Universal Vented Leather Belt,,Vented Leather Belt,Large,,,13,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Average Vented Leather Belt,,Vented Leather Belt,Large,,,16,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Basic Vented Leather Belt,,Vented Leather Belt,Large,,,6,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Basic Belt,,Belt,Small,,,10,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Everyday Belt,,Belt,Small,,,15,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Regular Belt,,Belt,Small,,,20,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Average Belt,,Belt,Small,,,25,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Standard Black Belt,,Black Belt,Small,,,7,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Universal Black Belt,,Black Belt,Small,,,12,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Average Black Belt,,Black Belt,Small,,,17,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Basic Black Belt,,Black Belt,Small,,,22,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Everyday Black Belt,,Black Belt,Small,,,27,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Standard Dark Leather Belt,,Dark Leather Belt,Small,,,14,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Universal Dark Leather Belt,,Dark Leather Belt,Small,,,19,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Average Dark Leather Belt,,Dark Leather Belt,Small,,,24,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Basic Dark Leather Belt,,Dark Leather Belt,Small,,,29,Common,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Popular Brown Belt,,Brown Belt,Small,,,5,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Common Brown Belt,,Brown Belt,Small,,,6,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Simple Brown Belt,,Brown Belt,Small,,,7,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Typical Brown Belt,,Brown Belt,Small,,,8,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Usual Brown Belt,,Brown Belt,Small,,,9,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Plain Brown Belt,,Brown Belt,Small,,,10,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Everyday Vented Leather Belt,,Vented Leather Belt,Small,,,13,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Regular Vented Leather Belt,,Vented Leather Belt,Small,,,16,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Popular Vented Leather Belt,,Vented Leather Belt,Small,,,6,Common,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Lame Brown Belt,,Brown Belt,Large,,,5,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Warped Brown Belt,,Brown Belt,Large,,,6,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Lousy Brown Belt,,Brown Belt,Large,,,7,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Worthless Brown Belt,,Brown Belt,Large,,,8,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Poor Brown Belt,,Brown Belt,Large,,,9,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Battered Belt,,Belt,Small,,,30,Poor,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Cracked Belt,,Belt,Small,,,5,Poor,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,
Shabby Brown Belt,,Brown Belt,Small,,,5,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Inferior Brown Belt,,Brown Belt,Small,,,6,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Rural Brown Belt,,Brown Belt,Small,,,7,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Barebones Brown Belt,,Brown Belt,Small,,,8,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Beer-soaked Brown Belt,,Brown Belt,Small,,,9,Poor,TRUE,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,
Excellent Belt,,Belt,Large,of the Hunter,,3,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Marvelous Belt,,Belt,Large,of the Beast,,7,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Marvelous Black Belt,,Black Belt,Large,of Health,,5,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Awesome Black Belt,,Black Belt,Large,of Brightness,,10,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Greater Black Belt,,Black Belt,Large,of the Troublemaker,,15,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Singular Black Belt,,Black Belt,Large,of the Assassin,,20,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Exquisite Black Belt,,Black Belt,Large,of Capacity,,25,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Awesome Dark Leather Belt,,Dark Leather Belt,Large,of Rationality,,26,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Greater Dark Leather Belt,,Dark Leather Belt,Large,of the Thug,,27,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Singular Dark Leather Belt,,Dark Leather Belt,Large,of Guts,,28,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Exquisite Dark Leather Belt,,Dark Leather Belt,Large,of Awareness,,29,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High-Power Dark Leather Belt,,Dark Leather Belt,Large,of Determination,,30,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Singular Belt with Golden Buckle,,Belt with Golden Buckle,Large,of Intuition,,21,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
Exquisite Belt with Golden Buckle,,Belt with Golden Buckle,Large,of the Scientist,,23,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
High-Power Belt with Golden Buckle,,Belt with Golden Buckle,Large,of the Thug,,25,Rare,TRUE,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,TRUE
