Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Rope Strap,Belt,Small,8,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Cloth Strap,Belt,Small,12,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Canvas Strap,Belt,Small,15,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Leather Strap,Belt,Small,18,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Reinforced Strap,Belt,Small,21,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Synth Strap,Belt,Small,27,Common,,TRUE,,,,graphics/3d/character/belt/belt_black_01_m.png,graphics/3d/character/belt/belt_black_01_f.png,,,,,,,,,,,
Suspect Strap,Belt,Small,7,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Tight Strap,Belt,Small,9,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Loose Strap,Belt,Small,13,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Fitting Strap,Belt,Small,17,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_brown_01_m.png,graphics/3d/character/belt/belt_brown_01_f.png,,,,,,,,,,,
Cardinal Strap,Belt,Small,20,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Crow Strap,Belt,Small,23,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Crane Strap,Belt,Small,25,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Hawk Strap,Belt,Small,28,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Eagle Strap,Belt,Small,30,Uncommon,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Meteor Strap,Belt,Small,30,Uncommon,,TRUE,of Determination,,,graphics/3d/character/belt/belt_studded_02_m.png,graphics/3d/character/belt/belt_studded_02_f.png,,,,,,,,,,,
Embossed Belt,Belt,Small,4,Rare,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,,,,,,,,,,,
Hunter's Belt,Belt,Small,7,Rare,,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,,,,,,,,,,,
Ammo Belt,Belt,Small,10,Rare,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,,,,,,,,,,,
Infiltrator's Belt,Belt,Small,13,Rare,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,,,,,,,,,,,
Sniper's Belt,Belt,Small,16,Rare,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_black_03_m.png,graphics/3d/character/belt/belt_black_03_f.png,,,,,,,,,,,
Blaster Belt,Belt,Small,19,Rare,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Holopic Belt,Belt,Small,22,Rare,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Spycam Belt,Belt,Small,25,Rare,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Nanotube Belt,Belt,Small,28,Rare,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Code Buckle,Belt,Small,30,Rare,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Safety Belt,Belt,Small,3,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Balancing Belt,Belt,Small,5,Epic,TRUE,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Stabilizing Belt,Belt,Small,7,Epic,TRUE,TRUE,of Determination,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Gyroscopic Belt,Belt,Small,9,Epic,TRUE,TRUE,of the Crymaker,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
Light Metal Belt,Belt,Small,10,Epic,,TRUE,of Capacity,,,graphics/3d/character/belt/belt_utility_01_m.png,graphics/3d/character/belt/belt_utility_01_f.png,,,,,,,,,,,
