Name,Text
TID_BELT_NEW_0,Rope Strap
TID_BELT_NEW_1,Cloth Strap
TID_BELT_NEW_2,Canvas Strap
TID_BELT_NEW_3,Leather Strap
TID_BELT_NEW_4,Reinforced Strap
TID_BELT_NEW_5,Synth Strap
TID_BELT_NEW_6,Suspect Strap
TID_BELT_NEW_7,Tight Strap
TID_BELT_NEW_8,Loose Strap
TID_BELT_NEW_9,Fitting Strap
TID_BELT_NEW_10,Cardinal Strap
TID_BELT_NEW_11,Crow Strap
TID_BELT_NEW_12,Crane Strap
TID_BELT_NEW_13,Hawk Strap
TID_BELT_NEW_14,Eagle Strap
TID_BELT_NEW_15,Meteor Strap
TID_BELT_NEW_16,Embossed Belt
TID_BELT_NEW_17,Hunter's Belt
TID_BELT_NEW_18,Ammo Belt
TID_BELT_NEW_19,Infiltrator's Belt
TID_BELT_NEW_20,Sniper's Belt
TID_BELT_NEW_21,Blaster Belt
TID_BELT_NEW_22,Holopic Belt
TID_BELT_NEW_23,Spycam Belt
TID_BELT_NEW_24,Nanotube Belt
TID_BELT_NEW_25,Code Buckle
TID_BELT_NEW_26,Safety Belt
TID_BELT_NEW_27,Balancing Belt
TID_BELT_NEW_28,Stabilizing Belt
TID_BELT_NEW_29,Gyroscopic Belt
TID_BELT_NEW_30,Light Metal Belt
TID_BELT_NEW_31,Heavy Metal Belt
TID_BELT_NEW_32,Pop Belt
TID_BELT_NEW_33,Screamer Buckle
TID_BELT_NEW_34,Notched Belt
TID_BELT_NEW_35,Over-notched Belt
TID_BELT_NEW_36,Faux Belt
TID_BELT_NEW_37,Utility Belt
TID_BELT_NEW_38,Handy Utility Belt
TID_BELT_NEW_39,PI Utility Belt
TID_BELT_NEW_40,Dark Utility Belt
TID_BELT_NEW_41,Lost Buckle
TID_BELT_NEW_42,Chimneysweep's Wonder Harness
TID_BELT_NEW_43,Nylon Belt
TID_BELT_NEW_44,Felt Belt
TID_BELT_NEW_45,Suede Belt
TID_BELT_NEW_46,Elastic Belt
TID_BELT_NEW_47,Scrub Belt
TID_BELT_NEW_48,Golf Belt
TID_BELT_NEW_49,Worn Belt
TID_BELT_NEW_50,Washed Out Belt
TID_BELT_NEW_51,Bleached Belt
TID_BELT_NEW_52,Dust-covered Belt
TID_BELT_NEW_53,Bent Buckle
TID_BELT_NEW_54,Tooth Buckle
TID_BELT_NEW_55,Nail Buckle
TID_BELT_NEW_56,Bone Buckle
TID_BELT_NEW_57,Kneecap Buckle
TID_BELT_NEW_58,Shiny Buckle
TID_BELT_NEW_59,Tin-studded Belt
TID_BELT_NEW_60,Rust-studded Belt
TID_BELT_NEW_61,Silver-studded Belt
TID_BELT_NEW_62,Iron-studded Belt
TID_BELT_NEW_63,Steel-studded Belt
TID_BELT_NEW_64,Titanium-studded Belt
TID_BELT_NEW_65,Skull-studded Belt
TID_BELT_NEW_66,Bunny-studded Belt
TID_BELT_NEW_67,Mirror-studded Belt
TID_BELT_NEW_68,Belt Fast
TID_BELT_NEW_69,Duct-taped Belt
TID_BELT_NEW_70,UV-Protected Belt
TID_BELT_NEW_71,Bulletproof Belt
TID_BELT_NEW_72,Supporting Belt
TID_BELT_NEW_73,One-Size-Fits-All Belt
TID_BELT_NEW_74,Golfing Belt
TID_BELT_NEW_75,Properly Polished Belt
TID_BELT_NEW_76,Expertly Polished Belt
TID_BELT_NEW_77,Silk-lined Belt
TID_BELT_NEW_78,Silver-lined Belt
TID_BELT_NEW_79,Gold-lined Belt
TID_BELT_NEW_80,Healer's Suspenders
TID_BELT_NEW_81,Doctor's Suspenders
TID_BELT_NEW_82,Surgeon's Suspenders
TID_BELT_NEW_83,Elite Doctor's Suspenders
TID_BELT_NEW_84,Bolt Lock
TID_BELT_NEW_85,Waistland
TID_BELT_NEW_86,Thick Rope Strap
TID_BELT_NEW_87,Thick Cloth Strap
TID_BELT_NEW_88,Thick Canvas Strap
TID_BELT_NEW_89,Thick Leather Strap
TID_BELT_NEW_90,Thick Reinforced Strap
TID_BELT_NEW_91,Thick Synth Strap
TID_BELT_NEW_92,Dark Brown Leather Belt
TID_BELT_NEW_93,Dark Grey Leather Belt
TID_BELT_NEW_94,Navy Leather Belt
TID_BELT_NEW_95,Black Leather Belt
TID_BELT_NEW_96,Midnight Leather Belt
TID_BELT_NEW_97,Lizard Skin Belt
TID_BELT_NEW_98,Snake Skin Belt
TID_BELT_NEW_99,Croc Skin Belt
TID_BELT_NEW_100,Weight-lifting Belt
TID_BELT_NEW_101,Welted Buckle
TID_BELT_NEW_102,Thick Tin-studded Belt
