Name,Level,CharacterType,Difficulty,Strength,CriticalChance,Agility,Stamina,Intelligence,Armor,Health,HealthRegen,Energy,EnergyRegen,AI_DPS_MeleeWeapon,AI_DPS_RangedWeapon,RespawnDuration,RespawnDurationHUB,DefaultScale,DefaultSpeed,DefaultCombatSpeed,UnlockLevel,DiamondCostExact,DiamondsOnly,ResourceSearchRadius,CraftingTimeBonus%,Recycle%
Big_HighDamage,1,Regular,100,,5,,,,,150,15,200,5,9,7,500000,20000,115,300,800,,,,,,
,5,,,,,,,,,335,50,,,18,15,,,,,,,,,,,
,6,,,,,,,,,502,63,,,22,18,,,,,,,,,,,
,10,,,,,,,,,804,110,,,50,37,,,,,,,,,,,
,11,,,,,,,,,1005,132,,,60,54,,,,,,,,,,,
,15,,,,,,,,,2010,210,,,109,100,,,,,,,,,,,
,16,,,,,,,,,2345,237,,,117,112,,,,,,,,,,,
,20,,,,,,,,,3082,325,,,154,150,,,,,,,,,,,
,21,,,,,,,,,3216,358,,,165,160,,,,,,,,,,,
,25,,,,,,,,,3551,455,,,203,197,,,,,,,,,,,
,26,,,,,,,,,3800,550,,,213,208,,,,,,,,,,,
,30,,,,,,,,,6000,650,,,275,265,,,,,1000,,,,,,
Big_LowDamage,1,Regular,100,,5,,,,,100,15,200,5,7,5,500000,20000,115,300,800,,,,,,
,5,,,,,,,,,335,50,,,15,10,,,,,,,,,,,
,6,,,,,,,,,502,63,,,18,12,,,,,,,,,,,
,10,,,,,,,,,804,110,,,42,36,,,,,,,,,,,
,11,,,,,,,,,1005,132,,,61,56,,,,,,,,,,,
,15,,,,,,,,,2010,210,,,96,91,,,,,,,,,,,
,16,,,,,,,,,2345,237,,,106,100,,,,,,,,,,,
,20,,,,,,,,,3082,325,,,133,127,,,,,,,,,,,
,21,,,,,,,,,3216,358,,,140,133,,,,,,,,,,,
,25,,,,,,,,,3551,455,,,175,168,,,,,,,,,,,
,26,,,,,,,,,3800,550,,,182,175,,,,,,,,,,,
,30,,,,,,,,,6000,650,,,230,215,,,,,1100,,,,,,
Medium_HighDamage,1,Regular,90,,5,,,,,150,15,200,5,9,7,500000,20000,105,500,1100,,,,,,
,5,,,,,,,,,300,42,,,18,15,,,,,,,,,,,
,6,,,,,,,,,452,53,,,22,18,,,,,,,,,,,
,10,,,,,,,,,723,93,,,50,37,,,,,,,,,,,
,11,,,,,,,,,904,112,,,60,54,,,,,,,,,,,
,15,,,,,,,,,1809,178,,,109,100,,,,,,,,,,,
,16,,,,,,,,,2110,201,,,117,112,,,,,,,,,,,
,20,,,,,,,,,2773,276,,,154,150,,,,,,,,,,,
,21,,,,,,,,,2894,304,,,165,160,,,,,,,,,,,
,25,,,,,,,,,3195,386,,,203,197,,,,,,,,,,,
,26,,,,,,,,,3600,419,,,213,208,,,,,,,,,,,
,30,,,,,,,,,5000,510,,,275,265,,,,,1300,,,,,,
Medium_LowDamage,1,Regular,90,,5,,,,,100,15,200,5,7,5,500000,20000,105,500,1100,,,,,,
,5,,,,,,,,,300,42,,,15,10,,,,,,,,,,,
,6,,,,,,,,,452,53,,,18,12,,,,,,,,,,,
,10,,,,,,,,,723,93,,,42,36,,,,,,,,,,,
,11,,,,,,,,,904,112,,,61,56,,,,,,,,,,,
,15,,,,,,,,,1809,178,,,96,91,,,,,,,,,,,
,16,,,,,,,,,2110,201,,,106,100,,,,,,,,,,,
,20,,,,,,,,,2773,276,,,133,127,,,,,,,,,,,
,21,,,,,,,,,2894,304,,,140,133,,,,,,,,,,,
,25,,,,,,,,,3195,386,,,175,168,,,,,,,,,,,
,26,,,,,,,,,3600,419,,,182,175,,,,,,,,,,,
,30,,,,,,,,,5000,510,,,230,215,,,,,,,,,,,
Small_HighDamage,1,Regular,80,,5,,,,,100,15,200,5,9,7,500000,20000,90,800,1500,,,,,,
,5,,,,,,,,,271,42,,,18,15,,,,,,,,,,,
,6,,,,,,,,,402,53,,,22,18,,,,,,,,,,,
,10,,,,,,,,,649,93,,,50,37,,,,,,,,,,,
,11,,,,,,,,,814,112,,,60,54,,,,,,,,,,,
,15,,,,,,,,,1628,178,,,109,100,,,,,,,,,,,
,16,,,,,,,,,1899,201,,,117,112,,,,,,,,,,,
,20,,,,,,,,,2496,276,,,154,150,,,,,,,,,,,
,21,,,,,,,,,2604,304,,,165,160,,,,,,,,,,,
,25,,,,,,,,,2876,386,,,203,197,,,,,,,,,,,
,26,,,,,,,,,3200,419,,,213,208,,,,,,,,,,,
,30,,,,,,,,,4500,510,,,275,265,,,,,1700,,,,,,
Small_LowDamage,1,Regular,80,,5,,,,,100,15,200,5,7,5,500000,15000,90,800,1500,,,,,,
,5,,,,,,,,,271,42,,,15,10,,,,,,,,,,,
,6,,,,,,,,,402,53,,,18,12,,,,,,,,,,,
,10,,,,,,,,,649,93,,,42,36,,,,,,,,,,,
,11,,,,,,,,,814,112,,,61,56,,,,,,,,,,,
,15,,,,,,,,,1628,178,,,96,91,,,,,,,,,,,
,16,,,,,,,,,1899,201,,,106,100,,,,,,,,,,,
,20,,,,,,,,,2496,276,,,133,127,,,,,,,,,,,
,21,,,,,,,,,2604,304,,,140,133,,,,,,,,,,,
,25,,,,,,,,,2876,386,,,175,168,,,,,,,,,,,
,26,,,,,,,,,3200,419,,,182,175,,,,,,,,,,,
,30,,,,,,,,,4500,510,,,230,215,,,,,1700,,,,,,
Elite_Big_HighDamage,1,Elite,600,,5,,,,,1230,123,200,5,14,10,5400000,100000,115,400,900,,,,,,
,5,,,,,,,,,4200,420,,,43,34,,,,,,,,,,,
,6,,,,,,,,,5160,516,,,53,43,,,,,,,,,,,
,10,,,,,,,,,9000,900,,,77,62,,,,,,,,,,,
,11,,,,,,,,,10810,1081,,,86,67,,,,,,,,,,,
,15,,,,,,,,,17150,1715,,,125,101,,,,,,,,,,,
,16,,,,,,,,,19380,1938,,,144,115,,,,,,,,,,,
,20,,,,,,,,,26500,2650,,,206,163,,,,,,,,,,,
,21,,,,,,,,,29150,2915,,,230,182,,,,,,,,,,,
,25,,,,,,,,,37050,3705,,,355,288,,,,,,,,,,,
,26,,,,,,,,,40120,4012,,,394,317,,,,,,,,,,,
,30,,,,,,,,,48800,4880,,,576,442,,,,,,,,,,,
Elite_Big_LowDamage,1,Elite,600,,5,,,,,1230,123,200,5,11,7,5400000,100000,115,400,900,,,,,,
,5,,,,,,,,,4200,420,,,33,26,,,,,,,,,,,
,6,,,,,,,,,5160,516,,,40,33,,,,,,,,,,,
,10,,,,,,,,,9000,900,,,58,47,,,,,,,,,,,
,11,,,,,,,,,10810,1081,,,65,50,,,,,,,,,,,
,15,,,,,,,,,17150,1715,,,94,76,,,,,,,,,,,
,16,,,,,,,,,19380,1938,,,108,86,,,,,,,,,,,
,20,,,,,,,,,26500,2650,,,155,122,,,,,,,,,,,
,21,,,,,,,,,29150,2915,,,173,137,,,,,,,,,,,
,25,,,,,,,,,37050,3705,,,266,216,,,,,,,,,,,
,26,,,,,,,,,40120,4012,,,295,238,,,,,,,,,,,
,30,,,,,,,,,48800,4880,,,432,331,,,,,,,,,,,
Elite_Medium_HighDamage,1,Elite,600,,5,,,,,1107,110,200,5,14,10,5400000,100000,105,500,1100,,,,,,
,5,,,,,,,,,3400,378,,,30,25,,,,,,,,,,,
,6,,,,,,,,,4544,454,,,53,43,,,,,,,,,,,
,10,,,,,,,,,8100,810,,,77,62,,,,,,,,,,,
,11,,,,,,,,,9729,972,,,86,67,,,,,,,,,,,
,15,,,,,,,,,15435,1543,,,125,101,,,,,,,,,,,
,16,,,,,,,,,17442,1744,,,144,115,,,,,,,,,,,
,20,,,,,,,,,23850,2385,,,206,163,,,,,,,,,,,
,21,,,,,,,,,25235,2523,,,230,182,,,,,,,,,,,
,25,,,,,,,,,33345,3334,,,355,288,,,,,,,,,,,
,26,,,,,,,,,36108,3610,,,394,317,,,,,,,,,,,
,30,,,,,,,,,43920,4392,,,576,442,,,,,,,,,,,
Elite_Medium_LowDamage,1,Elite,600,,5,,,,,1107,110,200,5,11,7,5400000,100000,105,500,1100,,,,,,
,5,,,,,,,,,3780,378,,,33,26,,,,,,,,,,,
,6,,,,,,,,,4544,454,,,40,33,,,,,,,,,,,
,10,,,,,,,,,8100,810,,,58,47,,,,,,,,,,,
,11,,,,,,,,,9729,972,,,65,50,,,,,,,,,,,
,15,,,,,,,,,15435,1543,,,94,76,,,,,,,,,,,
,16,,,,,,,,,17442,1744,,,108,86,,,,,,,,,,,
,20,,,,,,,,,23850,2385,,,155,122,,,,,,,,,,,
,21,,,,,,,,,25235,2523,,,173,137,,,,,,,,,,,
,25,,,,,,,,,33345,3334,,,266,216,,,,,,,,,,,
,26,,,,,,,,,36108,3610,,,295,238,,,,,,,,,,,
,30,,,,,,,,,43920,4392,,,432,331,,,,,,,,,,,
Elite_Small_HighDamage,1,Elite,600,,5,,,,,996,100,200,5,14,10,5400000,100000,90,800,1500,,,,,,
,5,,,,,,,,,3402,340,,,43,34,,,,,,,,,,,
,6,,,,,,,,,4089,408,,,53,43,,,,,,,,,,,
,10,,,,,,,,,7290,729,,,77,62,,,,,,,,,,,
,11,,,,,,,,,8756,875,,,86,67,,,,,,,,,,,
,15,,,,,,,,,13891,1389,,,125,101,,,,,,,,,,,
,16,,,,,,,,,14593,1459,,,144,115,,,,,,,,,,,
,20,,,,,,,,,21465,2146,,,206,163,,,,,,,,,,,
,21,,,,,,,,,22711,2271,,,230,182,,,,,,,,,,,
,25,,,,,,,,,30010,3001,,,355,288,,,,,,,,,,,
,26,,,,,,,,,32497,3249,,,394,317,,,,,,,,,,,
,30,,,,,,,,,39528,3952,,,576,442,,,,,,,,,,,
Elite_Small_LowDamage,1,Elite,600,,5,,,,,996,100,200,5,11,7,5400000,100000,90,800,1500,,,,,,
,5,,,,,,,,,3402,340,,,33,26,,,,,,,,,,,
,6,,,,,,,,,4089,408,,,40,33,,,,,,,,,,,
,10,,,,,,,,,7290,729,,,58,47,,,,,,,,,,,
,11,,,,,,,,,8756,875,,,65,50,,,,,,,,,,,
,15,,,,,,,,,13891,1389,,,94,76,,,,,,,,,,,
,16,,,,,,,,,14593,1459,,,108,86,,,,,,,,,,,
,20,,,,,,,,,21465,2146,,,155,122,,,,,,,,,,,
,21,,,,,,,,,22711,2271,,,173,137,,,,,,,,,,,
,25,,,,,,,,,30010,3001,,,266,216,,,,,,,,,,,
,26,,,,,,,,,32497,3249,,,295,238,,,,,,,,,,,
,30,,,,,,,,,39528,3952,,,432,331,,,,,,,,,,,
Player_Tank,1,Player,,10,5,7,5,,10,500,4,50,1,,,0,,100,1000,1000,,,,,,
,5,,,20,,13,10,,50,900,6,50,,,,,,,,,,,,,,
,6,,,22,,15,11,,70,1000,8,60,,,,,,,,,,,,,,
,10,,,32,,21,16,,90,1400,10,100,,,,,,,,,,,,,,
,11,,,35,,23,17,,120,1600,12,110,,,,,,,,,,,,,,
,15,,,45,,30,22,,220,2400,14,150,,,,,,,,,,,,,,
,16,,,47,,31,24,,228,2600,16,160,,,,,,,,,,,,,,
,20,,,57,,38,29,,500,3400,18,200,,,,,,,,,,,,,,
,21,,,60,,40,30,,750,3600,20,200,,,,,,,,,,,,,,
,25,,,70,,47,35,,900,4400,22,200,,,,,,,,,,,,,,
,26,,,72,,48,37,,1000,4600,24,200,,,,,,,,,,,,,,
,30,,,82,,55,42,,1040,5400,26,200,,,,,,,,,,,,,,
Player_Healer,1,Player,,7,3,20,5,,4,450,3,70,1,,,0,,100,1000,1000,,,,,,
,5,,,13,,30,10,,20,600,4,70,,,,,,,,,,,,,,
,6,,,15,,33,11,,24,640,6,90,,,,,,,,,,,,,,
,10,,,21,,48,16,,40,800,8,120,,,,,,,,,,,,,,
,11,,,23,,52,17,,44,1000,10,130,,,,,,,,,,,,,,
,15,,,30,,67,22,,60,1700,12,170,,,,,,,,,,,,,,
,16,,,31,,71,24,,64,1860,14,190,,,,,,,,,,,,,,
,20,,,38,,86,29,,80,2500,16,220,,,,,,,,,,,,,,
,21,,,40,,90,30,,84,2660,18,220,,,,,,,,,,,,,,
,25,,,47,,105,35,,100,3300,20,220,,,,,,,,,,,,,,
,26,,,48,,108,37,,104,3460,22,220,,,,,,,,,,,,,,
,30,,,55,,123,42,,120,4100,24,240,,,,,,,,,,,,,,
Player_Damage,1,Player,,10,7,40,5,,8,450,3,50,1,,,0,,100,1000,1000,,,,,,
,5,,,20,,80,10,,40,600,4,50,,,,,,,,,,,,,,
,6,,,22,,100,11,,48,680,6,60,,,,,,,,,,,,,,
,10,,,32,,160,16,,80,1000,8,100,,,,,,,,,,,,,,
,11,,,35,,200,17,,88,1180,10,110,,,,,,,,,,,,,,
,15,,,45,,320,22,,120,1900,12,150,,,,,,,,,,,,,,
,16,,,47,,380,24,,128,2080,14,160,,,,,,,,,,,,,,
,20,,,57,,560,29,,160,2800,16,200,,,,,,,,,,,,,,
,21,,,60,,645,30,,168,2980,18,200,,,,,,,,,,,,,,
,25,,,70,,900,35,,200,3700,20,200,,,,,,,,,,,,,,
,26,,,72,,1000,37,,208,3880,22,200,,,,,,,,,,,,,,
,30,,,82,,3500,42,,240,4900,24,200,,,,,,,,,,,,,,
Boss_Default,1,Boss,1800,100,5,,,,,1230,123,200,5,14,10,0,240000,100,500,1600,,,,,,
,5,,,,,,,,,4200,420,,,43,34,,,,,,,,,,,
,6,,,,,,,,,5160,516,,,53,43,,,,,,,,,,,
,10,,,,,,,,,10000,900,,,77,62,,,,,,,,,,,
,11,,,,,,,,,11500,1081,,,86,67,,,,,,,,,,,
,15,,,,,,,,,20500,831,,,36,28,,,,,,,,,,,
,16,,,,,,,,,31150,1120,,,66,48,,,,,,,,,,,
,20,,,,,,,,,45000,1540,,,100,78,,,,,,,,,,,
,21,,,,,,,,,56100,1680,,,106,82,,,,,,,,,,,
,25,,,,,,,,,89000,2120,,,164,140,,,,,,,,,,,
,26,,,,,,,,,140000,3316,,,180,150,,,,,,,,,,,
,30,,,,,,,,,240000,4280,,,378,304,,,,,,,,,,,
Suicide_Mob,1,Regular,25,,5,,,,,2,1,200,5,6,4,500000,180000,100,500,1100,,,,,,
,5,,,,,,,,,10,,,,18,14,,,,,,,,,,,
,6,,,,,,,,,12,,,,22,18,,,,,,,,,,,
,10,,,,,,,,,50,,,,32,26,,,,,,,,,,,
,11,,,,,,,,,57,,,,36,28,,,,,,,,,,,
,15,,,,,,,,,90,,,,52,42,,,,,,,,,,,
,16,,,,,,,,,108,,,,60,48,,,,,,,,,,,
,20,,,,,,,,,162,,,,86,68,,,,,,,,,,,
,21,,,,,,,,,202,,,,96,76,,,,,,,,,,,
,25,,,,,,,,,296,,,,148,120,,,,,,,,,,,
,26,,,,,,,,,299,,,,164,132,,,,,,,,,,,
,30,,,,,,,,,421,,,,240,184,,,,,,,,,,,
Mini_Boss_Default,1,MiniBoss,900,,5,,,,,200,30,200,5,14,10,0,240000,100,500,1500,,,,,,
,5,,,,,,,,,600,80,,,43,34,,,,,,,,,,,
