Name,ClothClass,Specializations,ClassSkills,ButtonInstanceName,MeleeWeaponDefault,MeleeRating,RangedRating,ArmorRating,HealingRating
Bodyguard,Large,Juggernaut,Savage Strike,Tank,TRUE,4,1,5,
,,Maverick,Harden,,,,,,
,,,Hurricane,,,,,,
,,,Aggro Smash,,,,,,
,,,Berserk Rage,,,,,,
,,,Taunt,,,,,,
Doctor,Small,Drugs,Knocker,Healer,,1,4,1,5
,,Toxicology,Quick Heal,,,,,,
,,,Mend,,,,,,
,,,Doctor's Shield,,,,,,
,,,Group Heal,,,,,,
,,,Sonic Boom,,,,,,
Hunter,Small,Shooter,Crippling Shot,Damage,,2,5,3,
,,Eviscerator,Repel,,,,,,
,,,Ripping Shot,,,,,,
,,,Energy Spike,,,,,,
,,,Pocket Rocket,,,,,,
,,,Smooth Moves,,,,,,
