ExperienceLevels
,Level,ExperiencePoints,ExperienceGainFromKill,ResurrectDiamondCost,LootMoneyMin,LootMoneyMax,MissionBaseExp,MissionBaseCash,ExplorationExpReward,MercenaryDiamondCostExact,SubGoalReward1,SubGoalReward2,TreasureBoxUnlockPrice
,1,80,10,0,2,3,5,6,10,150,,,1
,2,200,11,0,3,4,6,8,12,150,,,1
,3,300,12,0,3,5,7,10,14,150,,,2
,4,500,13,1,4,6,8,12,16,150,,,2
,5,800,14,1,4,7,9,14,18,300,,,3
,6,1200,15,1,5,8,10,16,20,300,,,3
,7,1900,17,1,5,9,12,18,22,300,,,4
,8,2205,19,1,5,10,14,20,24,300,,,4
,9,2530,21,1,5,10,16,20,26,300,,,5
,10,2875,23,1,5,11,18,22,28,300,,5,5
,11,3360,25,1,5,12,20,24,30,300,,,6
,12,3625,27,1,5,13,22,26,32,300,,,7
,13,4030,29,1,5,14,24,28,34,300,,,8
,14,4320,31,1,5,15,26,30,36,300,,,9
,15,4760,33,1,5,16,28,32,38,300,,,9
,16,5331,35,1,5,17,30,34,40,300,,,10
,17,5998,36,1,5,18,32,36,42,300,,,11
,18,6777,38,1,5,19,34,38,44,300,,,11
,19,7692,39,1,5,20,36,40,46,300,,,12
,20,8769,40,1,6,20,38,42,48,320,,5,12
,21,10014,42,1,6,21,40,44,50,350,,1,13
,22,11517,43,1,6,22,42,46,52,360,,1,13
,23,13302,45,1,6,23,44,46,54,370,,1,14
,24,15430,46,1,6,23,46,48,56,380,,1,14
,25,17976,48,1,7,24,48,50,58,390,,1,15
,26,21032,49,1,7,24,50,52,60,400,,1,16
,27,24712,69,1,7,25,52,54,62,500,,1,16
,28,29160,52,1,8,25,54,56,64,600,,1,17
,29,34555,53,1,8,26,56,58,66,800,,5,20
,30,41120,55,1,11,27,65,60,68,5000,,,20
LevelDifferences
,LevelDifference,PlayerHitChance,AIHitChance,PvPHitChance,MobExpMultiplier,ObserveRadiusMultiplier,MercenaryCostMultiplier,,,,,
,10,,50,50,125,20,500,,,,,
,9,,50,50,125,30,450,,,,,
,8,,50,50,125,50,400,,,,,
,7,,50,50,125,60,350,,,,,
,6,,50,50,125,70,300,,,,,
,5,5,50,50,125,80,250,,,,,
,4,10,60,60,125,90,200,,,,,
,3,25,70,70,115,100,150,,,,,
,2,65,80,80,110,100,100,,,,,
,1,90,90,90,105,100,75,,,,,
,0,100,100,100,100,100,75,,,,,
,-1,100,100,100,80,100,75,,,,,
,-2,100,100,100,50,110,75,,,,,
,-3,100,100,100,20,120,75,,,,,
,-4,100,100,100,10,130,50,,,,,
,-5,100,100,100,,140,50,,,,,
,-6,100,100,100,,160,50,,,,,
,-7,100,100,100,,180,50,,,,,
,-8,100,100,100,,200,50,,,,,
,-9,100,100,100,,200,50,,,,,
,-10,100,100,100,,200,50,,,,,
Constants
,Name,Value,,,,,,,,,,
,LevelCap,30,,,,,,,,,,
,TalentTreeUnlockLevel,100,,,,,,,,,,
,TalentPointsPerExpLevel,1,,,,,,,,,,
,TalentPointsPerPrestigeRank,2,,,,,,,,,,
,TalentPointsForNextTier,5,,,,,,,,,,
,MoneyDropChance,35,,,,,,,,,,
,ItemLevelCap,40,,,,,,,,,,
,MercenaryHireTime,600000,,,,,,,,,,
,UncommonMoneyDropChance,3,,,,,,,,,,
,RecipeCashCostMultiplier,3,,,,,,,,,,
,ShowFBPromo,FALSE,,,,,,,,,,
,MaxConsumableItemStackSize,50,,,,,,,,,,
ReSpec
,GameMoneyCost,DiamondCost,,,,,,,,,,
,50,1,,,,,,,,,,
,100,2,,,,,,,,,,
,500,10,,,,,,,,,,
,4000,20,,,,,,,,,,
,8000,30,,,,,,,,,,
BagDiamondCosts
,BagSize,DiamondCost,,,,,,,,,,
,1,3,,,,,,,,,,
,2,12,,,,,,,,,,
,3,27,,,,,,,,,,
,4,48,,,,,,,,,,
,5,75,,,,,,,,,,
,6,108,,,,,,,,,,
,7,147,,,,,,,,,,
,8,192,,,,,,,,,,
,9,243,,,,,,,,,,
,10,300,,,,,,,,,,
,11,363,,,,,,,,,,
,12,432,,,,,,,,,,
,13,507,,,,,,,,,,
,14,588,,,,,,,,,,
,15,675,,,,,,,,,,
,16,768,,,,,,,,,,
CostModifier
,Name,CostModifier,,,,,,,,,,
,Weapon,100,,,,,,,,,,
,Equipment,40,,,,,,,,,,
,TreasureBox,10,,,,,,,,,,
,Recipe,400,,,,,,,,,,
ItemDiamondPricesExact
,ItemLevel,Poor,Common,Uncommon,Rare,Epic,,,,,,
,1,30,75,100,150,200,,,,,,
,10,90,210,1050,1500,2000,,,,,,
,30,300,900,4500,9000,15000,,,,,,
,40,900,2700,13500,27000,55000,,,,,,
DiamondsToGameMoney
,ExpLevel,Rate,,,,,,,,,,
,1,20,,,,,,,,,,
,30,50,,,,,,,,,,
,40,200,,,,,,,,,,
WeaponLevelDamage
,Level,Damage,,,,,,,,,,
,1,12,,,,,,,,,,
,2,18,,,,,,,,,,
,3,24,,,,,,,,,,
,4,26,,,,,,,,,,
,5,28,,,,,,,,,,
,6,31,,,,,,,,,,
,7,34,,,,,,,,,,
,8,37,,,,,,,,,,
,9,41,,,,,,,,,,
,10,44,,,,,,,,,,
,11,49,,,,,,,,,,
,12,55,,,,,,,,,,
,13,61,,,,,,,,,,
,14,66,,,,,,,,,,
,15,72,,,,,,,,,,
,16,77,,,,,,,,,,
,17,81,,,,,,,,,,
,18,86,,,,,,,,,,
,19,91,,,,,,,,,,
,20,96,,,,,,,,,,
,21,100,,,,,,,,,,
,22,103,,,,,,,,,,
,23,106,,,,,,,,,,
,24,109,,,,,,,,,,
,25,112,,,,,,,,,,
,26,115,,,,,,,,,,
,27,118,,,,,,,,,,
,28,121,,,,,,,,,,
,29,123,,,,,,,,,,
,30,125,,,,,,,,,,
,31,128,,,,,,,,,,
,32,131,,,,,,,,,,
,33,134,,,,,,,,,,
,34,138,,,,,,,,,,
,35,142,,,,,,,,,,
,36,148,,,,,,,,,,
,37,153,,,,,,,,,,
,38,158,,,,,,,,,,
,39,165,,,,,,,,,,
,40,170,,,,,,,,,,
