Name,Text
TID_CHARACTER_0,Alton Harvey
TID_CHARACTER_1,Raul Jimenez
TID_CHARACTER_2,Javier Marez
TID_CHARACTER_3,Donovan
TID_CHARACTER_4,Convict Lars
TID_CHARACTER_5,Convict Bert
TID_CHARACTER_6,Convict Eric
TID_CHARACTER_7,Convict Michael
TID_CHARACTER_8,Mad Dog Brawler
TID_CHARACTER_9,Hooligan
TID_CHARACTER_10,Young Hooligan
TID_CHARACTER_11,Stoned Hooligan
TID_CHARACTER_12,Haywire Hooligan
TID_CHARACTER_13,Aggressive Hooligan
TID_CHARACTER_14,Rebellious Hooligan
TID_CHARACTER_15,Malicious Hooligan
TID_CHARACTER_16,Scarred Hooligan
TID_CHARACTER_17,Cruel Hooligan
TID_CHARACTER_18,Top Dog Hooligan
TID_CHARACTER_19,Nea
TID_CHARACTER_20,Mia
TID_CHARACTER_21,Convict Emil
TID_CHARACTER_22,Dawnbreak City Guide
TID_CHARACTER_23,Labycore Interrogator
TID_CHARACTER_24,Emily Cartwright
TID_CHARACTER_25,Officer Smith
TID_CHARACTER_26,Luke Ruth
TID_CHARACTER_27,Interrogated Victim
TID_CHARACTER_28,John Casmir
TID_CHARACTER_29,Susie Cohen
TID_CHARACTER_30,Oscar Cohen
TID_CHARACTER_31,Orion Skyhigh
TID_CHARACTER_32,Member of the Resistance
TID_CHARACTER_33,Michael Dunden
TID_CHARACTER_34,Nicholas Morgil
TID_CHARACTER_35,Casey Jones
TID_CHARACTER_36,Lemmy Colorado
TID_CHARACTER_37,Verm Geggison
TID_CHARACTER_38,Mr. Forsten
TID_CHARACTER_39,Willie Jackman
TID_CHARACTER_40,Hox the Junkie
TID_CHARACTER_41,Ann Lin
TID_CHARACTER_42,Terese Triware
TID_CHARACTER_43,Gilbert Crothers
TID_CHARACTER_44,Murphy
TID_CHARACTER_45,George The Handyman
TID_CHARACTER_46,MalePlayerConstructionWorker
TID_CHARACTER_47,MalePlayerDoctor
TID_CHARACTER_48,MalePlayerDeerHunter
TID_CHARACTER_49,FemalePlayerMarine
TID_CHARACTER_50,FemalePlayerDoctor
