Name,Attributes,CharacterClass,ArmorClass,IngredientDrop,Type,DiamondsOnly,Hostile,AttackHostile,Faction,MinLevel,MaxLevel,AI_Skills,DropOnlyClassSpecificItems,Items,ItemCounts,Weapon,Companion,Animation,IdleAnimationClip,AfkAnimationClip,Hair,Skin,Face,FacialHair,Hat,Glasses,Jacket,Pants,Gloves,Shoes,Belt,Necklace,DefaultSpeedDisabled,MovementSpeed,CombatMovementSpeed,AI_WaitTimeMin,AI_WaitTimeMax,AI_SkillDelayMin,AI_SkillDelayMax,AI_SkillDelayMinForNewTarget,AI_SkillDelayMaxForNewTarget,AI_AlertRadius,AI_ObserveRange,DeathEffect,HideOnDeath,RareDeathEffect,HideOnRareDeath,Scale,DamageEffect,DeathSound,DamageSound,GreetingsSound,GoodbyeSound,HostileSound,DualWeapons,AutoAttack
Alton Harvey,Big_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,Kingfisher,,Fatman,,,Male_Hair_3,Skin5,Male_Face3,,,Aiming Visor,Camo Shirt,NPC MALE Docker Worker Pants 02,NPC Yellow Working Gloves,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Raul Jimenez,Medium_HighDamage_Escort,,Unarmored,,,,,,Resistance,1,30,,,,,Laser Blade,,Tank,,,Male_Hair_13,Skin4,Male_Face2,beard_black_full,,,Horsehair Shirt,Cracked Pants,,Acute Boots,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Javier Marez,Big_HighDamage,,Unarmored,,,,,,Resistance,1,30,,,,,Laser Lasher,,DualPistol,,,Don's Toupee,Skin1,Male_Face3,,,,IR Camouflage,Flex Pants,,NPC Male Mad Dogs Shoes 01,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,TRUE,
Donovan,Big_LowDamage,,Unarmored,,,,,,Resistance,1,30,,,,,Falcon,,DualPistol,,,Don's Toupee,Skin1,Male_Face3,,,Sungazers,Elite Shirt,Elite Pants,,Acute Boots,,,,500,1100,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,TRUE,
Convict Lars,Small_LowDamage,,Unarmored,,,,,,Junkie,1,30,,,,,,,Junkie_Sleep,,,Male_Hair_2,Skin1,Male_Face3,,,,,,,,,,TRUE,,,,,,,,,,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Convict Bert,Small_LowDamage,,Unarmored,,,,,,Junkie,1,30,,,,,Crappy 9mm Pistol,,Junkie_Sit,,,Male_Hair_3,Skin6,Male_Face2,,,,,,,,,,TRUE,,,,,,,,,,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Convict Eric,Small_LowDamage,,Unarmored,,,,,,Junkie,1,30,,,,,Crappy 9mm Pistol,,Junkie_Sit,,,Male_Hair_1,Skin1,Male_Face3,,,,,,,,,,TRUE,,,,,,,,,,75,DeathEffect1,,ExploMan,TRUE,100,HitEffect1,,,,,,,
Convict Michael,Big_HighDamage,,Unarmored,,,,,,Junkie,1,30,,,,,,,Junkie,,,Male_Hair_4,Skin5,Male_Face3,,,,,,,,,,TRUE,,,,,,,,,,75,DeathEffect1,,ExploMan,TRUE,105,HitEffect1,,,,,,,
Mad Dog Brawler,Big_LowDamage,,Unarmored,,,,TRUE,,Mad Dogs,1,30,,,,,Popular Monkey Wrench,,Tank,,,Male_Hair_5,Skin1,Male_Face3,,,,Great Suit Jacket,Typical Suit Trousers,,Cool Black Shoes,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
Hooligan,Small_LowDamage,,Unarmored,,,,TRUE,,Hooligans,1,30,,,,,Regular Knife,,Rogue,,,Male_Hair_1,Skin1,Male_Face3,,,,,NPC MALE Hooligans Pants 02,,NPC Male Hooligans Shoes 01,,,,,,4000,10000,3000,6000,1000,2000,50,75,DeathEffect1,,ExploMan,TRUE,,HitEffect1,,,,,,,
