Name,Text
TID_CONSUMABLE_ITEM_CLASS_0,Explosive
TID_CONSUMABLE_ITEM_CLASS_1,Medikit
TID_CONSUMABLE_ITEM_CLASS_2,Projectile
TID_CONSUMABLE_ITEM_CLASS_3,Energizer
TID_CONSUMABLE_ITEM_CLASS_4,Combat Booster
TID_CONSUMABLE_ITEM_CLASS_5,Stimulant
TID_CONSUMABLE_ITEM_CLASS_6,Special Weapon
TID_CONSUMABLE_ITEM_CLASS_7,Special Missile
TID_CONSUMABLE_ITEM_CLASS_8,Super Ammo
TID_CONSUMABLE_ITEM_CLASS_9,Exploding Ammo
TID_CONSUMABLE_ITEM_CLASS_10,Piercing Ammo
TID_CONSUMABLE_ITEM_CLASS_11,Enhanced Weapon
TID_CONSUMABLE_ITEM_CLASS_12,Exploding Add-on
TID_CONSUMABLE_ITEM_CLASS_13,Cyanide Surprise
TID_CONSUMABLE_ITEM_CLASS_14,Food
TID_CONSUMABLE_ITEM_CLASS_15,Drink
TID_CONSUMABLE_ITEM_CLASS_16,Insta-Healer Ability 1
TID_CONSUMABLE_ITEM_CLASS_17,Insta-Healer Ability 2
TID_CONSUMABLE_ITEM_CLASS_18,Insta-Healer Ability 3
TID_CONSUMABLE_ITEM_CLASS_19,Area-Healer Ability 1
TID_CONSUMABLE_ITEM_CLASS_20,Area-Healer Ability 2
TID_CONSUMABLE_ITEM_CLASS_21,Area-Healer Ability 3
TID_CONSUMABLE_ITEM_CLASS_22,Prolonger Ability 1
TID_CONSUMABLE_ITEM_CLASS_23,Prolonger Ability 2
TID_CONSUMABLE_ITEM_CLASS_24,Prolonger Ability 3
TID_CONSUMABLE_ITEM_CLASS_25,Wasp Ability 1
TID_CONSUMABLE_ITEM_CLASS_26,Wasp Ability 2
TID_CONSUMABLE_ITEM_CLASS_27,Wasp Ability 3
TID_CONSUMABLE_ITEM_CLASS_28,Firefly Ability 1
TID_CONSUMABLE_ITEM_CLASS_29,Firefly Ability 2
TID_CONSUMABLE_ITEM_CLASS_30,Firefly Ability 3
TID_CONSUMABLE_ITEM_CLASS_31,Leviathan Ability 1
TID_CONSUMABLE_ITEM_CLASS_32,Leviathan Ability 2
TID_CONSUMABLE_ITEM_CLASS_33,Leviathan Ability 3
TID_CONSUMABLE_ITEM_CLASS_34,Rampage Ability 1
TID_CONSUMABLE_ITEM_CLASS_35,Rampage Ability 2
TID_CONSUMABLE_ITEM_CLASS_36,Rampage Ability 3
TID_CONSUMABLE_ITEM_CLASS_37,Bulwark Ability 1
TID_CONSUMABLE_ITEM_CLASS_38,Bulwark Ability 2
TID_CONSUMABLE_ITEM_CLASS_39,Bulwark Ability 3
TID_CONSUMABLE_ITEM_CLASS_40,Hurricane Ability 1
TID_CONSUMABLE_ITEM_CLASS_41,Hurricane Ability 2
TID_CONSUMABLE_ITEM_CLASS_42,Hurricane Ability 3
