Name,Text
TID_TOOLTIP_CONSUMABLE_DYNAMITE,Enemies in the explosion area receive <DAMAGE> damage.
TID_TOOLTIP_CONSUMABLE_GRENADE,Enemies in the explosion area gets knocked back and receive <DAMAGE> damage.
TID_TOOLTIP_CONSUMABLE_SHURIKEN,Causes <DAMAGE> damage to the targeted enemy.
TID_TOOLTIP_CONSUMABLE_MEDIKIT,Instantly increases your health by <DAMAGE>.
TID_TOOLTIP_CONSUMABLE_ENERGIZER,Instantly increases your energy by <ENERGY>.
TID_CONSUMABLE_ITEM_SKILL_0,Small Grenade
TID_CONSUMABLE_ITEM_SKILL_1,Grenade
TID_CONSUMABLE_ITEM_SKILL_2,Big Grenade
TID_CONSUMABLE_ITEM_SKILL_3,Great Grenade
TID_CONSUMABLE_ITEM_SKILL_4,Greater Grenade
TID_CONSUMABLE_ITEM_SKILL_5,Superior Grenade
TID_CONSUMABLE_ITEM_SKILL_6,Small Dynamite
TID_CONSUMABLE_ITEM_SKILL_7,Dynamite
TID_CONSUMABLE_ITEM_SKILL_8,Big Dynamite
TID_CONSUMABLE_ITEM_SKILL_9,Great Dynamite
TID_CONSUMABLE_ITEM_SKILL_10,Greater Dynamite
TID_CONSUMABLE_ITEM_SKILL_11,Superior Dynamite
TID_CONSUMABLE_ITEM_SKILL_12,Small Shuriken
TID_CONSUMABLE_ITEM_SKILL_13,Shuriken
TID_CONSUMABLE_ITEM_SKILL_14,Big Shuriken
TID_CONSUMABLE_ITEM_SKILL_15,Great Shuriken
TID_CONSUMABLE_ITEM_SKILL_16,Greater Shuriken
TID_CONSUMABLE_ITEM_SKILL_17,Superior Shuriken
TID_CONSUMABLE_ITEM_SKILL_18,Small Medikit
TID_CONSUMABLE_ITEM_SKILL_19,Medikit
TID_CONSUMABLE_ITEM_SKILL_20,Big Medikit
TID_CONSUMABLE_ITEM_SKILL_21,Great Medikit
TID_CONSUMABLE_ITEM_SKILL_22,Greater Medikit
TID_CONSUMABLE_ITEM_SKILL_23,Superior Medikit
TID_CONSUMABLE_ITEM_SKILL_24,Small Energy Boost
TID_CONSUMABLE_ITEM_SKILL_25,Energy Boost
TID_CONSUMABLE_ITEM_SKILL_26,Big Energy Boost
TID_CONSUMABLE_ITEM_SKILL_27,Great Energy Boost
TID_CONSUMABLE_ITEM_SKILL_28,Greater Energy Boost
TID_CONSUMABLE_ITEM_SKILL_29,Superior Energy Boost
TID_CONSUMABLE_ITEM_SKILL_30,Small Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_31,Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_32,Big Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_33,Great Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_34,Greater Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_35,Superior Molotov Cocktail
TID_CONSUMABLE_ITEM_SKILL_36,Shock Grenade
TID_CONSUMABLE_ITEM_SKILL_37,Big Shock Grenade
TID_CONSUMABLE_ITEM_SKILL_38,Great Shock Grenade
TID_CONSUMABLE_ITEM_SKILL_39,Greater Shock Grenade
TID_CONSUMABLE_ITEM_SKILL_40,Superior Shock Grenade
TID_CONSUMABLE_ITEM_SKILL_41,Big Gas Grenade
TID_CONSUMABLE_ITEM_SKILL_42,Great Gas Grenade
TID_CONSUMABLE_ITEM_SKILL_43,Greater Gas Grenade
TID_CONSUMABLE_ITEM_SKILL_44,Superior Gas Grenade
TID_CONSUMABLE_ITEM_SKILL_45,Small Bazooka
TID_CONSUMABLE_ITEM_SKILL_46,Bazooka
TID_CONSUMABLE_ITEM_SKILL_47,Big Bazooka
TID_CONSUMABLE_ITEM_SKILL_48,Great Bazooka
TID_CONSUMABLE_ITEM_SKILL_49,Greater Bazooka
TID_CONSUMABLE_ITEM_SKILL_50,Super Bazooka
TID_CONSUMABLE_ITEM_SKILL_51,Minor Air Strike
TID_CONSUMABLE_ITEM_SKILL_52,Air Strike
TID_CONSUMABLE_ITEM_SKILL_53,Major Air Strike
TID_CONSUMABLE_ITEM_SKILL_54,Huge Air Strike
