Name,ConsumableItemClass,RequiredWeaponClass,DropOnlyTo,RequiredLevel,MinDamage,MaxDamage,MaxScaledLevel,MinScaledDamage,MaxScaledDamage,Rarity,ShopRecommend,DontScaleStarRating,LootDisabled,DiamondsOnly,DiamondCostExact,LootMinLevel,LootMaxLevel,PlaceableInEditor,AlwaysOnVendor,LootResource,LootExportName,EnergyCost,HealthCost,Projectile,TargetFilter,Range,Threat,Cast,AoeRadius,AoeFilter,MinEnergy,MaxEnergy,PushBack,Animation,WeaponClassAnimation,SpecialWeapon,Icon,TOOL_TIP_TID,ActivationStartEffect,ActivationHitEffect,TargetEffect,CastEndSound,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,ShootDuration,ShootCount,BuffDuration,BuffAoeRadius,BuffAoeFilter,BuffStun,BuffMovementSpeed,BuffSkillSpeed,BuffMoney,BuffExperience,BuffArmor,BuffArmor%,BuffIntelligence,BuffAgility,BuffStrength,BuffStamina,BuffCredibility,BuffEnergy,BuffDamage,ScaledBuffDamage,BuffEffect,FBSpecialReward,FBWallPostIcon
Small Grenade,Explosive,,,3,14,28,,,,Common,,,TRUE,,45,3,5,,,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,1,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenade,Explosive,,,3,100,120,8,300,400,Common,,,TRUE,,45,3,14,,TRUE,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,2,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Grenade,Explosive,,,11,500,600,,,,Common,,,TRUE,,45,11,15,,,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,3,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Grenade,Explosive,,,13,500,600,18,500,600,Common,,,TRUE,,45,13,24,,TRUE,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,4,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Grenade,Explosive,,,21,66,132,,,,Common,,,TRUE,,45,21,25,,,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,5,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Grenade,Explosive,,,23,500,700,30,500,700,Common,,,TRUE,,45,23,30,,TRUE,graphics/loot/loot_box1.swf,LootGrenade,,,Grenade,location,,10,450,45,enemy,,,TRUE,Throw,,,6,TID_TOOLTIP_CONSUMABLE_GRENADE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Dynamite,Explosive,,,5,40,40,,,,Common,,,TRUE,,45,5,9,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,13,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite,Explosive,,,10,62,62,,,,Common,,,TRUE,,45,10,14,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,14,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dynamite,Explosive,,,15,91,91,,,,Common,,,TRUE,,45,15,19,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,15,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Dynamite,Explosive,,,20,120,120,,,,Common,,,TRUE,,45,20,24,,,graphics/loot/loot_box1.swf,LootDynamite,,,Dynamite,location,,10,600,35,enemy,,,,Throw,,,16,TID_TOOLTIP_CONSUMABLE_DYNAMITE,,GrenadeExplosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
