Armor
,Lvl,Common,Uncommon,Rare,Epic
,1,1,60,720,1440
,2,2,60,720,1440
,3,3,60,720,1440
,4,4,120,720,1440
,5,6,120,720,1440
,6,10,180,1080,2160
,7,15,180,1080,2160
,8,20,240,1080,2160
,9,30,240,1080,2160
,10,40,300,1080,2160
,11,45,300,1080,2160
,12,60,360,1080,2160
,13,60,360,1080,2160
,14,60,420,1080,2160
,15,60,420,1440,2160
,16,90,480,1440,2880
,17,90,480,1440,2880
,18,90,480,1440,2880
,19,90,480,1440,2880
,20,90,480,1440,2880
,21,120,480,1440,2880
,22,120,480,1440,2880
,23,120,480,1440,2880
,24,120,480,1440,2880
,25,120,480,1800,2880
,26,150,720,1800,3600
,27,150,720,1800,3600
,28,150,720,1800,3600
,29,150,720,1800,3600
,30,180,720,1800,3600
,31,180,1080,2160,3600
,32,180,1080,2160,3600
,33,180,1080,2160,3600
,34,180,1080,2160,4320
,35,180,1080,2160,4320
,36,180,1080,2160,4320
,37,180,1080,2160,4320
,38,180,1080,2160,4320
,39,180,1080,2160,4320
,40,180,1080,2160,4320
Weapon
,Lvl,Common,Uncommon,Rare,Epic
,1,1,480,1440,1920
,2,3,480,1440,1920
,3,5,480,1440,1920
,4,7,480,1440,1920
,5,10,480,1440,1920
,6,20,480,1440,2880
,7,30,720,1440,2880
,8,45,720,1440,2880
,9,60,720,1440,2880
,10,60,720,1440,2880
,11,60,720,1800,2880
,12,60,720,1800,2880
,13,90,720,1800,2880
,14,90,720,1800,2880
,15,90,720,1800,3600
,16,120,720,1800,3600
,17,120,720,1800,3600
,18,120,720,1800,3600
,19,150,720,1800,3600
,20,150,720,1800,4320
,21,150,720,2160,4320
,22,180,720,2160,4320
,23,180,720,2160,4320
,24,210,720,2160,4320
,25,210,1080,2160,4320
,26,240,1080,2160,4320
,27,240,1080,2160,4320
,28,270,1080,2160,4320
,29,270,1080,2160,4320
,30,300,1080,2160,5040
,31,300,1080,2880,5040
,32,300,1080,2880,5040
,33,300,1080,2880,5040
,34,300,1080,2880,5040
,35,300,1080,2880,5040
,36,300,1080,2880,5040
,37,300,1080,2880,5040
,38,300,1080,2880,5040
,39,300,1080,2880,5040
,40,300,1080,2880,5040
Accessories
,Lvl,Common,Uncommon,Rare,Epic
,1,1,60,720,1440
,2,2,60,720,1440
,3,3,60,720,1440
,4,4,120,720,1440
,5,6,120,720,1440
,6,10,120,720,2160
,7,15,120,720,2160
,8,20,240,1080,2160
,9,30,240,1080,2160
,10,40,240,1080,2160
,11,45,240,1080,2160
,12,60,360,1080,2160
,13,60,360,1080,2160
,14,60,360,1080,2160
,15,60,360,1440,2160
,16,90,480,1440,2880
,17,90,480,1440,2880
,18,90,480,1440,2880
,19,90,480,1440,2880
,20,90,480,1440,2880
,21,120,480,1440,2880
,22,120,480,1440,2880
,23,120,480,1440,2880
,24,120,480,1440,2880
,25,120,480,1440,2880
,26,150,480,1440,3600
,27,150,480,1440,3600
,28,150,480,1440,3600
,29,150,480,1440,3600
,30,180,480,1440,3600
,31,180,720,1800,3600
,32,180,720,1800,3600
,33,180,720,1800,3600
,34,180,720,1800,4320
,35,180,720,1800,4320
,36,180,720,1800,4320
,37,180,720,1800,4320
,38,180,720,1800,4320
,39,180,720,1800,4320
,40,180,720,1800,4320
