Name,Difficulty,GiverLevel,GiverObjectType,TaskType,MissionGroup,RewardIngredient,RewardIngredientAmount
I1_DM1,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I1_DM2,Medium,Idas Harbor Square,Reisman,loot,Daily,Power Cells,1
I1_DM3,Medium,Idas Harbor Square,Reisman,loot,Daily,Power Cells,1
I1_DM4,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I1_DM5,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I1_DM6,Medium,Idas Harbor Square,Reisman,loot,Daily,Power Cells,1
I1_DM7,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I1_DM8,Medium,Idas Harbor Square,Reisman,loot,Daily,Power Cells,1
I1_DM9,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I1_DM10,Medium,Idas Harbor Square,Reisman,eliminate,Daily,Power Cells,1
I2_DM1,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I2_DM2,Medium,Argus Harbor Square,Worden,loot,Daily,Power Cells,1
I2_DM3,Medium,Argus Harbor Square,Worden,loot,Daily,Power Cells,1
I2_DM4,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I2_DM5,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I2_DM6,Medium,Argus Harbor Square,Worden,loot,Daily,Power Cells,1
I2_DM7,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I2_DM8,Medium,Argus Harbor Square,Worden,loot,Daily,Power Cells,1
I2_DM9,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I2_DM10,Medium,Argus Harbor Square,Worden,eliminate,Daily,Power Cells,1
I3_DM1,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM2,Medium,Actor Harbor Square,Wladislaw,loot,Daily,Power Cells,1
I3_DM3,Medium,Actor Harbor Square,Wladislaw,loot,Daily,Power Cells,1
I3_DM4,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM5,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM6,Medium,Actor Harbor Square,Wladislaw,loot,Daily,Power Cells,1
I3_DM7,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM8,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM9,Medium,Actor Harbor Square,Wladislaw,eliminate,Daily,Power Cells,1
I3_DM10,Medium,Actor Harbor Square,Wladislaw,loot,Daily,Power Cells,1
I4_DM1,Medium,Castor Harbor Square,Franko,loot,Daily,Power Cells,1
I4_DM2,Medium,Castor Harbor Square,Franko,eliminate,Daily,Power Cells,1
I4_DM3,Medium,Castor Harbor Square,Franko,eliminate,Daily,Power Cells,1
I4_DM4,Medium,Castor Harbor Square,Franko,eliminate,Daily,Power Cells,1
I4_DM5,Medium,Castor Harbor Square,Franko,loot,Daily,Power Cells,1
I4_DM6,Medium,Castor Harbor Square,Franko,loot,Daily,Power Cells,1
I4_DM7,Medium,Castor Harbor Square,Franko,loot,Daily,Power Cells,1
I4_DM8,Medium,Castor Harbor Square,Franko,eliminate,Daily,Power Cells,1
I4_DM9,Medium,Castor Harbor Square,Franko,eliminate,Daily,Power Cells,1
I4_DM10,Medium,Castor Harbor Square,Franko,loot,Daily,Power Cells,1
I5_DM1,Medium,Medea Harbor Square,Jefferson,eliminate,Daily,Power Cells,1
