Name,Text
TID_DAILY_RANDOM_MISSION_TASK_ELIMINATE_0,Eliminate the designated targets.
TID_DAILY_RANDOM_MISSION_TASK_ELIMINATE_1,Get rid of specified tangoes.
TID_DAILY_RANDOM_MISSION_TASK_ELIMINATE_2,Kill the designated enemies.
TID_DAILY_RANDOM_MISSION_TASK_ELIMINATE_3,Eliminate the specified hostiles.
TID_DAILY_RANDOM_MISSION_TASK_ELIMINATE_4,Kill the troublesome enemies.
TID_DAILY_RANDOM_MISSION_TASK_LOOT_0,Pick up supplies for the Resistance.
TID_DAILY_RANDOM_MISSION_TASK_LOOT_1,Loot the enemy bodies for supplies.
TID_DAILY_RANDOM_MISSION_TASK_LOOT_2,Loot fallen enemies for supplies.
TID_DAILY_RANDOM_MISSION_TASK_LOOT_3,Recover supplies from eliminated tangoes.
TID_DAILY_RANDOM_MISSION_TASK_LOOT_4,Recover supplies from killed hostiles.
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_0,<ISLAND_NAME> Needs a Flyswat
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_1,<ISLAND_NAME> Issues a Call to Arms
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_2,<ISLAND_NAME> Wants You
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_3,<ISLAND_NAME> is Hiring Mercenaries
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_4,<ISLAND_NAME> Needs Reinforcements
TID_DAILY_RANDOM_MISSION_NAME_ELIMINATE_5,<ISLAND_NAME> Needs a Few Good Men
TID_DAILY_RANDOM_MISSION_NAME_LOOT_0,<ISLAND_NAME> Needs Supplies
TID_DAILY_RANDOM_MISSION_NAME_LOOT_1,<ISLAND_NAME> Needs a Resupply
TID_DAILY_RANDOM_MISSION_NAME_LOOT_2,<ISLAND_NAME> Needs a Handout
TID_DAILY_RANDOM_MISSION_NAME_LOOT_3,<ISLAND_NAME> Supplies Running Dry!
TID_DAILY_RANDOM_MISSION_NAME_LOOT_4,<ISLAND_NAME> is Planning a Supply Raid
TID_DAILY_RANDOM_MISSION_NAME_LOOT_5,<ISLAND_NAME> is Out of Supplies!
TID_DAILY_RANDOM_MISSION_RECEIVE_0,"Great job, kid! I knew I could count on you! There's always something to do around here - if not today, then tomorrow for sure."
TID_DAILY_RANDOM_MISSION_RECEIVE_1,"Well, well. Looks like you pulled thru. Good work. Here's your reward - go paint the town red."
TID_DAILY_RANDOM_MISSION_RECEIVE_2,Nice.
TID_DAILY_RANDOM_MISSION_RECEIVE_3,"Oh, man! I could see you stir up all kinds of trouble back there! It's amazing you're still walking! Good work, absolutely."
TID_DAILY_RANDOM_MISSION_RECEIVE_4,"What, you expect a medal or something? You did a fine job, but don't rest on your laurels, all complacent. The resistance isn't at war just on this island, you know?"
TID_DAILY_RANDOM_MISSION_RECEIVE_5,"Mission accomplished, eh? Well, now! This sure paints a big smile on my face. Here's something for your troubles."
TID_DAILY_RANDOM_MISSION_RECEIVE_6,Good going! Let me know if you want another job - I'm sure that by sometime tomorrow I'll have something else that needs to be done.
TID_DAILY_RANDOM_MISSION_RECEIVE_7,"With soldiers like you on our side, toppling Labycore is just a matter of time. Excellent work, kid. Excellent."
TID_DAILY_RANDOM_MISSION_RECEIVE_8,Glad you made it back. Hope it didn't get too hairy!
TID_DAILY_RANDOM_MISSION_RECEIVE_9,Sweet. I just love the sound of automatic weapons.
