Name,Tags,Resource,ExportName,Width,Height,BlocksLineOfSight,FadeToTransparent,Effect,ShadowSize,ShadowBlur,ShadowAlpha,AnimationSound,ActiveEffect,ActiveEffectX,ActiveEffectY,Passable,RespawnDuration
BrownChairBack,chair REMOVE,graphics/decos/chair/brown_chairs.swf,BrownChairBack,1,1,,,,,,,,,,,,
BrownChairBackTilted,chair REMOVE,graphics/decos/chair/brown_chairs.swf,BrownChairBackTilted,1,1,,,,,,,,,,,,
BrownChairFrontTilted,chair REMOVE,graphics/decos/chair/brown_chairs.swf,BrownChairFrontTilted,1,1,,,,,,,,,,,,
BambooBoxLeft,plants,graphics/decos/plants/bamboo.swf,BambooBoxLeft,1,2,,,,,,,,,,,,
BambooPot,plants,graphics/decos/plants/bamboo.swf,BambooPot,1,1,,,,,,,,,,,,
LimeWallLeft,walls UPDATE,graphics/decos/walls/lime_walls.swf,LimeWallLeft,1,4,TRUE,TRUE,,,,,,,,,,
PaperWallLeft,walls REMOVE,graphics/decos/walls/paper_walls.swf,PaperWallLeft,1,3,TRUE,TRUE,,,,,,,,,,
ItaloBuilding1,restaurant UPDATE,graphics/decos/buildings/italo.swf,ItaloRestaurant1,9,8,TRUE,TRUE,,,,,,,,,,
Cargo1Left,truck train cargo,graphics/decos/train_yard/cargo.swf,Cargo1Left,1,3,,,,1,0,,,,,,,
Cargo2Left,truck train cargo,graphics/decos/train_yard/cargo.swf,Cargo2Left,1,3,,,,2,,,,,,,,
TruckLeft,truck cargo UPDATE,graphics/decos/train_yard/truck_old.swf,TruckLeft,3,8,,,,,,,,,,,,
TruckTrailerLeft,truck cargo UPDATE,graphics/decos/train_yard/truck_old.swf,TruckTrailerLeft,3,7,,,,,,,,,,,,
ContainerRight,container,graphics/decos/train_yard/containers.swf,ContainerRight,7,3,TRUE,TRUE,,,,,,,,,,
Container2Left,container,graphics/decos/train_yard/containers.swf,Container2Left,3,7,TRUE,TRUE,,,,,,,,,,
Container3Left,container,graphics/decos/train_yard/containers.swf,Container3Left,3,7,TRUE,TRUE,,,,,,,,,,
CargoShip,cargo ship dock,graphics/decos/train_yard/cargo_ship.swf,CargoShip1,28,8,,,,,,,,,,,,
PizzaBoxes,pizza,graphics/decos/pizzeria/pizzeria_assets.swf,pizza_boxes,1,1,,,,,,,,,,,,
BoardFenceBack1,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceBack1,1,1,TRUE,TRUE,,,,,,,,,,
BoardFenceBack3,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceBack3,1,1,TRUE,TRUE,,,,,,,,,,
BoardFenceBack4,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceBack4,1,1,TRUE,TRUE,,,,,,,,,,
BoardFenceBackCorner1,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceBackCorner1,1,1,TRUE,TRUE,,,,,,,,,,
BoardFenceBackCorner2,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceBackCorner2,1,1,TRUE,TRUE,,,,,,,,,,
BoardFenceFront1,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFront1,1,1,,TRUE,,,,,,,,,,
BoardFenceFront2,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFront2,1,1,,TRUE,,,,,,,,,,
BoardFenceFront3,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFront3,1,1,,TRUE,,,,,,,,,,
BoardFenceFront4,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFront4,1,1,,TRUE,,,,,,,,,,
BoardFenceFrontCorner1,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFrontCorner1,1,1,,TRUE,,,,,,,,,,
BoardFenceFrontCorner4,board fence,graphics/decos/fences/wood_fences.swf,BoardFenceFrontCorner4,1,1,,,,1,,,,,,,,
