Name,Text
TID_DISTRICT_0,Pearl Island
TID_DISTRICT_1,Harbor Island
TID_DISTRICT_2,Paradise Island
TID_DISTRICT_3,Steel Island
TID_DISTRICT_4,New World
TID_DISTRICT_5,Island.com
TID_DISTRICT_6,Dawnbreak Gardens
TID_DISTRICT_7,Old World Town
TID_DISTRICT_8,Desert
TID_DISTRICT_9,Harbor
TID_DISTRICT_10,New Venice
TID_DISTRICT_11,Industrial
TID_DISTRICT_12,Island: Argus
TID_DISTRICT_13,Island: Castor
TID_DISTRICT_14,Island: Actor
TID_DISTRICT_15,Island: Heracles
TID_DISTRICT_16,Island: Idmon
TID_DISTRICT_17,Island: Leitus
TID_DISTRICT_18,Island: Medea
TID_DISTRICT_19,Island: Oileus
TID_DISTRICT_20,Island: Phlias
TID_DISTRICT_21,Island: Theseus
TID_DISTRICT_22,Island: Zetes
TID_DISTRICT_23,PlaygroundLevels
TID_DISTRICT_24,Island 1: Idas
TID_DISTRICT_25,Island: Achilles
TID_DISTRICT_26,The Colosseum
TID_DISTRICT_27,Omega Island
TID_DISTRICT_28,Borderland
