Name,Looping,FollowParent,ShakeScreen,Time,Type,SWF,ExportName,ParticleEmitterName,Layer,Sound,FlashColor,FlashDuration
Explosion,,,1000,,SWF,graphics/effects/particles/slam.swf,SlamShockAnim,SmokeEmitter,Ground,,,
,,,,,SWF,graphics/effects/particles/slam.swf,SlamFlashAnim,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-251605914,100
HitEffect1,,TRUE,,20,SWF,graphics/effects/hit.swf,HitFlashFx,,Object,,,
,,,,,SWF,graphics/effects/hit.swf,hitFx,,Object,,,
,,,,10,ParticleEmitter,,,BloodSpatter1,Object,,,
DeathEffect1,,TRUE,,,SWF,graphics/effects/death.swf,deathFx,,Object,,,
ObjectClick1,,,,,Filter,graphics/effects/filters/filters.swf,ObjectClick,,Ground,,,
LootEffect,TRUE,TRUE,,,SWF,graphics/loot/loot_box1.swf,LootBling,,Ground,,,
WhirlWind,,TRUE,,,SWF,graphics/effects/whirlwind.swf,WhirlWindFx,,Above object,Skill_Twirler,,
,,,,,Filter,graphics/effects/filters/filters.swf,Blur,,Ground,,,
LevelUp,,TRUE,1500,,SWF,graphics/effects/level_up.swf,LevelUpGroundGlow,,Ground,,,
,,,,,SWF,graphics/effects/level_up.swf,LevelUpFx,,Above object,,,
,,,,,ScreenFlash,,,,Ground,,-154,500
PrestigeLevelUp,,TRUE,,,SWF,graphics/effects/level_up.swf,LevelUpGroundGlow,,Ground,,,
,,,,,SWF,graphics/effects/level_up.swf,LevelUpFx,,Object,,,
SewerSteam,TRUE,TRUE,,,ParticleEmitter,,,SewerSteam,Object,,,
DecoMissionUse,TRUE,,,,Filter,graphics/effects/filters/filters.swf,ObjectClick,,Ground,,,
FlashEffect,,,1000,,SWF,graphics/effects/particles/slam.swf,SlamShockAnim,,Ground,,,
,,,,,SWF,graphics/effects/particles/slam.swf,SlamFlashAnim,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-1,1000
GrenadeExplosion,,,1000,70,ParticleEmitter,,,Emitter3,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Object,,,
,,,,100,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowSlowOut,,Ground,,,
Stun,,,,70,ParticleEmitter,,,Stunner,Object,Skill_Taunt,,
,,,,,SWF,graphics/effects/explosion.swf,ExplosionGroundGlowBlue,,Ground,,,
,,,,130,SWF,graphics/effects/explosion.swf,ElectricLightning,,Object,,,
,,,,,SWF,graphics/effects/explosion.swf,ElectricGlowBall,,Object,,,
,,,,200,ScreenFlash,,,,Ground,,-1258291201,1000
FireLooping,TRUE,,,,ParticleEmitter,,,Smoker2,Object,,,
,,,,,ParticleEmitter,,,FireBall,Object,,,
,,,,,ParticleEmitter,,,FireStorm,Object,,,
,,,,,ParticleEmitter,,,SlowSparkles,Object,,,
WaterPostSpray,TRUE,,,,ParticleEmitter,,,Steamer,Object,,,
CrateBreaking,,,,,ParticleEmitter,,,WoodPieces,Object,WoodenBoxBreak,,
CrateExplosion,,,1000,,ParticleEmitter,,,WoodPieces,Object,WoodenBoxBreak,,
,,,,,ScreenFlash,,,,Ground,,-2140746599,350
BarrelStun,,,1000,80,ParticleEmitter,,,BlueSparksEmitter,Object,,,
,,,,200,SWF,graphics/effects/explosion.swf,ExplosionGroundGlow,,Ground,,,
,,,,,SWF,graphics/effects/explosion.swf,ElectricGlowBall,,Object,,,
,,,,,ScreenFlash,,,,Ground,,-2144075828,600
BarrelPoison,,,,100,ParticleEmitter,,,PoisonCloud_2,Object,,,
,,,,,ScreenFlash,,,,Ground,,1684471603,1000
,,,,,SWF,graphics/effects/common_effects.swf,PoisonSplat,,Object,,,
PoisonSteam,,,,,ParticleEmitter,,,PoisonSteamer,Object,,,
MightyExplosion,,,1000,,SWF,graphics/effects/explosion.swf,ExplosionBlast,,Above object,,,
,,,,,ParticleEmitter,,,FireRingEmitter,Above object,,,
,,,,,ScreenFlash,,,,Ground,,16777113,
,,,,30,ParticleEmitter,,,ExplosionSmoke,Object,,,
,,,,70,ParticleEmitter,,,SparkEmitter1,Object,,,
,,,,100,ParticleEmitter,,,ExplosionUp,Above object,,,
