Name,Text
TID_ENHANCEMENT_0,of the Hunter
TID_ENHANCEMENT_1,of the Beast
TID_ENHANCEMENT_2,of Health
TID_ENHANCEMENT_3,of Stamina
TID_ENHANCEMENT_4,of Brightness
TID_ENHANCEMENT_5,of the Troublemaker
TID_ENHANCEMENT_6,of the Assassin
TID_ENHANCEMENT_7,of Capacity
TID_ENHANCEMENT_8,of Rationality
TID_ENHANCEMENT_9,of the Thug
TID_ENHANCEMENT_10,of Guts
TID_ENHANCEMENT_11,of Awareness
TID_ENHANCEMENT_12,of Determination
TID_ENHANCEMENT_13,of Intuition
TID_ENHANCEMENT_14,of the Scientist
TID_ENHANCEMENT_15,of the Judgment
TID_ENHANCEMENT_16,of the Destroyer
TID_ENHANCEMENT_17,of the Painmaker
TID_ENHANCEMENT_18,of the Predator
TID_ENHANCEMENT_19,of the Legend
TID_ENHANCEMENT_20,of the Ambusher
TID_ENHANCEMENT_21,of the Crymaker
TID_ENHANCEMENT_22,of 6th Sense
