Name,RareAndEpicOnly,Agility,Strength,Stamina,Intelligence,Credibility
of the Hunter,,TRUE,,,,
of the Beast,,,TRUE,,,
of Health,,,,TRUE,,
of Stamina,,,,TRUE,,
of Brightness,,,,,TRUE,
of the Troublemaker,,TRUE,TRUE,,,
of the Assassin,,TRUE,,TRUE,,
of Capacity,,TRUE,,,,TRUE
of Rationality,,TRUE,,,TRUE,
of the Thug,,,TRUE,TRUE,,
of Guts,,,TRUE,,,TRUE
of Awareness,,,TRUE,,TRUE,
of Determination,,,,TRUE,,TRUE
of Intuition,,,,TRUE,TRUE,
of the Scientist,,,,,TRUE,TRUE
of the Judgment,TRUE,,TRUE,TRUE,,TRUE
of the Destroyer,TRUE,,TRUE,,TRUE,TRUE
of the Painmaker,TRUE,TRUE,TRUE,TRUE,,
of the Predator,TRUE,TRUE,TRUE,,,TRUE
of the Legend,TRUE,,,TRUE,TRUE,TRUE
of the Ambusher,TRUE,TRUE,,TRUE,,TRUE
of the Crymaker,TRUE,TRUE,,,TRUE,TRUE
of 6th Sense,TRUE,TRUE,,TRUE,TRUE,
