Name,ParentClass,Icon,LootResource,LootExportName,PropClass,LootScale,,
Shoes,,20,graphics/loot/loot_box1.swf,LootShoes,Shoes,100,,
Black Shoes,Shoes,1,,,,,,
Brown Shoes,Shoes,36,,,,,,
Sneakers,Shoes,16,,,,,,
Open Shoes,Shoes,21,,,,,,
Leather Boots,Shoes,36,,,,,,
Black Boots,Shoes,36,,,,,,
Boots,Shoes,36,,,,,,
Sandals,Shoes,1,,,,,,
Dark Sneakers,Shoes,51,,,,,,
White Sneakers,Shoes,46,,,,,,
Glasses,,1,graphics/loot/loot_box1.swf,LootGlasses,Glasses,100,,
Sunglasses,Glasses,,,,,,,
Shades,Glasses,,,,,,,
Rhinestone shades,Glasses,,,,,,,
Big Shades,Glasses,,,,,,,
Arch shades,Glasses,,,,,,,
Specs,Glasses,,,,,,,
Bee glasses,Glasses,,,,,,,
Aviator Shades,Glasses,,,,,,,
Shutter Shades,Glasses,6,,,,,,
Cybernetic Eye,Glasses,,,,,,,
Pants,,2,graphics/loot/loot_box1.swf,LootPants,Pants,100,,
Dark Pants,Pants,,,,,,,
Black Jeans,Pants,,,,,,,
Branded Jeans,Pants,,,,,,,
Dark Jeans,Pants,,,,,,,
Jeans,Pants,,,,,,,
Brown Jeans,Pants,,,,,,,
Denim Jeans,Pants,,,,,,,
Stonewashed,Pants,,,,,,,
Camo Pants,Pants,,,,,,,
Custom Pants,Pants,,,,,,,
Leather Trousers,Pants,,,,,,,
Armored Pants,Pants,,,,,,,
Orange Pants,Pants,,,,,,,
Studded Pants,Pants,,,,,,,
Butcher's Pants,Pants,,,,,,,
White Pants,Pants,,,,,,,
White Camo Pants,Pants,,,,,,,
Yellow Rider Pants,Pants,,,,,,,
Denim Shorts,Pants,,,,,,,
Striped Trousers,Pants,,,,,,,
Suit Trousers,Pants,,,,,,,
Black Trousers,Pants,,,,,,,
Dark Trousers,Pants,,,,,,,
White Custom Pants,Pants,,,,,,,
Belt,,5,graphics/loot/loot_box1.swf,LootBelt,Belt,100,,
Black Belt,Belt,11,,,,,,
Dark Leather Belt,Belt,11,,,,,,
Black Leather Belt,Belt,11,,,,,,
Belt with Golden Buckle,Belt,16,,,,,,
Belt with Silver Buckle,Belt,11,,,,,,
Brown Belt,Belt,6,,,,,,
Vented Leather Belt,Belt,1,,,,,,
Drum Dyed Belt,Belt,6,,,,,,
Studded Bold Belt,Belt,1,,,,,,
Studded Belt,Belt,1,,,,,,
Design Belt,Belt,11,,,,,,
Utility Belt,Belt,1,,,,,,
Snake Leather Belt,Belt,1,,,,,,
Jacket,,6,graphics/loot/loot_box1.swf,LootShirt,Jacket,100,,
Anarchy Jacket,Jacket,,,,,,,
Armored Jacket,Jacket,,,,,,,
Biker Jacket,Jacket,,,,,,,
Blue Sport Coat,Jacket,,,,,,,
Blue Striped Jacket,Jacket,,,,,,,
Blue Sweater,Jacket,,,,,,,
Braided Leather Jacket,Jacket,,,,,,,
Brown Armor Vest,Jacket,,,,,,,
Brown Leather Jacket,Jacket,,,,,,,
Brown Sweater,Jacket,,,,,,,
Butcher's Jacket,Jacket,,,,,,,
Buttoned Leather Jacket,Jacket,,,,,,,
Camo Shirt,Jacket,,,,,,,
Casual Vest,Jacket,,,,,,,
Cowhide Jacket,Jacket,,,,,,,
Dark Red Sport Coat,Jacket,,,,,,,
Dark Trench Coat,Jacket,,,,,,,
Denim Vest,Jacket,,,,,,,
Distressed Jacket,Jacket,,,,,,,
Drum Dyed Jacket,Jacket,,,,,,,
Faux Leather Jacket,Jacket,,,,,,,
Gang Vest,Jacket,,,,,,,
Gray Fit Shirt,Jacket,,,,,,,
Gray Sweater,Jacket,,,,,,,
Green Sport Coat,Jacket,,,,,,,
Green Sweater,Jacket,,,,,,,
Hooded Jacket,Jacket,,,,,,,
Leather Uniform,Jacket,,,,,,,
Leather Vest,Jacket,,,,,,,
M.C. Jacket,Jacket,,,,,,,
Motorcycle Jacket,Jacket,,,,,,,
Multicolor Shirt,Jacket,,,,,,,
Multicolor T-shirt,Jacket,,,,,,,
Navy Jacket,Jacket,,,,,,,
Night Jacket,Jacket,,,,,,,
Open Blouse,Jacket,,,,,,,
Orange Worker Coat,Jacket,,,,,,,
Patterned Jacket,Jacket,,,,,,,
Protective Vest,Jacket,,,,,,,
Red Coat,Jacket,,,,,,,
Red Sport Coat,Jacket,,,,,,,
Red Sweater,Jacket,,,,,,,
Skull T-shirt,Jacket,,,,,,,
Smart Jacket,Jacket,,,,,,,
SPC Rider Jacket,Jacket,,,,,,,
Sporty Vest,Jacket,,,,,,,
Spy Coat,Jacket,,,,,,,
Studded Anarchy Jacket,Jacket,,,,,,,
Studded Vest,Jacket,,,,,,,
Suede Jacket,Jacket,,,,,,,
Suit Jacket,Jacket,,,,,,,
Thick Coat,Jacket,,,,,,,
Torso Protector,Jacket,,,,,,,
Trench Coat,Jacket,,,,,,,
Two Tone Sweater,Jacket,,,,,,,
Two Tone T-shirt,Jacket,,,,,,,
Two Tone Vest,Jacket,,,,,,,
Vented Leather Jacket,Jacket,,,,,,,
White Custom Jacket,Jacket,,,,,,,
White Hoodie,Jacket,,,,,,,
White Sweater,Jacket,,,,,,,
Yellow Rider Jacket,Jacket,,,,,,,
Yellow Sweater,Jacket,,,,,,,
Zipped Gray Jacket,Jacket,,,,,,,
Hat,,9,graphics/loot/loot_box1.swf,LootHat,Hat,100,,
