Name,InitialReputation,LoadingScreenImage,MaleDamageSound,FemaleDamageSound,MaleDeathSound,FemaleDeathSound,MaleGreetingsSound,FemaleGreetingsSound,MaleGoodbyeSound,FemaleGoodbyeSound,MapColorPassable,MapColorNonPassable,MapColorDeco,MapColorShadow,TimelineImage
General,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Westside Grips,-1,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Neutral,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
VermillionVerdict,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
EasternDiablos,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Valkyries,,graphics/hud/loading_screens/valkyries.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/valkyries.png
Capardi Family,,graphics/hud/loading_screens/general.jpg,VoItalianMaleDamage,VoItalianFemaleDamage,VoItalianMaleDeath,VoItalianFemaleDeath,VoItalianMaleGreetings,VoItalianFemaleGreetings,VoItalianMaleBye,VoItalianFemaleBye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
99 Souls,,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Blood Bits,,graphics/hud/loading_screens/general.jpg,VoBloodpitsMaleDamage,VoGenericFemaleDamage,VoBloodpitsMaleDeath,VoGenericFemaleDeath,VoBloodpitsMaleGreetings,VoGenericFemaleGreetings,VoBloodpitsMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
Muggers,-1,graphics/hud/loading_screens/general.jpg,VoGenericMaleDamage,VoGenericFemaleDamage,VoGenericMaleDeath,VoGenericFemaleDeath,VoGenericMaleGreetings,VoGenericFemaleGreetings,VoGenericMaleBye,VoGenericFemaleGoodbye,3164c5,00032b,002f81,00064c,graphics/timeline_icons/RIP.png
