Name,NPCItem,EquipmentClass,Rarity,Enhancement,Tier,ShopRecommend,RequiredLevel,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootDisabled,Icon,LootResource,LootExportName,PostToSocialNetworks
NPC Aviators,true,Aviator Shades,Common,,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,
Everyday Shutter Shades,,Shutter Shades,Common,,,,6,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,
Regular Shutter Shades,,Shutter Shades,Common,,,,16,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,
NPC Shutter Shades,true,Shutter Shades,Common,,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,
Outstanding Aviator Shades,,Aviator Shades,Rare,of the Thug,,,6,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Superfine Aviator Shades,,Aviator Shades,Rare,of Guts,,,7,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Excellent Aviator Shades,,Aviator Shades,Rare,of Awareness,,,10,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/square_glasses_red.png,graphics/3d/sunglasses/textures/square_glasses_red.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Marvelous Aviator Shades,,Aviator Shades,Rare,of Determination,,,18,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Awesome Aviator Shades,,Aviator Shades,Rare,of Intuition,,,21,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/rimless_glasses_black.png,graphics/3d/sunglasses/textures/rimless_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
Greater Aviator Shades,,Aviator Shades,Rare,of the Hunter,,,26,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/matrix_glasses_black.png,graphics/3d/sunglasses/textures/matrix_glasses_black.png,TRUE,,graphics/loot/loot_box1.swf,LootGlasses,TRUE
