Name,EquipmentClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootResource,LootExportName
Duct-taped Shades,Shutter Shades,8,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Plastic Shades,Shutter Shades,13,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Venetian Shades,Shutter Shades,17,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Polarization Shades,Shutter Shades,24,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Blind Science Shades,Shutter Shades,29,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/3d/sunglasses/textures/shutter_glasses.png,graphics/loot/loot_box1.swf,LootGlasses
Plywood Shades,Aviator Shades,8,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Desert Shades,Aviator Shades,13,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Aviator Shades,Aviator Shades,17,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Lucky Shades,Aviator Shades,24,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Titanium Shades,Aviator Shades,29,Common,,TRUE,,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Pilot Goggles,Shades,10,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/loot/loot_box1.swf,LootGlasses
Hot Rod Goggles,Shades,10,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/3d/sunglasses/textures/round_pilot_goggles.png,graphics/loot/loot_box1.swf,LootGlasses
UV-Protected Shades,Aviator Shades,12,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
HUD Shades,Aviator Shades,15,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Blaster Shades,Shades,18,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,graphics/loot/loot_box1.swf,LootGlasses
Digiplayer Shades,Shades,20,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/bling_shades.png,graphics/3d/sunglasses/textures/bling_shades.png,graphics/loot/loot_box1.swf,LootGlasses
Lunar Shades,Aviator Shades,25,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Eclipse Shades,Aviator Shades,27,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Bulletproof Shades,Aviator Shades,30,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
Holo Shades,Aviator Shades,30,Uncommon,,TRUE,of the Scientist,,,,,graphics/3d/sunglasses/sunglasses.SUP,sunglases,graphics/3d/sunglasses/sunglasses_female.SUP,sunglases,graphics/3d/sunglasses/textures/aviator_glasses_01.png,graphics/3d/sunglasses/textures/sunglasses_purple.png,graphics/loot/loot_box1.swf,LootGlasses
