Name,Text
TID_GLASSES_0,NPC Aviators
TID_GLASSES_1,Everyday Shutter Shades
TID_GLASSES_2,Regular Shutter Shades
TID_GLASSES_3,NPC Shutter Shades
TID_GLASSES_4,Outstanding Aviator Shades
TID_GLASSES_5,Superfine Aviator Shades
TID_GLASSES_6,Excellent Aviator Shades
TID_GLASSES_7,Marvelous Aviator Shades
TID_GLASSES_8,Awesome Aviator Shades
TID_GLASSES_9,Greater Aviator Shades
TID_GLASSES_10,Singular Aviator Shades
TID_GLASSES_11,Outstanding Shutter Shades
TID_GLASSES_12,Superfine Shutter Shades
TID_GLASSES_13,Excellent Smart Shades
TID_GLASSES_14,Marvelous Shutter Shades
TID_GLASSES_15,Awesome Shutter Shades
TID_GLASSES_16,Greater Shutter Shades
TID_GLASSES_17,Targeting Monocle
TID_GLASSES_18,Elegant Aviator Shades
TID_GLASSES_19,Great Aviator Shades
TID_GLASSES_20,Cool Aviator Shades
TID_GLASSES_21,Good Aviator Shades
TID_GLASSES_22,Fine Aviator Shades
TID_GLASSES_23,Credible Aviator Shades
TID_GLASSES_24,Street Wise Aviator Shades
TID_GLASSES_25,Worthy Aviator Shades
TID_GLASSES_26,Boosted Aviator Shades
TID_GLASSES_27,Acute Aviator Shades
TID_GLASSES_28,Genuine Aviator Shades
TID_GLASSES_29,Great Shutter Shades
TID_GLASSES_30,Cool Shutter Shades
TID_GLASSES_31,Good Shutter Shades
TID_GLASSES_32,Fine Shutter Shades
TID_GLASSES_33,Credible Shutter Shades
TID_GLASSES_34,Street Wise Shutter Shades
TID_GLASSES_35,Worthy Shutter Shades
TID_GLASSES_36,Boosted Shutter Shades
TID_GLASSES_37,Acute Shutter Shades
TID_GLASSES_38,Genuine Shutter Shades
TID_GLASSES_39,Special Shutter Shades
TID_GLASSES_40,Demolisher's Shades
TID_GLASSES_41,Grim's Shades
TID_GLASSES_42,Excellent Shades
TID_GLASSES_43,Marvelous Shades
TID_GLASSES_44,Awesome Shades
TID_GLASSES_45,Greater Shades
TID_GLASSES_46,Singular Shades
TID_GLASSES_47,Exquisite Shades
TID_GLASSES_48,High Power Shades
TID_GLASSES_49,Jagged Shades
TID_GLASSES_50,Radical Shades
TID_GLASSES_51,First Class Shades
TID_GLASSES_52,Awesome Specs
TID_GLASSES_53,Underhouse Shades
TID_GLASSES_54,Underhouse Specs
TID_GLASSES_55,Smart Specs
TID_GLASSES_56,Smart Shades
TID_GLASSES_57,Undertaker's Goggles
TID_GLASSES_58,Stealth Fantom Goggles
TID_GLASSES_59,Goggles
TID_GLASSES_60,Battle Visors
TID_GLASSES_61,Prototype Eye LBC-020
TID_GLASSES_62,High Power Specs
TID_GLASSES_63,Jagged Specs
TID_GLASSES_64,Radical Pilot Goggles
TID_GLASSES_65,First Class Specs
TID_GLASSES_66,Pyrox's Shades
TID_GLASSES_67,Bauhoff's Bionic Eye
TID_GLASSES_68,Incredibly Credible Shades
TID_GLASSES_69,Alton's Shutter Shades
TID_GLASSES_70,Alton's Aviator Shades
TID_GLASSES_71,Alton's Pilot Goggles
TID_GLASSES_72,River's Shades
TID_GLASSES_73,Solar Shades
TID_GLASSES_74,Spelunker's Goggles
TID_GLASSES_75,De La Vega's Spare Shades
TID_GLASSES_76,One Eye Visor
TID_GLASSES_77,Collar Visor
TID_GLASSES_78,Light Visor
TID_GLASSES_79,Sentry Optics
TID_GLASSES_80,Supersoldier Headgear
TID_GLASSES_81,Hustla's Cybernetic Eye
TID_GLASSES_82,Madcap's Cybernetic Eye
TID_GLASSES_83,Hothead's Cybernetic Eye
TID_GLASSES_84,Daredevil's Cybernetic Eye
TID_GLASSES_85,Crymaker's Cybernetic Eye
TID_GLASSES_86,Anguisher's Cybernetic Eye
TID_GLASSES_87,Painmaker's Cybernetic Eye
TID_GLASSES_88,Wacko's Cybernetic Eye
TID_GLASSES_89,Pimp's Cybernetic Eye
TID_GLASSES_90,Maniac's Cybernetic Eye
TID_GLASSES_91,Destroyer's Cybernetic Eye
TID_GLASSES_92,Killer's Cybernetic Eye
TID_GLASSES_93,Psycho's Cybernetic Eye
TID_GLASSES_94,Hannibal's Cybernetic Eye
