Name,Text
TID_GLASSES_NEW_0,Duct-taped Shades
TID_GLASSES_NEW_1,Plastic Shades
TID_GLASSES_NEW_2,Venetian Shades
TID_GLASSES_NEW_3,Polarization Shades
TID_GLASSES_NEW_4,Blind Science Shades
TID_GLASSES_NEW_5,Plywood Shades
TID_GLASSES_NEW_6,Desert Shades
TID_GLASSES_NEW_7,Aviator Shades
TID_GLASSES_NEW_8,Lucky Shades
TID_GLASSES_NEW_9,Titanium Shades
TID_GLASSES_NEW_10,Pilot Goggles
TID_GLASSES_NEW_11,Hot Rod Goggles
TID_GLASSES_NEW_12,UV-Protected Shades
TID_GLASSES_NEW_13,HUD Shades
TID_GLASSES_NEW_14,Blaster Shades
TID_GLASSES_NEW_15,Digiplayer Shades
TID_GLASSES_NEW_16,Lunar Shades
TID_GLASSES_NEW_17,Eclipse Shades
TID_GLASSES_NEW_18,Bulletproof Shades
TID_GLASSES_NEW_19,Holo Shades
TID_GLASSES_NEW_20,Hunter's Shades
TID_GLASSES_NEW_21,Infiltrator's Shades
TID_GLASSES_NEW_22,Sniper's Shades
TID_GLASSES_NEW_23,Aiming Visor
TID_GLASSES_NEW_24,Cyclops Visor
TID_GLASSES_NEW_25,Pirate Vis-arrrrrrh!
TID_GLASSES_NEW_26,Prism Visor
TID_GLASSES_NEW_27,Mirror Visor
TID_GLASSES_NEW_28,Sungazing Visor
TID_GLASSES_NEW_29,Pro-scout Headgear
TID_GLASSES_NEW_30,Brain Interface
TID_GLASSES_NEW_31,EyeSeaz
TID_GLASSES_NEW_32,EyeSpotz
TID_GLASSES_NEW_33,EyeSpyz
TID_GLASSES_NEW_34,Cyber Band
TID_GLASSES_NEW_35,Street Visor
TID_GLASSES_NEW_36,Faceless Visor
TID_GLASSES_NEW_37,Target Detector
TID_GLASSES_NEW_38,Sharpshooter Optics
TID_GLASSES_NEW_39,Orbital Optics
TID_GLASSES_NEW_40,Steel-rimmed Shades
TID_GLASSES_NEW_41,LED-enhanced Shades
TID_GLASSES_NEW_42,Plasma Vision
TID_GLASSES_NEW_43,SynthGlass Eye
TID_GLASSES_NEW_44,Pirated LabyEye
TID_GLASSES_NEW_45,Chicago Shades
TID_GLASSES_NEW_46,Mirror Shades
TID_GLASSES_NEW_47,Bionic Ocular
TID_GLASSES_NEW_48,Nano Glass Goggles
TID_GLASSES_NEW_49,Sungazers
TID_GLASSES_NEW_50,Bloodshot Eye
TID_GLASSES_NEW_51,Flux Capacitors
TID_GLASSES_NEW_52,Credible Shades
TID_GLASSES_NEW_53,Street Wise Shades
TID_GLASSES_NEW_54,Worthy Shades
TID_GLASSES_NEW_55,Boosted Shades
TID_GLASSES_NEW_56,Hunting Shades
TID_GLASSES_NEW_57,Superfine Visors
TID_GLASSES_NEW_58,Excellent Visors
TID_GLASSES_NEW_59,Cool Visors
TID_GLASSES_NEW_60,Good Visors
TID_GLASSES_NEW_61,Fine Visors
TID_GLASSES_NEW_62,Credible Visors
TID_GLASSES_NEW_63,Marvelous Visors
TID_GLASSES_NEW_64,Awesome Visors
TID_GLASSES_NEW_65,Greater Visors
TID_GLASSES_NEW_66,Street Wise Visors
TID_GLASSES_NEW_67,Worthy Visors
TID_GLASSES_NEW_68,Boosted Visors
TID_GLASSES_NEW_69,Acute Visors
TID_GLASSES_NEW_70,Singular Visors
TID_GLASSES_NEW_71,Exquisite Visors
TID_GLASSES_NEW_72,High Power Visors
TID_GLASSES_NEW_73,Magnetized Ensnaer
TID_GLASSES_NEW_74,Gyroeye
TID_GLASSES_NEW_75,Embedded Healing Motor
TID_GLASSES_NEW_76,Healing Gear
TID_GLASSES_NEW_77,Polarized Patchator
TID_GLASSES_NEW_78,Terror Secretion
TID_GLASSES_NEW_79,Mutant's Shutter Shades
TID_GLASSES_NEW_80,Mutant's Bling Shades
TID_GLASSES_NEW_81,Mutant's Aviators
TID_GLASSES_NEW_82,Labycore Health Eye
TID_GLASSES_NEW_83,Labycore Power Eye
TID_GLASSES_NEW_84,Labycore Strength Shades
TID_GLASSES_NEW_85,Cal Al Cybers
TID_GLASSES_NEW_86,Cal Al Eye
TID_GLASSES_NEW_87,Cal Al Goggles
TID_GLASSES_NEW_88,Cal Al Shades
TID_GLASSES_NEW_89,Cal Al Sunglasses
TID_GLASSES_NEW_90,Cal Al Visor
