Name,NPCItem,RequiredLevel,Rarity,Enhancement,Tier,EquipmentClass,ClothClass,Texture,FemaleTexture,LootDisabled,Icon,PostToSocialNetworks
NPC Normal Gloves,true,1,Common,,,Gloves,,graphics/3d/character/gloves/gloves_black_01_m.png,graphics/3d/character/gloves/gloves_black_01_f.png,TRUE,7,
NPC Yellow Working Gloves,true,1,Common,,,Gloves,,graphics/3d/character/gloves/gloves_yellow_01_m.png,graphics/3d/character/gloves/gloves_yellow_01_f.png,TRUE,7,
Typical Black Gloves,,3,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Usual Black Gloves,,5,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Plain Black Gloves,,8,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Standard Black Gloves,,9,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Universal Black Gloves,,11,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Average Black Gloves,,2,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Basic Black Gloves,,4,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Everyday Black Gloves,,6,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Regular Black Gloves,,9,Common,,,Black Gloves,Large,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Popular Black Gloves,,9,Common,,,Black Gloves,Small,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Common Black Gloves,,11,Common,,,Black Gloves,Small,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Simple Black Gloves,,2,Common,,,Black Gloves,Small,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Beer-soaked Black Gloves,,4,Poor,,,Black Gloves,Small,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
Dirty Black Gloves,,6,Poor,,,Black Gloves,Small,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,TRUE,,
