Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,Tier,ShopRecommend,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,PostToSocialNetworks
Woodsman Gloves,Leather Gloves,Small,10,Common,,TRUE,,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Whittling Gloves,Leather Gloves,Small,13,Common,,TRUE,,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Shooting Gloves,Leather Gloves,Small,18,Common,,TRUE,,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Camo Gloves,Leather Gloves,Small,21,Common,,TRUE,,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Safari Gloves,Leather Gloves,Small,26,Common,,TRUE,,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
All-weather Gloves,Rider Gloves,Small,7,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Poacher's Gloves,Rider Gloves,Small,12,Uncommon,,TRUE,of Determination,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Cat's Paws,Rider Gloves,Small,15,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Goose Down Gloves,Rider Gloves,Small,17,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Rock Climbing Gloves,Rider Gloves,Small,20,Uncommon,,TRUE,of Determination,,,graphics/3d/character/gloves/gloves_black_03_m.png,graphics/3d/character/gloves/gloves_black_03_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Gun Gloves,Dark Gloves,Small,23,Uncommon,,TRUE,of the Scientist,,,graphics/3d/character/gloves/gloves_black_green_02_m.png,graphics/3d/character/gloves/gloves_black_green_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
Utility Gloves,Dark Gloves,Small,25,Uncommon,,TRUE,of Determination,,,graphics/3d/character/gloves/gloves_black_green_02_m.png,graphics/3d/character/gloves/gloves_black_green_02_f.png,,,,,,,,graphics/loot/loot_box1.swf,LootGloves,,
