Name,Text
TID_GLOVE_0,NPC Normal Gloves
TID_GLOVE_1,NPC Yellow Working Gloves
TID_GLOVE_2,Typical Black Gloves
TID_GLOVE_3,Usual Black Gloves
TID_GLOVE_4,Plain Black Gloves
TID_GLOVE_5,Standard Black Gloves
TID_GLOVE_6,Universal Black Gloves
TID_GLOVE_7,Average Black Gloves
TID_GLOVE_8,Basic Black Gloves
TID_GLOVE_9,Everyday Black Gloves
TID_GLOVE_10,Regular Black Gloves
TID_GLOVE_11,Popular Black Gloves
TID_GLOVE_12,Common Black Gloves
TID_GLOVE_13,Simple Black Gloves
TID_GLOVE_14,Beer-soaked Black Gloves
TID_GLOVE_15,Dirty Black Gloves
TID_GLOVE_16,Crappy Black Gloves
TID_GLOVE_17,Marvelous Gloves
TID_GLOVE_18,Awesome Gloves
TID_GLOVE_19,Greater Gloves
TID_GLOVE_20,Singular Gloves
TID_GLOVE_21,Exquisite Gloves
TID_GLOVE_22,High-Power Gloves
TID_GLOVE_23,Jagged Biker Gloves
TID_GLOVE_24,Radical Biker Gloves
TID_GLOVE_25,First-Class Biker Gloves
TID_GLOVE_26,Outstanding Biker Gloves
TID_GLOVE_27,Superfine Biker Gloves
TID_GLOVE_28,Exquisite M.C. Gloves
TID_GLOVE_29,High-Power M.C. Gloves
TID_GLOVE_30,Jagged M.C. Gloves
TID_GLOVE_31,Radical M.C. Gloves
TID_GLOVE_32,First-Class M.C. Gloves
TID_GLOVE_33,Jagged Gloves
TID_GLOVE_34,Radical Gloves
TID_GLOVE_35,First-Class Gloves
TID_GLOVE_36,Outstanding Gloves
TID_GLOVE_37,Superfine Gloves
TID_GLOVE_38,Excellent Gloves
TID_GLOVE_39,Excellent Biker Gloves
TID_GLOVE_40,Marvelous Biker Gloves
TID_GLOVE_41,Awesome Biker Gloves
TID_GLOVE_42,Greater Biker Gloves
TID_GLOVE_43,Singular Biker Gloves
TID_GLOVE_44,Greater Black Gloves
TID_GLOVE_45,Outstanding M.C. Gloves
TID_GLOVE_46,Superfine M.C. Gloves
TID_GLOVE_47,Excellent M.C. Gloves
TID_GLOVE_48,Marvelous M.C. Gloves
TID_GLOVE_49,Awesome M.C. Gloves
TID_GLOVE_50,Fine Gloves
TID_GLOVE_51,Credible Gloves
TID_GLOVE_52,Street Wise Gloves
TID_GLOVE_53,Worthy Gloves
TID_GLOVE_54,Genuine Biker Gloves
TID_GLOVE_55,Special Biker Gloves
TID_GLOVE_56,Elegant Biker Gloves
TID_GLOVE_57,Great Biker Gloves
TID_GLOVE_58,Cool Biker Gloves
TID_GLOVE_59,Street Wise Black Gloves
TID_GLOVE_60,Worthy Black Gloves
TID_GLOVE_61,Boosted Black Gloves
TID_GLOVE_62,Acute Black Gloves
TID_GLOVE_63,Genuine Black Gloves
TID_GLOVE_64,Boosted Gloves
TID_GLOVE_65,Acute Gloves
TID_GLOVE_66,Genuine Gloves
TID_GLOVE_67,Special Gloves
TID_GLOVE_68,Good Biker Gloves
TID_GLOVE_69,Fine Biker Gloves
TID_GLOVE_70,Credible Biker Gloves
TID_GLOVE_71,Street Wise Biker Gloves
TID_GLOVE_72,Worthy Biker Gloves
TID_GLOVE_73,Special Black Gloves
TID_GLOVE_74,Elegant Black Gloves
TID_GLOVE_75,Great Black Gloves
TID_GLOVE_76,Cool Black Gloves
TID_GLOVE_77,Good Black Gloves
TID_GLOVE_78,Fine Black Gloves
TID_GLOVE_79,Credible Black Gloves
TID_GLOVE_80,Piggy Bob's Swine Lovers
TID_GLOVE_81,Piggy Bob's Pork Porkers
TID_GLOVE_82,Cool Spider Gloves
TID_GLOVE_83,Genuine Spider Gloves
TID_GLOVE_84,First Class M.C. Gloves
TID_GLOVE_85,Greater M.C. Gloves
TID_GLOVE_86,Greater Rider Gloves
TID_GLOVE_87,Singular Rider Gloves
TID_GLOVE_88,Exquisite Rider Gloves
TID_GLOVE_89,High Power Rider Gloves
TID_GLOVE_90,First Class Biker Gloves
TID_GLOVE_91,Exquisite Biker Gloves
TID_GLOVE_92,Jagged Rider Gloves
TID_GLOVE_93,Radical Rider Gloves
TID_GLOVE_94,First Class Rider Gloves
TID_GLOVE_95,Awesome Black Gloves
TID_GLOVE_96,Outstanding Rider Gloves
TID_GLOVE_97,Superfine Rider Gloves
TID_GLOVE_98,Marvelous Leather Gloves
TID_GLOVE_99,Excellent Rider Gloves
TID_GLOVE_100,Marvelous Rider Gloves
TID_GLOVE_101,Awesome Rider Gloves
TID_GLOVE_102,Jagged Dark Gloves
TID_GLOVE_103,Radical Dark Gloves
TID_GLOVE_104,First Class Dark Gloves
TID_GLOVE_105,Outstanding Dark Gloves
TID_GLOVE_106,Superfine Dark Gloves
TID_GLOVE_107,Excellent Dark Gloves
TID_GLOVE_108,Marvelous Dark Gloves
TID_GLOVE_109,Awesome Dark Gloves
TID_GLOVE_110,Greater Dark Gloves
TID_GLOVE_111,Singular Dark Gloves
TID_GLOVE_112,Exquisite Dark Gloves
TID_GLOVE_113,NPC Desert Hooligans Gloves
TID_GLOVE_114,NPC Mutant Gloves
TID_GLOVE_115,NPC Mutant Gloves 2
