Name,Text
TID_GLOVE_NEW_0,Woodsman Gloves
TID_GLOVE_NEW_1,Whittling Gloves
TID_GLOVE_NEW_2,Shooting Gloves
TID_GLOVE_NEW_3,Camo Gloves
TID_GLOVE_NEW_4,Safari Gloves
TID_GLOVE_NEW_5,All-weather Gloves
TID_GLOVE_NEW_6,Poacher's Gloves
TID_GLOVE_NEW_7,Cat's Paws
TID_GLOVE_NEW_8,Goose Down Gloves
TID_GLOVE_NEW_9,Rock Climbing Gloves
TID_GLOVE_NEW_10,Gun Gloves
TID_GLOVE_NEW_11,Utility Gloves
TID_GLOVE_NEW_12,Special Purpose Gloves
TID_GLOVE_NEW_13,Aviator Gloves
TID_GLOVE_NEW_14,Burnproof Gloves
TID_GLOVE_NEW_15,Jackal Gloves
TID_GLOVE_NEW_16,Hyena Gloves
TID_GLOVE_NEW_17,Shotgunner's Gloves
TID_GLOVE_NEW_18,Bowhunter's Gloves
TID_GLOVE_NEW_19,Skinner Gloves
TID_GLOVE_NEW_20,Outdoor Gloves
TID_GLOVE_NEW_21,Sniper Gloves
TID_GLOVE_NEW_22,Precision Gloves
TID_GLOVE_NEW_23,Predator Gloves
TID_GLOVE_NEW_24,Range Gloves
TID_GLOVE_NEW_25,All-purpose Gloves
TID_GLOVE_NEW_26,Midnight Gloves
TID_GLOVE_NEW_27,Tactical Gloves
TID_GLOVE_NEW_28,Deerhunter's Gloves
TID_GLOVE_NEW_29,Tearproof Gloves
TID_GLOVE_NEW_30,Combat Gloves
TID_GLOVE_NEW_31,Rustler's Gloves
TID_GLOVE_NEW_32,Killer Gloves
TID_GLOVE_NEW_33,Stalker Gloves
TID_GLOVE_NEW_34,One Shot Gloves
TID_GLOVE_NEW_35,Steady Hands
TID_GLOVE_NEW_36,Scissorhands
TID_GLOVE_NEW_37,Stealthy Gloves
TID_GLOVE_NEW_38,Wolfskin Gloves
TID_GLOVE_NEW_39,Bearskin Gloves
TID_GLOVE_NEW_40,Bouncer Gloves
TID_GLOVE_NEW_41,Brawny Gloves
TID_GLOVE_NEW_42,Casual Gloves
TID_GLOVE_NEW_43,Biker Gloves
TID_GLOVE_NEW_44,Reinforced Gloves
TID_GLOVE_NEW_45,Cordura Gloves
TID_GLOVE_NEW_46,Kevlar Gloves
TID_GLOVE_NEW_47,Needleproof Gloves
TID_GLOVE_NEW_48,Syndicate Gloves
TID_GLOVE_NEW_49,Heavy Silk Gloves
TID_GLOVE_NEW_50,Bodybuilder Gloves
TID_GLOVE_NEW_51,Tough Guy Gloves
TID_GLOVE_NEW_52,Bodyguard's Gloves
TID_GLOVE_NEW_53,Hardened Gloves
TID_GLOVE_NEW_54,Armored Gloves
TID_GLOVE_NEW_55,Heavy Metal Gloves
TID_GLOVE_NEW_56,Hardman Gloves
TID_GLOVE_NEW_57,Protector Gloves
TID_GLOVE_NEW_58,Bomber Gloves
TID_GLOVE_NEW_59,Vigilante Gloves
TID_GLOVE_NEW_60,Massive Mittens
TID_GLOVE_NEW_61,Championship Gloves
TID_GLOVE_NEW_62,Bulldog Gloves
TID_GLOVE_NEW_63,Attitude Adjusters
TID_GLOVE_NEW_64,Team Gloves
TID_GLOVE_NEW_65,Arm Wrestling Gloves
TID_GLOVE_NEW_66,Powerlifting Gloves
TID_GLOVE_NEW_67,Rodeo Gloves
TID_GLOVE_NEW_68,Heavy Duty Gloves
TID_GLOVE_NEW_69,Power Grips
TID_GLOVE_NEW_70,Vanguard Gloves
TID_GLOVE_NEW_71,Blazing Gloves
TID_GLOVE_NEW_72,Knuckeduster Gloves
TID_GLOVE_NEW_73,No Nonsense Gloves
TID_GLOVE_NEW_74,Pitbull Gloves
TID_GLOVE_NEW_75,Melee Gloves
TID_GLOVE_NEW_76,Linebacker's Gloves
TID_GLOVE_NEW_77,Tank Gloves
TID_GLOVE_NEW_78,Gauntlets
TID_GLOVE_NEW_79,Hands of Stone
TID_GLOVE_NEW_80,Disposable Gloves
TID_GLOVE_NEW_81,Examination Gloves
TID_GLOVE_NEW_82,Faux Leather Gloves
TID_GLOVE_NEW_83,Driving Gloves
TID_GLOVE_NEW_84,Leather Gloves
TID_GLOVE_NEW_85,Fine Leather Gloves
TID_GLOVE_NEW_86,Waterproof Gloves
TID_GLOVE_NEW_87,Ski Gloves
TID_GLOVE_NEW_88,Golf Gloves
TID_GLOVE_NEW_89,Plaid Gloves
TID_GLOVE_NEW_90,Yachting Gloves
TID_GLOVE_NEW_91,Hi-Friction Gloves
TID_GLOVE_NEW_92,Ergonomic Gloves
TID_GLOVE_NEW_93,Suede Gloves
TID_GLOVE_NEW_94,Quality Gloves
TID_GLOVE_NEW_95,Hiking Gloves
TID_GLOVE_NEW_96,Medical Gloves
TID_GLOVE_NEW_97,Combat Medic's Gloves
TID_GLOVE_NEW_98,Rubber Gloves
TID_GLOVE_NEW_99,Neoprene Gloves
TID_GLOVE_NEW_100,Lab Gloves
TID_GLOVE_NEW_101,Probing Gloves
TID_GLOVE_NEW_102,Sterile Gloves
TID_GLOVE_NEW_103,Antimicrobial Gloves
TID_GLOVE_NEW_104,Healer's Gloves
TID_GLOVE_NEW_105,Technician's Gloves
TID_GLOVE_NEW_106,Orderly's Gloves
TID_GLOVE_NEW_107,Doc's Gloves
TID_GLOVE_NEW_108,Doctor's Gloves
TID_GLOVE_NEW_109,Operating Gloves
TID_GLOVE_NEW_110,Neurosurgeon's Gloves
TID_GLOVE_NEW_111,Hacker's Gloves
TID_GLOVE_NEW_112,Virtual Reality Gloves
TID_GLOVE_NEW_113,Second Skin Gloves
TID_GLOVE_NEW_114,Hand-Eye Interface
TID_GLOVE_NEW_115,Cybernetic Gloves
TID_GLOVE_NEW_116,Panacea Gloves
TID_GLOVE_NEW_117,Pandemic Gloves
TID_GLOVE_NEW_118,Silk Gloves
TID_GLOVE_NEW_119,Regenerative Gloves
TID_GLOVE_NEW_120,Golf Clappers
TID_GLOVE_NEW_121,Hyper Tactile Gloves
TID_GLOVE_NEW_122,Jaw Breakers
TID_GLOVE_NEW_123,Hydraulic Claws
TID_GLOVE_NEW_124,Black Lab Gloves
TID_GLOVE_NEW_125,Entry Gloves
TID_GLOVE_NEW_126,Sheepskin Gloves
TID_GLOVE_NEW_127,Cowhide Gloves
TID_GLOVE_NEW_128,Casual Dark Gloves
TID_GLOVE_NEW_129,Casual Black Gloves
TID_GLOVE_NEW_130,Credible Tactical Gloves
TID_GLOVE_NEW_131,Street Wise Tactical Gloves
TID_GLOVE_NEW_132,Worthy Tactical Gloves
TID_GLOVE_NEW_133,Boosted Tactical Gloves
TID_GLOVE_NEW_134,Awesome Tactical Gloves
TID_GLOVE_NEW_135,Greater Tactical Gloves
TID_GLOVE_NEW_136,Singular Tactical Gloves
TID_GLOVE_NEW_137,Acute Tactical Gloves
TID_GLOVE_NEW_138,Genuine Tactical Gloves
TID_GLOVE_NEW_139,Special Tactical Gloves
TID_GLOVE_NEW_140,Elegant Tactical Gloves
TID_GLOVE_NEW_141,Exquisite Tactical Gloves
TID_GLOVE_NEW_142,High Power Tactical Gloves
TID_GLOVE_NEW_143,Jagged Tactical Gloves
TID_GLOVE_NEW_144,Fine Protective Gloves
TID_GLOVE_NEW_145,Credible Protective Gloves
TID_GLOVE_NEW_146,Street Wise Protective Gloves
TID_GLOVE_NEW_147,Worthy Protective Gloves
TID_GLOVE_NEW_148,Marvelous Protective Gloves
TID_GLOVE_NEW_149,Awesome Protective Gloves
TID_GLOVE_NEW_150,Greater Protective Gloves
TID_GLOVE_NEW_151,High-speed Scanning Gloves
TID_GLOVE_NEW_152,Cardio Hands
TID_GLOVE_NEW_153,Implanted Secretion Electrifier
TID_GLOVE_NEW_154,Self-regulating Gyrosecretion
TID_GLOVE_NEW_155,Optical Limb Modifier
TID_GLOVE_NEW_156,Neural Dermoresistor
TID_GLOVE_NEW_157,Regulator Hands
TID_GLOVE_NEW_158,Labycore Health Hands
TID_GLOVE_NEW_159,Labycore Power Gloves
TID_GLOVE_NEW_160,Labycore Strength Hands
TID_GLOVE_NEW_161,Shoot Em Up Gloves
TID_GLOVE_NEW_162,Squish Em Up Hands
TID_GLOVE_NEW_163,Farm Gloves
TID_GLOVE_NEW_164,Farm Hands
