Name,WeaponClass,RequiredLevel,Rarity,Tier,Enhancement,DiamondsOnly,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,LootDisabled,Icon,PostToSocialNetworks,PlaceableInEditor
Basic .32 Pistol,.32 Pistol,1,Common,,,,,,,,,,,,,,,,TRUE,,,
Average .32 Pistol,.32 Pistol,4,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday .32 Pistol,.32 Pistol,9,Common,,,,,,,,,,,,,,,,TRUE,,,
Universal .32 Pistol,.32 Pistol,11,Common,,,,,,,,,,,,,,,,TRUE,,,
Regular .32 Pistol,.32 Pistol,13,Common,,,,,,,,,,,,,,,,TRUE,,,
Popular .32 Pistol,.32 Pistol,19,Common,,,,,,,,,,,,,,,,TRUE,,,
Common .32 Pistol,.32 Pistol,26,Common,,,,,,,,,,,,,,,,TRUE,,,
Simple .32 Pistol,.32 Pistol,24,Common,,,,,,,,,,,,,,,,TRUE,,,
Typical .32 Pistol,.32 Pistol,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Usual .32 Pistol,.32 Pistol,27,Common,,,,,,,,,,,,,,,,TRUE,,,
Plain .32 Pistol,.32 Pistol,29,Common,,,,,,,,,,,,,,,,TRUE,,,
Standard .32 Pistol,.32 Pistol,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic Revolver,Revolver,3,Common,,,,,,,,,,,,,,,,TRUE,,,
Okayish Revolver,Revolver,5,Common,,,,,,,,,,,,,,,,TRUE,,,
Average Revolver,Revolver,7,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday Revolver,Revolver,12,Common,,,,,,,,,,,,,,,,TRUE,,,
Popular Revolver,Revolver,18,Common,,,,,,,,,,,,,,,,TRUE,,,
Common Revolver,Revolver,25,Common,,,,,,,,,,,,,,,,TRUE,,,
Simple Revolver,Revolver,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic .40 Pistol,.40 Pistol,5,Common,,,,,,,,,,,,,,,,TRUE,,,
Average .40 Pistol,.40 Pistol,14,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday .40 Pistol,.40 Pistol,23,Common,,,,,,,,,,,,,,,,TRUE,,,
Regular .40 Pistol,.40 Pistol,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic 9mm Pistol,9mm Pistol,1,Common,,,,,,,,,,,,,,,,TRUE,,,
Average 9mm Pistol,9mm Pistol,9,Common,,,,,,,,,,,,,,,,TRUE,,,
Regular 9mm Pistol,9mm Pistol,17,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday 9mm Pistol,9mm Pistol,20,Common,,,,,,,,,,,,,,,,TRUE,,,
Popular 9mm Pistol,9mm Pistol,20,Common,,,,,,,,,,,,,,,,TRUE,,,
Common 9mm Pistol,9mm Pistol,28,Common,,,,,,,,,,,,,,,,TRUE,,,
Simple 9mm Pistol,9mm Pistol,29,Common,,,,,,,,,,,,,,,,TRUE,,,
Typical 9mm Pistol,9mm Pistol,30,Common,,,,,,,,,,,,,,,,TRUE,,,
Basic Six-shooter,Six-shooter,5,Common,,,,,,,,,,,,,,,,TRUE,,TRUE,
Average Six-shooter,Six-shooter,8,Common,,,,,,,,,,,,,,,,TRUE,,,
Everyday Six-shooter,Six-shooter,19,Common,,,,,,,,,,,,,,,,TRUE,,,
Popular .40 Pistol,.40 Pistol,1,Common,,,,,,,,,,,,,,,,TRUE,,,
Regular Six-shooter,Six-shooter,1,Common,,,,,,,,,,,,,,,,TRUE,,,
Crappy .32 Pistol,.32 Pistol,1,Poor,,,,,,,,,,,,,,,,TRUE,,,
Old 9mm Pistol,9mm Pistol,3,Poor,,,,,,,,,,,,,,,,TRUE,,TRUE,
Antiquated .32 Pistol,.32 Pistol,8,Poor,,,,,,,,,,,,,,,,TRUE,,,
Crude .32 Pistol,.32 Pistol,13,Poor,,,,,,,,,,,,,,,,TRUE,,,
Piece of Crap .32 Pistol,.32 Pistol,12,Poor,,,,,,,,,,,,,,,,TRUE,,,
