Name,Text
TID_WEAPON_HAND_GUN_0,Basic .32 Pistol
TID_WEAPON_HAND_GUN_1,Average .32 Pistol
TID_WEAPON_HAND_GUN_2,Everyday .32 Pistol
TID_WEAPON_HAND_GUN_3,Universal .32 Pistol
TID_WEAPON_HAND_GUN_4,Regular .32 Pistol
TID_WEAPON_HAND_GUN_5,Popular .32 Pistol
TID_WEAPON_HAND_GUN_6,Common .32 Pistol
TID_WEAPON_HAND_GUN_7,Simple .32 Pistol
TID_WEAPON_HAND_GUN_8,Typical .32 Pistol
TID_WEAPON_HAND_GUN_9,Usual .32 Pistol
TID_WEAPON_HAND_GUN_10,Plain .32 Pistol
TID_WEAPON_HAND_GUN_11,Standard .32 Pistol
TID_WEAPON_HAND_GUN_12,Basic Revolver
TID_WEAPON_HAND_GUN_13,Okayish Revolver
TID_WEAPON_HAND_GUN_14,Average Revolver
TID_WEAPON_HAND_GUN_15,Everyday Revolver
TID_WEAPON_HAND_GUN_16,Popular Revolver
TID_WEAPON_HAND_GUN_17,Common Revolver
TID_WEAPON_HAND_GUN_18,Simple Revolver
TID_WEAPON_HAND_GUN_19,Basic .40 Pistol
TID_WEAPON_HAND_GUN_20,Average .40 Pistol
TID_WEAPON_HAND_GUN_21,Everyday .40 Pistol
TID_WEAPON_HAND_GUN_22,Regular .40 Pistol
TID_WEAPON_HAND_GUN_23,Basic 9mm Pistol
TID_WEAPON_HAND_GUN_24,Average 9mm Pistol
TID_WEAPON_HAND_GUN_25,Regular 9mm Pistol
TID_WEAPON_HAND_GUN_26,Everyday 9mm Pistol
TID_WEAPON_HAND_GUN_27,Popular 9mm Pistol
TID_WEAPON_HAND_GUN_28,Common 9mm Pistol
TID_WEAPON_HAND_GUN_29,Simple 9mm Pistol
TID_WEAPON_HAND_GUN_30,Typical 9mm Pistol
TID_WEAPON_HAND_GUN_31,Basic Six-shooter
TID_WEAPON_HAND_GUN_32,Average Six-shooter
TID_WEAPON_HAND_GUN_33,Everyday Six-shooter
TID_WEAPON_HAND_GUN_34,Popular .40 Pistol
TID_WEAPON_HAND_GUN_35,Regular Six-shooter
TID_WEAPON_HAND_GUN_36,Crappy .32 Pistol
TID_WEAPON_HAND_GUN_37,Old 9mm Pistol
TID_WEAPON_HAND_GUN_38,Antiquated .32 Pistol
TID_WEAPON_HAND_GUN_39,Crude .32 Pistol
TID_WEAPON_HAND_GUN_40,Piece of Crap .32 Pistol
TID_WEAPON_HAND_GUN_41,Lame .40 Pistol
TID_WEAPON_HAND_GUN_42,Old .32 Pistol
TID_WEAPON_HAND_GUN_43,Lame .32 Pistol
TID_WEAPON_HAND_GUN_44,Battered .32 Pistol
TID_WEAPON_HAND_GUN_45,Brittle .32 Pistol
TID_WEAPON_HAND_GUN_46,Well Worn .32 Pistol
TID_WEAPON_HAND_GUN_47,Crappy Revolver
TID_WEAPON_HAND_GUN_48,Antiquated Revolver
TID_WEAPON_HAND_GUN_49,Piece of Crap Revolver
TID_WEAPON_HAND_GUN_50,Battered Revolver
TID_WEAPON_HAND_GUN_51,Brittle Revolver
TID_WEAPON_HAND_GUN_52,Lousy Revolver
TID_WEAPON_HAND_GUN_53,Well Worn Revolver
