Name,Text
TID_BUTTON_OK,Ok
TID_BUTTON_CANCEL,Cancel
TID_BUTTON_START,Start
TID_BUTTON_RESTART,Restart
TID_BUTTON_YES,Yes
TID_BUTTON_NO,No
TID_BUTTON_SELECT,Select
TID_BUTTON_PLAY,Play
TID_LOOT_PICKUP_TEXT,<ITEM_NAME>
TID_ITEM_RECEIVED,You received <ITEM_NAME>
TID_ITEM_RECEIVED_OTHER,<NAME> received <ITEM_NAME>
TID_MONEY_RECEIVED,You received $<MONEY_NUMBER>
TID_MONEY_RECEIVED_OTHER,<NAME> received $<MONEY_NUMBER>
TID_DIAMONDS_RECEIVED_OTHER,<NAME> received <MONEY_NUMBER> diamonds
TID_ONE_DIAMOND_RECEIVED_OTHER,<NAME> received 1 diamond
TID_CANT_CREATE_MORE_CHARACTERS,You can't create more characters
TID_CHARACTER_DISPLAY_NAME_LEVEL,"<NAME>, Level <NUMBER> <CLASS>"
TID_CHARACTER_DISPLAY_NAME_PRESTIGE,"<NAME>, <PRESTIGE> <NUMBER> <CLASS>"
TID_EXPERIENCE_LEVEL_TOO_LOW,Your experience level is too low
TID_SKILL_FAIL_WEAPON,You don't have the required weapon
TID_SKILL_FAIL_COOLDOWN,That ability is not ready yet
TID_SKILL_FAIL_ENERGY,Not enough energy
TID_SKILL_FAIL_NO_TARGET,You don't have a target
TID_SKILL_FAIL_INVALID_TARGET,Invalid target
TID_SKILL_FAIL_CONSUMABLE_ITEM,You don't have the required item
TID_INVENTORY_FULL,Bag is full
TID_SKILL_RANK,Rank <NUMBER>
TID_NEXT_SKILL_RANK,Next Rank
TID_REQUIRED_LEVEL,Required Level <NUMBER>
TID_EXP_LEVEL,Level <NUMBER>
TID_ITEM_RARITY,Rarity: <RARITY_NAME>
TID_SKILL_REQUIRES_WEAPON,Requires <WEAPON_CLASS_NAME>
TID_SKILL_COOLDOWN,Cooldown: <NUMBER>
TID_SKILL_ENERGY_COST,Energy Cost: <NUMBER>
TID_RANGE,<NUMBER>yd
TID_DRAG_CONSUMABLE_HERE_TIP,Drag an usable item here.
TID_DRAG_TO_SKILL_BAR_TIP,Drag the icon to the skill bar to use it.
TID_DRAG_EQUIPMENT_HERE_TIP,Drag a <EQUIPMENT_TYPE> here to equip it.
TID_ATTRIBUTE_AGILITY,Ranged Power: <NUMBER>
TID_ATTRIBUTE_INTELLIGENCE,Energy: <NUMBER>
TID_ATTRIBUTE_STAMINA,Health: <NUMBER>
TID_ATTRIBUTE_STRENGTH,Melee Power: <NUMBER>
TID_ATTRIBUTE_ARMOR,Armor: <NUMBER>
TID_ATTRIBUTE_CRITICAL_CHANCE,Critical Chance: <NUMBER>
TID_ATTRIBUTE_DPS,Damage: <NUMBER>
TID_MONEY,$<NUMBER>
TID_ATTACK_TIP,Click to attack
TID_TALK_TIP,Click to talk
TID_USE_TIP,Click to use
TID_WEAPON_SWITCH_BUTTON,Switch
TID_MAP,Map
TID_CHARACTER_SHEET,Character Sheet
TID_MAP_CURRENT_LOCATION,Current Location: <LEVEL_NAME>
TID_INVENTORY,Bag
TID_NEW_MISSION,New Mission
TID_MISSION_INVENTORY_FULL,Mission list is full
TID_MAP_TRAVEL_QUERY,Travel to <ITEM_NAME>?
TID_CANT_TAKE_TAXI_THERE,Area needs to be explored by foot or have ongoing missions
TID_MAP_PLAYER_POSITION,You are here.
TID_MAP_GROUP_MEMBER_POSITION,<PLAYER_NAME> is here.
TID_MAP_RECOMMENDED_EXP_LEVEL,Recommended xp level: <NUMBER>
TID_MAP_UNEXPLORED_ZONE,Unexplored area
TID_LOGIN_FAILED,Login failed. Error code: <NUMBER>
TID_CREATE_NEW_CHARACTER_BUTTON,New Character
TID_CREATE_CHARACTER_SCREEN_TITLE,New Character
TID_SELECT_CHARACTER_SCREEN_TITLE,Select Character
TID_CHARACTER_NAME,Character Name
TID_CREATE_CHARACTER_FAILED,Character creation failed.
TID_CREATE_CHARACTER_FAILED_ILLEGAL_NAME,Character creation failed. Name is invalid.
TID_CREATE_CHARACTER_FAILED_NAME_TAKEN,Character creation failed. Name is already taken.
TID_CREATE_CHARACTER_GENDER_TITLE,Gender
TID_CREATE_CHARACTER_BUTTON_MALE,Male
TID_CREATE_CHARACTER_BUTTON_FEMALE,Female
TID_CREATE_CHARACTER_CLASS_TITLE,Character Class
TID_CREATE_CHARACTER_SKIN_COLOR_TITLE,Skin Color
TID_CREATE_CHARACTER_HAIR_CUT_TITLE,Hair Cut
TID_CREATE_CHARACTER_HAIR_COLOR_TITLE,Hair Color
TID_CREATE_CHARACTER_FACE_TITLE,Face
TID_CREATE_CHARACTER_FACIAL_HAIR_CUT_TITLE,Facial Hair Cut
TID_CREATE_CHARACTER_FACIAL_HAIR_COLOR_TITLE,Facial Hair Color
TID_CREATE_CHARACTER_INVALID_NAME,Character name is too short.
TID_CREATE_CHARACTER_DONE_BUTTON,Play!
TID_NOT_ENOUGH_FREE_INVENTORY_SPACE,Can't unequip the bag. Not enough free space in the bag.
TID_BAG_ITEM,Bag
TID_INVENTORY_SIZE_INCREASED_NOTIFICATION,Bag size increased
TID_ATTRIBUTE_BAG_SIZE,Increases your bag size by <NUMBER>.
TID_EXPERIENCE_BAR,<NUMBER> XP to reach level <LEVEL_NUMBER>
TID_EXPERIENCE_BAR_LEVEL_CAP,<NUMBER> XP to reach next prestige level
TID_PRESTIGE_BAR,<NUMBER> P to reach next prestige level
TID_HEALTH_BAR,Health <NUMBER> / <MAX_NUMBER>
TID_ENERGY_BAR,Energy <NUMBER> / <MAX_NUMBER>
TID_CHARACTER_TEXT_BOX_TRADE,Trade
TID_ATTRIBUTE_SELL_PRICE,Sell price: $<GAME_MONEY_COST>
TID_NOT_ENOUGH_DIAMONDS,You don't have enough diamonds.\n\nWould you like to get more now?
TID_NOT_ENOUGH_CASH,You don't have enough cash.\n\nWould you like to get more now?
TID_NOT_ENOUGH_INVENTORY_SPACE,Your bag is full.\n\nIncrease bag size by <NUMBER> slots?
TID_DEATH_SCREEN_TITLE,You're wounded!
TID_DEATH_SCREEN_PRIVATE_DOCTOR,Call an Ambulance
TID_DEATH_SCREEN_PRIVATE_DOCTOR_DESCRIPTION,Escape and receive basic first aid.
TID_DEATH_SCREEN_INSTANT_RESURRECT,Adrenaline Shot
TID_DEATH_SCREEN_INSTANT_RESURRECT_DESCRIPTION,Get back in the action immediately!
TID_BUFF_OVERRIDE_CONFIRMATION,Using this ability will cancel the existing <BUFF_NAME> effect. Are you sure you want to do this?
TID_ITEM_DRAG_FAIL_LEVEL,Your experience level is too low!
TID_ITEM_DRAG_FAIL_CLOTH_CLASS,You can only wear items of <CLOTH_CLASS> size.
TID_ITEM_SELL_CONFIRMATION,Are you sure you want to sell <ITEM_NAME> for $<NUMBER>?
TID_BUY_ITEM_CONFIRMATION,Are you sure you want to buy <ITEM_NAME>?
TID_ITEM_SOLD,You sold the <ITEM_NAME>
TID_HIRE_BUTTON,Hire
TID_HIRE_MERCENARY_BUTTON,Hire as mercenary
TID_CHARACTER_TYPE_ELITE,(Elite)
TID_CHARACTER_TYPE_BOSS,(Boss)
TID_CHARACTER_TYPE_MINI_BOSS,(Mini Boss)
TID_ADD_MONEY,"Add CASH\nUse money to buy goods, skills and services."
TID_ADD_DIAMONDS,Add DIAMONDS\nUse diamonds to buy powerful special items and expand your bag.
TID_NO_REQUIRED_SKILL,You don't have the required skill
TID_ADD_FRIENDS,Add More Friends
TID_VIEW_CHARACTER_BUTTON,View Character
TID_INVITE_TO_PARTY_BUTTON,Invite to Group
TID_REMOVE_FRIEND_BUTTON,Remove Friend
TID_FRIENDS_SCREEN,Friends
TID_EMPTY_FRIEND_LIST,You have not added any friends yet. Click the Add More Friends button.
TID_ADD_FRIENDS_SCREEN_TITLE,Add More Friends
TID_ADD_CHARACTER_FRIEND,Add Character Friend
TID_SEND_FRIEND_REQUEST,Add as Mercenary
TID_ADD_EMAIL_FRIEND_TITLE,Enter your friend's Gunshine.net email address
TID_NO_FACEBOOK_FRIENDS_FOUND,Unable to find Facebook friends playing Gunshine.net
TID_BUTTON_ACCEPT,Accept
TID_BUTTON_DECLINE,Decline
TID_BUTTON_CONTINUE,Continue
TID_FRIEND_REQUEST_TEXT,Accept friend request from <NAME>?
TID_FRIEND_STATE_REQUEST_RECEIVED,Friend request
TID_FRIEND_STATE_REQUEST_SENT,Friend request sent
TID_FRIEND_STATE_BLOCKED,Blocked
TID_FRIEND_REQUEST_SENT,Friend request was sent
TID_FRIEND_STATE_ONLINE,Online
TID_FRIEND_STATE_OFFLINE,Offline
TID_PLAYER_IGNORED,<NAME> ignored
TID_PLAYER_BLOCKED,<NAME> blocked
TID_ITEM_COMPARISON_TOOL_TIP_TITLE,Currently Equipped
TID_CHARACTER_CODE,Character Code
TID_ADD_CHARACTER_FRIEND_TIP,"To add a character friend, enter that player's character name and code."
TID_ADD_FRIEND_FAILED_EMAIL,Friend request failed. Requested email address was not found.
