Name,EquipmentClass,RequiredLevel,Rarity,Enhancement,Tier,ClothClass,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,LootDisabled,PostToSocialNetworks,Icon
Average Police Cap,Police Cap,10,Common,,,Large,,,graphics/3d/hats/hats.SUP,hat_policecap,graphics/3d/hats/female_hats.SUP,hat_policecap,graphics/3d/hats/textures/policecap.png,graphics/3d/hats/textures/policecap.png,TRUE,TRUE,
Basic Nurse Hat,Nurse Hat,10,Common,,,Large,,,graphics/3d/hats/hats.SUP,hat_nurse,graphics/3d/hats/female_hats.SUP,hat_nurse,graphics/3d/hats/textures/nursehat.png,graphics/3d/hats/textures/nursehat.png,TRUE,TRUE,
Everyday Cap,Cap,2,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Regular Cap,Cap,4,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Popular Cap,Cap,6,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Common Cap,Cap,8,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Simple Cap,Cap,10,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Basic Police Cap,Police Cap,10,Common,,,Large,,,graphics/3d/hats/hats.SUP,hat_policecap,graphics/3d/hats/female_hats.SUP,hat_policecap,graphics/3d/hats/textures/policecap.png,graphics/3d/hats/textures/policecap.png,TRUE,,
Everyday Nurse Hat,Nurse Hat,10,Common,,,Large,,,graphics/3d/hats/hats.SUP,hat_nurse,graphics/3d/hats/female_hats.SUP,hat_nurse,graphics/3d/hats/textures/nursehat.png,graphics/3d/hats/textures/nursehat.png,TRUE,,
Typical Cap,Cap,2,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Usual Cap,Cap,4,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Plain Cap,Cap,6,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Standard Cap,Cap,8,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
Universal Cap,Cap,10,Common,,,Large,graphics/3d/hats/on_skin_textures/hat_cap_a_skin.png,graphics/3d/hats/on_skin_textures/hat_cap_a_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_a,graphics/3d/hats/female_hats.SUP,hat_cap_a,graphics/3d/hats/textures/hat_cap_a.png,graphics/3d/hats/textures/hat_cap_a.png,TRUE,,
