Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,Enhancement,ShopRecommend,Tier,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,PostToSocialNetworks,Icon
Discarded Cap,Cap,Small,5,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Felt Cap,Cap,Small,10,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Robber Cap,Cap,Small,14,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Ice Cap,Cap,Small,19,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Lucky Cap,Cap,Small,23,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Cap Tain,Cap,Small,27,Common,,TRUE,,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Brimmed Hat,Brimmed Hat,Small,6,Uncommon,,TRUE,of the Hunter,,,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_cap_b_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_cap_b,graphics/3d/hats/female_hats.SUP,hat_cap_b,graphics/3d/hats/textures/hat_cap_b_2.png,graphics/3d/hats/textures/hat_cap_b_2.png,,
Cyber Cowboy Hat,Brimmed Hat,Small,8,Uncommon,,TRUE,of the Troublemaker,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_2.png,graphics/3d/hats/textures/hat_brimmed_a_2.png,,
Rust-brimmed Hat,Brimmed Hat,Small,12,Uncommon,,TRUE,of the Assassin,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_2.png,graphics/3d/hats/textures/hat_brimmed_a_2.png,,
Iron-brimmed Hat,Brimmed Hat,Small,17,Uncommon,,TRUE,of Capacity,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_2.png,graphics/3d/hats/textures/hat_brimmed_a_2.png,,
Steel-brimmed Hat,Brimmed Hat,Small,21,Uncommon,,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_2.png,graphics/3d/hats/textures/hat_brimmed_a_2.png,,
Silver-brimmed Hat,Brimmed Hat,Small,23,Uncommon,,TRUE,of the Painmaker,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_3.png,graphics/3d/hats/textures/hat_brimmed_a_3.png,,
Titanium-brimmed Hat,Brimmed Hat,Small,25,Uncommon,,TRUE,of the Predator,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_3.png,graphics/3d/hats/textures/hat_brimmed_a_3.png,,
Razor-brimmed Hat,Brimmed Hat,Small,28,Uncommon,,TRUE,of Rationality,,,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_m.png,graphics/3d/hats/on_skin_textures/hat_brimmed_a_2_skin_f.png,graphics/3d/hats/hats.SUP,hat_brimmed_a,graphics/3d/hats/female_hats.SUP,hat_brimmed_a,graphics/3d/hats/textures/hat_brimmed_a_3.png,graphics/3d/hats/textures/hat_brimmed_a_3.png,,
