Name,Text
TID_HAT_0,Average Police Cap
TID_HAT_1,Basic Nurse Hat
TID_HAT_2,Everyday Cap
TID_HAT_3,Regular Cap
TID_HAT_4,Popular Cap
TID_HAT_5,Common Cap
TID_HAT_6,Simple Cap
TID_HAT_7,Basic Police Cap
TID_HAT_8,Everyday Nurse Hat
TID_HAT_9,Typical Cap
TID_HAT_10,Usual Cap
TID_HAT_11,Plain Cap
TID_HAT_12,Standard Cap
TID_HAT_13,Universal Cap
TID_HAT_14,Lame Hat
TID_HAT_15,Warped Hat
TID_HAT_16,Jagged Brimmed Hat
TID_HAT_17,Radical Brimmed Hat
TID_HAT_18,First-Class Brimmed Hat
TID_HAT_19,Outstanding Brimmed Hat
TID_HAT_20,Genuine Brimmed Hat
TID_HAT_21,Special Brimmed Hat
TID_HAT_22,Elegant Brimmed Hat
TID_HAT_23,Great Brimmed Hat
TID_HAT_24,Cool Brimmed Hat
TID_HAT_25,Good Brimmed Hat
TID_HAT_26,Acute Hat
TID_HAT_27,Genuine Hat
TID_HAT_28,Special Hat
TID_HAT_29,Fine Brimmed Hat
TID_HAT_30,Credible Brimmed Hat
TID_HAT_31,Street Wise Brimmed Hat
TID_HAT_32,Worthy Brimmed Hat
TID_HAT_33,Boosted Brimmed Hat
TID_HAT_34,Acute Brimmed Hat
TID_HAT_35,Elegant Hat
TID_HAT_36,Great Hat
TID_HAT_37,Cool Hat
TID_HAT_38,Genuine Cowboy Hat
TID_HAT_39,Special Cowboy Hat
TID_HAT_40,Elegant Cowboy Hat
TID_HAT_41,Great Cowboy Hat
TID_HAT_42,Cool Cowboy Hat
TID_HAT_43,Good Cowboy Hat
TID_HAT_44,Fine Cowboy Hat
TID_HAT_45,Average Fedora Hat
TID_HAT_46,Basic Fedora Hat
TID_HAT_47,Everyday Fedora Hat
TID_HAT_48,Regular Fedora Hat
TID_HAT_49,Great Sombrero
TID_HAT_50,Cool Sombrero
TID_HAT_51,Good Sombrero
TID_HAT_52,Fine Sombrero
TID_HAT_53,Elegant Felt Hat
TID_HAT_54,Great Felt Hat
TID_HAT_55,Cool Felt Hat
TID_HAT_56,Good Felt Hat
TID_HAT_57,Good Ivy Cap
TID_HAT_58,Fine Ivy Cap
TID_HAT_59,Credible Ivy Cap
TID_HAT_60,Street Wise Ivy Cap
TID_HAT_61,Cool Reggae Hat
TID_HAT_62,Good Reggae Hat
TID_HAT_63,Fine Reggae Hat
TID_HAT_64,Credible Reggae Hat
TID_HAT_65,Boosted Cap
TID_HAT_66,Acute Cap
TID_HAT_67,Genuine Cap
TID_HAT_68,Special Cap
TID_HAT_69,Elegant Cap
TID_HAT_70,Great Cap
TID_HAT_71,Cool Cap
TID_HAT_72,Good Cap
TID_HAT_73,Acute Helmet
TID_HAT_74,Genuine Helmet
TID_HAT_75,Special Helmet
TID_HAT_76,Elegant Helmet
TID_HAT_77,Typical Police Cap
TID_HAT_78,Usual Nurse Hat
TID_HAT_79,Warped Green Cap
TID_HAT_80,Lousy Green Cap
TID_HAT_81,Worthless Green Cap
TID_HAT_82,Poor Green Cap
TID_HAT_83,Shabby Green Cap
TID_HAT_84,Usual Police Cap
TID_HAT_85,Plain Nurse Hat
TID_HAT_86,Common Green Cap
TID_HAT_87,Simple Green Cap
TID_HAT_88,Typical Green Cap
TID_HAT_89,Usual Green Cap
TID_HAT_90,Plain Green Cap
TID_HAT_91,Rural Hat
TID_HAT_92,Barebones Hat
TID_HAT_93,Jagged Cowboy Hat
TID_HAT_94,Radical Cowboy Hat
TID_HAT_95,First-Class Cowboy Hat
TID_HAT_96,Outstanding Cowboy Hat
TID_HAT_97,Credible Cowboy Hat
TID_HAT_98,Street Wise Cowboy Hat
TID_HAT_99,Worthy Cowboy Hat
TID_HAT_100,Boosted Cowboy Hat
TID_HAT_101,Acute Cowboy Hat
TID_HAT_102,Universal Cowboy Hat
TID_HAT_103,Fine Hat
TID_HAT_104,Credible Hat
TID_HAT_105,Street Wise Hat
TID_HAT_106,Superfine Cowboy Hat
TID_HAT_107,Excellent Cowboy Hat
TID_HAT_108,Marvelous Cowboy Hat
TID_HAT_109,Worthy Stetson
TID_HAT_110,Boosted Stetson
TID_HAT_111,Acute Stetson
TID_HAT_112,Worthy Hat
TID_HAT_113,Boosted Hat
TID_HAT_114,Good Hat
TID_HAT_115,Genuine Stetson
TID_HAT_116,Special Stetson
TID_HAT_117,Elegant Stetson
TID_HAT_118,Great Stetson
TID_HAT_119,Cool Stetson
TID_HAT_120,Good Stetson
TID_HAT_121,Fine Stetson
