Name,Text
TID_HAT_NEW_0,Discarded Cap
TID_HAT_NEW_1,Felt Cap
TID_HAT_NEW_2,Robber Cap
TID_HAT_NEW_3,Ice Cap
TID_HAT_NEW_4,Lucky Cap
TID_HAT_NEW_5,Cap Tain
TID_HAT_NEW_6,Brimmed Hat
TID_HAT_NEW_7,Cyber Cowboy Hat
TID_HAT_NEW_8,Rust-brimmed Hat
TID_HAT_NEW_9,Iron-brimmed Hat
TID_HAT_NEW_10,Steel-brimmed Hat
TID_HAT_NEW_11,Silver-brimmed Hat
TID_HAT_NEW_12,Titanium-brimmed Hat
TID_HAT_NEW_13,Razor-brimmed Hat
TID_HAT_NEW_14,Brimstone
TID_HAT_NEW_15,Grim Brim
TID_HAT_NEW_16,Clunky Helmet
TID_HAT_NEW_17,Tin Helmet
TID_HAT_NEW_18,Mod Helmet
TID_HAT_NEW_19,Anti-riot Helmet
TID_HAT_NEW_20,Stakeout Helmet
TID_HAT_NEW_21,Rat Pack Helmet
TID_HAT_NEW_22,Demo Helmet
TID_HAT_NEW_23,Claustro Helment
TID_HAT_NEW_24,Aggro Helmet
TID_HAT_NEW_25,Motorhead
TID_HAT_NEW_26,Lo-fi Cans
TID_HAT_NEW_27,Hi-fi Cans
TID_HAT_NEW_28,Fancy Headset
TID_HAT_NEW_29,Modded Headset
TID_HAT_NEW_30,Private Audio Club
TID_HAT_NEW_31,Street Audio Club
TID_HAT_NEW_32,World Audio Club
TID_HAT_NEW_33,Ear Implant Stabilizers
TID_HAT_NEW_34,Bullhide Hat
TID_HAT_NEW_35,Stakeout Hat
TID_HAT_NEW_36,Mad Hat
TID_HAT_NEW_37,Class Hat
TID_HAT_NEW_38,Awesome Hat
TID_HAT_NEW_39,Orbital Hat
TID_HAT_NEW_40,Holo Hat
TID_HAT_NEW_41,Hat Titude
TID_HAT_NEW_42,Dusty Cap
TID_HAT_NEW_43,Desert Cap
TID_HAT_NEW_44,Dune Cap
TID_HAT_NEW_45,Faithful Cap
TID_HAT_NEW_46,Brand New Cap
TID_HAT_NEW_47,Quality Cap
TID_HAT_NEW_48,Oil-Drenched Mask
TID_HAT_NEW_49,Stained Mask
TID_HAT_NEW_50,Black Wood Mask
TID_HAT_NEW_51,Dark Mask
TID_HAT_NEW_52,Tailormade Mask
TID_HAT_NEW_53,Skull Face
TID_HAT_NEW_54,Monster Face
TID_HAT_NEW_55,Hypno Face
TID_HAT_NEW_56,Dramatic Mask
TID_HAT_NEW_57,Holo Mask
TID_HAT_NEW_58,Third Class Helmet
TID_HAT_NEW_59,Second Class Helmet
TID_HAT_NEW_60,Surgeon's Headwear
TID_HAT_NEW_61,Elite Class Helmet
TID_HAT_NEW_62,Titanium Class Helmet
TID_HAT_NEW_63,Nanotube Helmet
TID_HAT_NEW_64,Rain Catcher
TID_HAT_NEW_65,Wind Breaker
TID_HAT_NEW_66,Sun Blocker
TID_HAT_NEW_67,The Bucket
TID_HAT_NEW_68,Duct Face
TID_HAT_NEW_69,Pig Face
TID_HAT_NEW_70,Plastic Face
TID_HAT_NEW_71,Gimp Face
TID_HAT_NEW_72,Nasty Face
TID_HAT_NEW_73,Horror Face
TID_HAT_NEW_74,Terror Face
TID_HAT_NEW_75,Unimaginable Face
TID_HAT_NEW_76,Fancy Fedora
TID_HAT_NEW_77,Impressive Fedora
TID_HAT_NEW_78,Legendary Fedora
TID_HAT_NEW_79,Healer's Hat
TID_HAT_NEW_80,Doctor's Hat
TID_HAT_NEW_81,Surgeon's Stetson
TID_HAT_NEW_82,Top Doc
TID_HAT_NEW_83,Eden Brim
TID_HAT_NEW_84,Moldy Cap
TID_HAT_NEW_85,Plywood Cap
TID_HAT_NEW_86,Aggro Cap
TID_HAT_NEW_87,Biker Cap
TID_HAT_NEW_88,Top Notch Cap
TID_HAT_NEW_89,Titanium Cap
TID_HAT_NEW_90,Stained Cap
TID_HAT_NEW_91,Sat-on Cap
TID_HAT_NEW_92,Mob Cap
TID_HAT_NEW_93,Fake Cap
TID_HAT_NEW_94,Extra Large Cap
TID_HAT_NEW_95,Riot Cap
TID_HAT_NEW_96,Doomsday Cap
TID_HAT_NEW_97,Apocalypse Cap
TID_HAT_NEW_98,Caput
TID_HAT_NEW_99,Holo Cap
TID_HAT_NEW_100,Sat-on Hat
TID_HAT_NEW_101,Pretty Good Leather Hat
TID_HAT_NEW_102,Quite Nice Leather Hat
TID_HAT_NEW_103,Excellent Leather Hat
TID_HAT_NEW_104,Kobe Hide Hat
TID_HAT_NEW_105,Bot Face
TID_HAT_NEW_106,Blank Face
TID_HAT_NEW_107,Mirror Face
TID_HAT_NEW_108,Holo Face
TID_HAT_NEW_109,Sweat Box
TID_HAT_NEW_110,Mosquito Helmet
TID_HAT_NEW_111,Street Helmet
TID_HAT_NEW_112,Mob Helmet
TID_HAT_NEW_113,Desert Helmet
TID_HAT_NEW_114,Dune Helmet
TID_HAT_NEW_115,Traveller's Helmet
TID_HAT_NEW_116,Steel Helmet
TID_HAT_NEW_117,Custom Built Helmet
TID_HAT_NEW_118,Feel Good Beats
TID_HAT_NEW_119,Aggro Beats
TID_HAT_NEW_120,Wrecking Crew Beats
TID_HAT_NEW_121,Dominator Beats
TID_HAT_NEW_122,World Beater Beats
TID_HAT_NEW_123,Universal Beats
TID_HAT_NEW_124,Beatless
TID_HAT_NEW_125,Can Can Cans
TID_HAT_NEW_126,Plated Cowboy Hat
TID_HAT_NEW_127,Riot Face
TID_HAT_NEW_128,Lava-forged Helmet
TID_HAT_NEW_129,Lava-tempered Helmet
TID_HAT_NEW_130,Crimson Skull
TID_HAT_NEW_131,Yee-haw!
TID_HAT_NEW_132,Titanium Star
TID_HAT_NEW_133,Meteor Shelter
TID_HAT_NEW_134,Botmask Helmet
TID_HAT_NEW_135,Cyborg Helmet
TID_HAT_NEW_136,Droid Helmet
TID_HAT_NEW_137,Gasbooster Helmet
TID_HAT_NEW_138,Grandvisor Helmet
TID_HAT_NEW_139,Multieye Helmet
TID_HAT_NEW_140,Pilot Helmet
TID_HAT_NEW_141,Predator Helmet
TID_HAT_NEW_142,Spy Helmet
TID_HAT_NEW_143,Winged Helmet
TID_HAT_NEW_144,Small GepX Tinfoiled Stetson
TID_HAT_NEW_145,Large GepX Tinfoiled Stetson
TID_HAT_NEW_146,Science Cowboyhat of Brains
TID_HAT_NEW_147,Science Cowboycap of Brains
TID_HAT_NEW_148,Loglady Hat
TID_HAT_NEW_149,Bebop
TID_HAT_NEW_150,M-Base
TID_HAT_NEW_151,Acid Jazz
TID_HAT_NEW_152,Dixieland
TID_HAT_NEW_153,Hoodoo
TID_HAT_NEW_154,Roots
TID_HAT_NEW_155,Fort Yuma
TID_HAT_NEW_156,Buddha Guard
TID_HAT_NEW_157,Confession Armor
TID_HAT_NEW_158,Daath Guard
TID_HAT_NEW_159,Bounce
TID_HAT_NEW_160,Wonky
TID_HAT_NEW_161,Glitch
TID_HAT_NEW_162,Godfather
TID_HAT_NEW_163,Steppa
TID_HAT_NEW_164,Burrito
TID_HAT_NEW_165,Bandido
TID_HAT_NEW_166,Malkuth Sheath
TID_HAT_NEW_167,Redeemer Guard
TID_HAT_NEW_168,Savior Barrier
TID_HAT_NEW_169,Singjay
TID_HAT_NEW_170,Ragga
TID_HAT_NEW_171,Sensi
TID_HAT_NEW_172,Rumble Hat
