Name,Rarity,Lvl,LootProbability,LootMin,LootMax,TreasureBoxProbability,TreasureBoxMin,TreasureBoxMax,DailyRewardCount,CanBeRequested,LootDisabled,DiamondCostExact,DiamondPackageSize,DropSound,AlwaysOnVendor,LootResource,LootExportName,Icon,FBIcon,PlaceableInEditor
Fabric,Common,1,25,3,3,25,75,80,10,TRUE,,5,100,LootDefault,,graphics/loot/loot_drops.swf,drop_fabric,51,FB_synthetic_cloth.png,
,,2,25,3,4,25,75,80,10,,,,,,,,,,,
,,3,25,4,4,25,75,80,10,,,,,,,,,,,
,,4,25,4,4,25,100,110,10,,,,,,,,,,,
,,5,25,4,4,25,100,110,10,,,,,,,,,,,
,,6,25,4,4,25,125,130,15,,,,,,,,,,,
,,7,25,4,4,25,125,135,15,,,,,,,,,,,
,,8,25,4,5,25,125,140,20,,,,,,,,,,,
,,9,25,4,5,25,150,160,20,,,,,,,,,,,
,,10,25,5,5,25,175,180,25,,,5,250,,,,,,,
,,11,25,5,5,25,175,185,25,,,,,,,,,,,
,,12,25,5,5,25,200,210,30,,,,,,,,,,,
,,13,25,5,6,25,200,210,30,,,,,,,,,,,
,,14,25,5,6,25,225,240,35,,,,,,,,,,,
,,15,25,6,6,25,225,250,35,,,,,,,,,,,
,,16,21,6,6,25,250,275,40,,,,,,,,,,,
,,17,21,6,6,25,275,300,40,,,,,,,,,,,
,,18,21,6,7,25,275,300,45,,,,,,,,,,,
,,19,21,6,7,25,300,330,45,,,,,,,,,,,
,,20,21,7,7,25,300,330,50,,,5,500,,,,,,,
,,21,21,7,7,25,325,360,55,,,,,,,,,,,
,,22,21,7,7,25,325,360,60,,,,,,,,,,,
,,23,21,7,8,25,350,380,65,,,,,,,,,,,
,,24,21,7,8,25,350,380,70,,,,,,,,,,,
,,25,21,7,8,25,375,410,75,,,,,,,,,,,
,,26,21,8,8,25,400,440,80,,,,,,,,,,,
,,27,21,8,8,25,400,440,85,,,,,,,,,,,
,,28,21,8,8,25,425,470,90,,,,,,,,,,,
,,29,21,8,8,25,575,625,95,,,,,,,,,,,
,,30,21,9,9,25,1000,1250,100,,,5,1000,,,,,,,
Bolts,Common,1,20,4,5,25,75,120,10,TRUE,,5,100,LootDefault,,graphics/loot/loot_drops.swf,drop_bolts,48,newitem-10.png,true
,,2,20,4,8,25,75,120,10,,,,,,,,,,,
,,3,20,6,10,25,75,120,10,,,,,,,,,,,
,,4,20,7,12,25,100,165,10,,,,,,,,,,,
,,5,20,8,14,25,100,165,10,,,,,,,,,,,
,,6,20,9,16,25,125,195,15,,,,,,,,,,,
,,7,20,11,18,25,125,200,15,,,,,,,,,,,
,,8,20,12,20,25,125,210,20,,,,,,,,,,,
,,9,20,13,22,25,150,240,20,,,,,,,,,,,
,,10,20,13,24,25,175,270,25,,,5,250,,,,,,,
