Name,Rarity,MappedNewIngredient,MappedNewIngredientCount,LootDisabled,DiamondCostExact,LootMinLevel,LootMaxLevel,DropSound,LootResource,LootExportName,Icon
Part: Tin Box,Common,Fabric,2,TRUE,10,9,10,LootDefault,graphics/loot/loot_box1.swf,LootPile,8
Part: Iron Box,Common,Fabric,2,TRUE,10,11,15,LootDefault,graphics/loot/loot_box1.swf,LootPile,9
Part: Steel Box,Common,Fabric,2,TRUE,10,16,20,LootDefault,graphics/loot/loot_box1.swf,LootPile,10
Part: Alu Case,Common,Fabric,2,TRUE,10,21,25,LootDefault,graphics/loot/loot_box1.swf,LootPile,11
Part: Shell Casing,Common,Fabric,2,TRUE,10,26,30,LootDefault,graphics/loot/loot_box1.swf,LootPile,12
Part: Black Powder,Common,Fabric,2,TRUE,10,9,10,LootDefault,graphics/loot/loot_box1.swf,LootPile,26
Part: Cordite,Common,Fabric,2,TRUE,10,11,15,LootDefault,graphics/loot/loot_box1.swf,LootPile,27
Part: C4,Common,Fabric,2,TRUE,10,16,20,LootDefault,graphics/loot/loot_box1.swf,LootPile,28
Part: Semtex,Common,Fabric,2,TRUE,10,21,25,LootDefault,graphics/loot/loot_box1.swf,LootPile,29
Part: Mini-Nuke,Common,Bolts,2,TRUE,10,26,30,LootDefault,graphics/loot/loot_box1.swf,LootPile,30
Part: Bottle Rocket,Common,Bolts,2,TRUE,10,9,10,LootDefault,graphics/loot/loot_box1.swf,LootPile,32
Part: IED Tip,Common,Bolts,2,TRUE,10,11,15,LootDefault,graphics/loot/loot_box1.swf,LootPile,33
Part: RPG Shell,Common,Bolts,2,TRUE,10,16,20,LootDefault,graphics/loot/loot_box1.swf,LootPile,34
Part: 88mm Shell,Common,Bolts,2,TRUE,10,21,25,LootDefault,graphics/loot/loot_box1.swf,LootPile,35
Part: Warhead,Common,Bolts,2,TRUE,10,26,30,LootDefault,graphics/loot/loot_box1.swf,LootPile,36
Part: PVC Tube,Uncommon,Armor Plates,2,TRUE,40,9,10,LootDefault,graphics/loot/loot_box1.swf,LootPile,14
Part: Launcher Tube,Uncommon,Armor Plates,2,TRUE,40,11,15,LootDefault,graphics/loot/loot_box1.swf,LootPile,15
Part: Wire Guided,Uncommon,Armor Plates,2,TRUE,40,16,20,LootDefault,graphics/loot/loot_box1.swf,LootPile,16
