Name,MainIsland,MinExpLevel,MaxExpLevel,MapX,MapY,Set1,Set2,Set3,Set4,Set5,Set6,Set7,Set8,Set9,Set10
Dawnbreak City,TRUE,1,30,,,,,,,,,,,,
Island Idas,,10,12,6,-1,Stoned Hooligan,Mad Dog Runner,Mad Dog Brawler,Stoned Hooligan,Mad Dog Runner,Stoned Hooligan,Stoned Hooligan,Scarred Hooligan,Triggerhappy Hooligan,Stoned Hooligan
,,,,,,Aggressive Hooligan,Mad Dog Gunner,Mad Dog Gunner,Haywire Hooligan,Mad Dog Gunner,Triggerhappy Hooligan,Triggerhappy Hooligan,Aggressive Hooligan,Aggressive Hooligan,Haywire Hooligan
,,,,,,Triggerhappy Hooligan,Mad Dog Fighter,Mad Dog Fighter,Triggerhappy Hooligan,Mad Dog Fighter,Scarred Hooligan,Aggressive Hooligan,Triggerhappy Hooligan,Stoned Hooligan,Triggerhappy Hooligan
,,,,,,Triggerhappy Hooligan,Mad Dog Fighter,Mad Dog Fighter,Triggerhappy Hooligan,Mad Dog Gunner,Triggerhappy Hooligan,Triggerhappy Hooligan,Aggressive Hooligan,Aggressive Hooligan,Haywire Hooligan
Island Argus,,30,30,10,3,Mad Dog Gunner,Mad Dog Gunner,Hired Guns Grenadier,Stoned Hooligan,Mad Dog Gunner,Hired Guns Shooter,Mad Dog Brawler,Hired Guns Rocketeer,Mad Dog Gunner,Stoned Hooligan
,,,,,,Mad Dog Brawler,Mad Dog Fighter,Hired Guns Rocketeer,Mad Dog Brawler,Mad Dog Runner,Hired Guns Shooter,Mad Dog Brawler,Hired Guns Shooter,Mad Dog Brawler,Aggressive Hooligan
,,,,,,Mad Dog Brawler,Mad Dog Gunner,Hired Guns Shooter,Mad Dog Gunner,Mad Dog Gunner,Hired Guns Grenadier,Mad Dog Gunner,Hired Guns Grenadier,Mad Dog Fighter,Triggerhappy Hooligan
,,,,,,Mad Dog Brawler,Mad Dog Gunner,Hired Guns Shooter,Mad Dog Gunner,Mad Dog Gunner,Hired Guns Grenadier,Mad Dog Gunner,Hired Guns Grenadier,Mad Dog Fighter,Triggerhappy Hooligan
Island Actor,,12,13,13,7,Hired Guns Grenadier,Security Trooper,Hired Guns Rocketeer,Security Trooper,Hired Guns Grenadier,Security Officer,Hired Guns Grenadier,Security Trooper,Hired Guns Shooter,Security Officer
,,,,,,Hired Guns Rocketeer,Security Officer,Hired Guns Grenadier,Security Officer,Hired Guns Grenadier,Security Trooper,Hired Guns Rocketeer,Security Officer,Hired Guns Grenadier,Security Trooper
,,,,,,Hired Guns Shooter,Security Trooper,Hired Guns Shooter,Security Officer,Hired Guns Shooter,Security Trooper,Hired Guns Shooter,Security Trooper,Hired Guns Rocketeer,Security Officer
,,,,,,Hired Guns Shooter,Security Trooper,Hired Guns Rocketeer,Security Officer,Hired Guns Grenadier,Security Officer,Hired Guns Grenadier,Security Trooper,Hired Guns Shooter,Security Officer
Island Castor,,14,15,16,11,Security Trooper,Stoned Hooligan,Stoned Hooligan,Security Trooper,Stoned Hooligan,Security Officer,Stoned Hooligan,Security Trooper,Stoned Hooligan,Triggerhappy Hooligan
,,,,,,Security Officer,Haywire Hooligan,Triggerhappy Hooligan,Security Officer,Triggerhappy Hooligan,Security Officer,Aggressive Hooligan,Security Officer,Aggressive Hooligan,Aggressive Hooligan
,,,,,,Security Officer,Scarred Hooligan,Scarred Hooligan,Security Trooper,Stoned Hooligan,Security Trooper,Triggerhappy Hooligan,Security Trooper,Triggerhappy Hooligan,Stoned Hooligan
,,,,,,Scarred Hooligan,Security Trooper,Stoned Hooligan,Security Trooper,Triggerhappy Hooligan,Security Trooper,Triggerhappy Hooligan,Security Officer,Triggerhappy Hooligan,Stoned Hooligan
Island Medea,,16,17,19,19,Club Flesh Assassin,Stoned Hooligan,Club Flesh Assassin,Stoned Hooligan,Club Flesh Assassin,Stoned Hooligan,Club Flesh Assassin,Stoned Hooligan,Club Flesh Assassin,Stoned Hooligan
,,,,,,Club Flesh Skinner,Haywire Hooligan,Club Flesh Skinner,Haywire Hooligan,Club Flesh Skinner,Haywire Hooligan,Club Flesh Skinner,Aggressive Hooligan,Club Flesh Skinner,Aggressive Hooligan
