Name,Item,ItemCount
DailyReward1,Fabric,15
DailyReward2,Bolts,15
DailyReward3,Medikit,2
,Great Medikit,2
,Superior Medikit,2
DailyReward4,Energy Drink,2
,Great Energy Drink,2
,Superior Energy Drink,2
DailyReward5,Bazooka,1
,Great Bazooka,1
,Super Bazooka,1
DailyReward6,Armor Plates,10
DailyReward7,Heavy Metal,10
DailyReward8,Power Cells,2
DailyReward9,Energy Surprise (Group),1
,Great Energy Surprise (Group),1
,Superior Energy Surprise (Group),1
DailyReward10,Raider Tech,4
,Riot Plates,4
,Dragon Scales,4
,Cyber Chips,4
DailyReward15,Nanobots,4
DailyReward20,Fire Bomb,1
DailyReward30,XP Booster (150%),1
DailyReward40,Stone Skin,1
DailyReward50,Huge Air Strike,1
DailyReward100,Nuke,1
DailyReward200,XP Booster (150%),1
MercenaryGiftBack,Grenade,2
,Great Grenade,2
,Superior Grenade,2
DailyReward120,Fire Bomb,1
DailyReward130,Superior Shock Blow,1
DailyReward140,Stone Skin,1
DailyReward150,Huge Air Strike,1
DailyReward160,Nuke,1
DailyReward220,Fire Bomb,1
DailyReward230,Superior Shock Blow,1
DailyReward240,Stone Skin,1
DailyReward250,Huge Air Strike,1
DailyReward300,Nuke,1
DailyReward320,Fire Bomb,1
DailyReward330,Superior Shock Blow,1
DailyReward340,Stone Skin,1
DailyReward350,Huge Air Strike,1
DailyReward400,Nuke,1
DailyReward420,Fire Bomb,1
DailyReward430,Superior Shock Blow,1
DailyReward440,Stone Skin,1
DailyReward450,Huge Air Strike,1
DailyReward490,Nuke,1
DailyReward500,Superior Shock Blow,1
