Name,Text
TID_ITEM_0,Money
TID_ITEM_1,Boozes
TID_ITEM_2,Package
TID_ITEM_3,Goods
TID_ITEM_4,Explosive
TID_ITEM_5,Shipment
TID_ITEM_6,Gasoline
TID_ITEM_7,Key Card
TID_ITEM_8,Propane tank
TID_ITEM_9,Weapon Case
TID_ITEM_10,Data disc
TID_ITEM_11,Gunbox
TID_ITEM_12,Medical Box
TID_ITEM_13,Ant Egg
TID_ITEM_14,Ant Head
TID_ITEM_15,Resource Spot
TID_ITEM_16,Lizard Egg
TID_ITEM_17,Coupon
TID_ITEM_18,Coupon Suitcase
TID_ITEM_19,MudCrab Egg
TID_ITEM_20,Woodpile
TID_ITEM_21,Bobinator
TID_ITEM_22,Box of Ammo
TID_ITEM_23,Metal Shard
TID_ITEM_24,Battery Shelf
TID_ITEM_25,trash wire
TID_ITEM_26,blueprints
TID_ITEM_27,blueprints2
TID_ITEM_28,Satelite Dish
