Name,NPCItem,EquipmentClass,ClothClass,RequiredLevel,Rarity,PlaceableInEditor,Tier,Enhancement,PostToSocialNetworks,Texture,FemaleTexture,ModelTexture,FemaleModelTexture,LootDisabled,Icon
Worthy Anarchy Jacket,,Anarchy Jacket,Large,5,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,TRUE,21
Boosted Anarchy Jacket,,Anarchy Jacket,Large,7,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,TRUE,21
Acute Anarchy Jacket,,Anarchy Jacket,Large,9,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,TRUE,21
Genuine Anarchy Jacket,,Anarchy Jacket,Large,11,Uncommon,,,,TRUE,graphics/3d/character/jacket/distressed_anarchist_jacket_01_m.png,graphics/3d/character/jacket/distressed_anarchist_jacket_01_f.png,,,TRUE,21
Exquisite Armored Jacket,,Armored Jacket,Large,20,Rare,,,of the Judgment,TRUE,graphics/3d/character/jacket/armored_jacket_outfit_01_m.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f.png,,,TRUE,21
High-Power Armored Jacket,,Armored Jacket,Large,24,Rare,,,of the Destroyer,TRUE,graphics/3d/character/jacket/armored_jacket_outfit_01_m.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f.png,,,TRUE,21
Jagged Armored Jacket,,Armored Jacket,Large,28,Rare,,,of the Painmaker,TRUE,graphics/3d/character/jacket/armored_jacket_outfit_01_m.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f.png,,,TRUE,21
High-Power Biker Jacket,,Biker Jacket,Large,30,Rare,,3,of the Predator,TRUE,graphics/3d/character/jacket/twotone_jacket_01_m.png,graphics/3d/character/jacket/twotone_jacket_01_f.png,,,TRUE,1
Jagged Biker Jacket,,Biker Jacket,Large,30,Rare,,,,TRUE,graphics/3d/character/jacket/twotone_jacket_02_m.png,graphics/3d/character/jacket/twotone_jacket_02_f.png,,,TRUE,1
Warped Blue Sport Coat,,Blue Sport Coat,Large,3,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
Lousy Blue Sport Coat,,Blue Sport Coat,Large,4,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
Worthless Blue Sport Coat,,Blue Sport Coat,Large,8,Poor,,,,,graphics/3d/character/jacket/sportcoat_blue_02_m.png,graphics/3d/character/jacket/sportcoat_blue_02_f.png,,,TRUE,41
