Name,EquipmentClass,ClothClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,PlaceableInEditor,Tier,Enhancement,ShopRecommend,PostToSocialNetworks,Tier,Texture,FemaleTexture,Model,Mesh,FemaleModel,FemaleMesh,ModelTexture,FemaleModelTexture,Icon,LootResource,LootExportName,YELLOW_TEXT_TID,DiamondCostExact
Denim Vest,Jacket,Small,2,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Olive Drab Smock,Jacket,Small,5,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/sweater_brown_01_m.png,graphics/3d/character/jacket/sweater_brown_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Shooting Vest,Jacket,Small,7,Common,,TRUE,,,,,,,graphics/3d/character/jacket/vest_blue_01_m.png,graphics/3d/character/jacket/vest_blue_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Bowhunter's Jacket,Jacket,Small,9,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Safari Jacket,Jacket,Small,11,Common,,TRUE,,,,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Shooting Jacket,Jacket,Small,12,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/drum_dyet_jacket_01_m.png,graphics/3d/character/jacket/drum_dyet_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Tan Jacket,Jacket,Small,14,Common,,TRUE,,,,,,,graphics/3d/character/jacket/brown_leather_jacket_01_m.png,graphics/3d/character/jacket/brown_leather_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Aviator Jacket,Jacket,Small,16,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Manhunter's Jacket,Jacket,Small,18,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/hooded_jacket_01_m.png,graphics/3d/character/jacket/hooded_jacket_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Manhunter's Coat,Jacket,Small,19,Common,,TRUE,,,,,,,graphics/3d/character/jacket/spy_coat_01_m.png,graphics/3d/character/jacket/spy_coat_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Flak Vest,Jacket,Small,21,Uncommon,,TRUE,,,of the Assassin,,,,graphics/3d/character/jacket/brown_armor_vestoutfit_01_m_new_02.png,graphics/3d/character/jacket/brown_armor_vestoutfit_01_f_new_02.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Midnight Jacket,Jacket,Small,22,Common,,TRUE,,,,,,,graphics/3d/character/jacket/spy_coat_01_m.png,graphics/3d/character/jacket/spy_coat_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Hunter's Body Armor,Jacket,Small,24,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/brown_armor_vestoutfit_01_m.png,graphics/3d/character/jacket/brown_armor_vestoutfit_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
All-weather Coat,Jacket,Small,26,Common,,TRUE,,,,,,,graphics/3d/character/jacket/spy_coat_02_m.png,graphics/3d/character/jacket/spy_coat_02_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
Jackal Jacket,Jacket,Small,28,Uncommon,,TRUE,,,of the Hunter,,,,graphics/3d/character/jacket/armored_jacket_outfit_01_m.png,graphics/3d/character/jacket/armored_jacket_outfit_01_f.png,,,,,,,22,graphics/loot/loot_box1.swf,LootShirt,,
