Name,Text
TID_JACKET_0,Worthy Anarchy Jacket
TID_JACKET_1,Boosted Anarchy Jacket
TID_JACKET_2,Acute Anarchy Jacket
TID_JACKET_3,Genuine Anarchy Jacket
TID_JACKET_4,Exquisite Armored Jacket
TID_JACKET_5,High-Power Armored Jacket
TID_JACKET_6,Jagged Armored Jacket
TID_JACKET_7,High-Power Biker Jacket
TID_JACKET_8,Jagged Biker Jacket
TID_JACKET_9,Warped Blue Sport Coat
TID_JACKET_10,Lousy Blue Sport Coat
TID_JACKET_11,Worthless Blue Sport Coat
TID_JACKET_12,Poor Blue Sport Coat
TID_JACKET_13,Shabby Blue Sport Coat
TID_JACKET_14,Inferior Blue Sport Coat
TID_JACKET_15,Universal Blue Sport Coat
TID_JACKET_16,Average Blue Sport Coat
TID_JACKET_17,Basic Blue Sport Coat
TID_JACKET_18,Everyday Blue Sport Coat
TID_JACKET_19,Regular Blue Sport Coat
TID_JACKET_20,Average Blue Striped Jacket
TID_JACKET_21,Basic Blue Striped Jacket
TID_JACKET_22,Everyday Blue Striped Jacket
TID_JACKET_23,Regular Blue Striped Jacket
TID_JACKET_24,Popular Blue Striped Jacket
TID_JACKET_25,Worthless Blue Sweater
TID_JACKET_26,Poor Blue Sweater
TID_JACKET_27,Shabby Blue Sweater
TID_JACKET_28,Inferior Blue Sweater
TID_JACKET_29,Rural Blue Sweater
TID_JACKET_30,Barebones Blue Sweater
TID_JACKET_31,Basic Blue Sweater
TID_JACKET_32,Everyday Blue Sweater
TID_JACKET_33,Regular Blue Sweater
TID_JACKET_34,Popular Blue Sweater
TID_JACKET_35,Common Blue Sweater
TID_JACKET_36,Outstanding Braided Leather Jacket
TID_JACKET_37,Superfine Braided Leather Jacket
TID_JACKET_38,Excellent Braided Leather Jacket
TID_JACKET_39,Cool Brown Armor Vest
TID_JACKET_40,Good Brown Leather Jacket
TID_JACKET_41,Fine Brown Leather Jacket
TID_JACKET_42,Credible Brown Leather Jacket
TID_JACKET_43,Street Wise Brown Leather Jacket
TID_JACKET_44,Common Brown Sweater
TID_JACKET_45,Simple Brown Sweater
TID_JACKET_46,Typical Brown Sweater
TID_JACKET_47,Usual Brown Sweater
TID_JACKET_48,Plain Brown Sweater
TID_JACKET_49,Simple Butcher's Jacket
TID_JACKET_50,Typical Butcher's Jacket
TID_JACKET_51,Usual Butcher's Jacket
TID_JACKET_52,Plain Butcher's Jacket
TID_JACKET_53,Standard Butcher's Jacket
TID_JACKET_54,Greater Buttoned Leather Jacket
TID_JACKET_55,Singular Buttoned Leather Jacket
TID_JACKET_56,Exquisite Buttoned Leather Jacket
TID_JACKET_57,Singular Camo Shirt
TID_JACKET_58,Exquisite Camo Shirt
TID_JACKET_59,High-Power Camo Shirt
TID_JACKET_60,Plain Casual Vest
TID_JACKET_61,Standard Casual Vest
TID_JACKET_62,Universal Casual Vest
TID_JACKET_63,Average Casual Vest
TID_JACKET_64,Basic Casual Vest
TID_JACKET_65,Acute Cowhide Jacket
TID_JACKET_66,Genuine Cowhide Jacket
TID_JACKET_67,Special Cowhide Jacket
TID_JACKET_68,Elegant Cowhide Jacket
TID_JACKET_69,Universal Dark Red Sport Coat
TID_JACKET_70,Average Dark Red Sport Coat
TID_JACKET_71,Basic Dark Red Sport Coat
TID_JACKET_72,Everyday Dark Red Sport Coat
TID_JACKET_73,Regular Dark Red Sport Coat
TID_JACKET_74,Radical Dark Trench Coat
TID_JACKET_75,Ragged Denim Vest
TID_JACKET_76,Worn Denim Vest
TID_JACKET_77,Old Denim Vest
TID_JACKET_78,Lame Denim Vest
TID_JACKET_79,Warped Denim Vest
TID_JACKET_80,Lousy Denim Vest
TID_JACKET_81,Elegant Denim Vest
TID_JACKET_82,Great Denim Vest
TID_JACKET_83,Cool Denim Vest
TID_JACKET_84,Good Denim Vest
TID_JACKET_85,Great Distressed Jacket
TID_JACKET_86,Cool Distressed Jacket
TID_JACKET_87,Good Distressed Jacket
TID_JACKET_88,Fine Distressed Jacket
TID_JACKET_89,Regular Drum Dyed Jacket
TID_JACKET_90,Popular Drum Dyed Jacket
TID_JACKET_91,Common Drum Dyed Jacket
TID_JACKET_92,Simple Drum Dyed Jacket
TID_JACKET_93,Typical Drum Dyed Jacket
TID_JACKET_94,Cool Drum Dyed Jacket
TID_JACKET_95,Good Drum Dyed Jacket
TID_JACKET_96,Fine Drum Dyed Jacket
TID_JACKET_97,Credible Drum Dyed Jacket
TID_JACKET_98,Good Faux Leather Jacket
TID_JACKET_99,Fine Faux Leather Jacket
TID_JACKET_100,Credible Faux Leather Jacket
TID_JACKET_101,Street Wise Faux Leather Jacket
TID_JACKET_102,Fine Gang Vest
TID_JACKET_103,Credible Gang Vest
TID_JACKET_104,Street Wise Gang Vest
TID_JACKET_105,Worthy Gang Vest
TID_JACKET_106,Credible Gray Fit Shirt
TID_JACKET_107,Street Wise Gray Fit Shirt
TID_JACKET_108,Worthy Gray Fit Shirt
TID_JACKET_109,Boosted Gray Fit Shirt
TID_JACKET_110,Typical Gray Sweater
TID_JACKET_111,Usual Gray Sweater
TID_JACKET_112,Plain Gray Sweater
TID_JACKET_113,Standard Gray Sweater
TID_JACKET_114,Universal Gray Sweater
TID_JACKET_115,Average Gray Sweater
TID_JACKET_116,Usual Green Sport Coat
TID_JACKET_117,Plain Green Sport Coat
TID_JACKET_118,Standard Green Sport Coat
TID_JACKET_119,Universal Green Sport Coat
TID_JACKET_120,Average Green Sport Coat
TID_JACKET_121,Plain Green Sweater
TID_JACKET_122,Standard Green Sweater
TID_JACKET_123,Universal Green Sweater
TID_JACKET_124,Average Green Sweater
TID_JACKET_125,Basic Green Sweater
TID_JACKET_126,Acute Hooded Jacket
TID_JACKET_127,Genuine Hooded Jacket
TID_JACKET_128,Special Hooded Jacket
TID_JACKET_129,Elegant Hooded Jacket
TID_JACKET_130,Jagged Leather Uniform
TID_JACKET_131,Radical Leather Vest
TID_JACKET_132,First-Class Leather Vest
TID_JACKET_133,Outstanding Leather Vest
TID_JACKET_134,Superfine Leather Vest
