Name,Text
TID_JACKET_NEW_0,Denim Vest
TID_JACKET_NEW_1,Olive Drab Smock
TID_JACKET_NEW_2,Shooting Vest
TID_JACKET_NEW_3,Bowhunter's Jacket
TID_JACKET_NEW_4,Safari Jacket
TID_JACKET_NEW_5,Shooting Jacket
TID_JACKET_NEW_6,Tan Jacket
TID_JACKET_NEW_7,Aviator Jacket
TID_JACKET_NEW_8,Manhunter's Jacket
TID_JACKET_NEW_9,Manhunter's Coat
TID_JACKET_NEW_10,Flak Vest
TID_JACKET_NEW_11,Midnight Jacket
TID_JACKET_NEW_12,Hunter's Body Armor
TID_JACKET_NEW_13,All-weather Coat
TID_JACKET_NEW_14,Jackal Jacket
TID_JACKET_NEW_15,Hyena Jacket
TID_JACKET_NEW_16,Wolf Jacket
TID_JACKET_NEW_17,Shooting Shirt
TID_JACKET_NEW_18,Arabic Vest
TID_JACKET_NEW_19,Killer Shirt
TID_JACKET_NEW_20,Tactical Shirt
TID_JACKET_NEW_21,Range Shirt
TID_JACKET_NEW_22,Horsehair Shirt
TID_JACKET_NEW_23,Safari Shirt
TID_JACKET_NEW_24,Outdoor Shirt
TID_JACKET_NEW_25,Hunting Shirt
TID_JACKET_NEW_26,Utility Jacket
TID_JACKET_NEW_27,Range Sweater
TID_JACKET_NEW_28,Deerhunter's Sweater
TID_JACKET_NEW_29,Stealth Jacket
TID_JACKET_NEW_30,Camo Shirt
TID_JACKET_NEW_31,Camo Top
TID_JACKET_NEW_32,Stealth Shirt
TID_JACKET_NEW_33,Special Purpose Jacket
TID_JACKET_NEW_34,Duck Blind Jacket
TID_JACKET_NEW_35,Stalker Jacket
TID_JACKET_NEW_36,Killer Top
TID_JACKET_NEW_37,Turkey Hunt Top
TID_JACKET_NEW_38,Poacher's Shirt
TID_JACKET_NEW_39,Skinner Jacket
TID_JACKET_NEW_40,Predator Jacket
TID_JACKET_NEW_41,All-weather Jacket
TID_JACKET_NEW_42,One Shot Jacket
TID_JACKET_NEW_43,Hiking Sweater
TID_JACKET_NEW_44,Designer Jacket
TID_JACKET_NEW_45,Comfy Sweater
TID_JACKET_NEW_46,Windbreaker Jacket
TID_JACKET_NEW_47,Navy Sweater
TID_JACKET_NEW_48,Dust Jacket
TID_JACKET_NEW_49,Sailing Jacket
TID_JACKET_NEW_50,Suede Shirt
TID_JACKET_NEW_51,Suede Jacket
TID_JACKET_NEW_52,Worn Sweater
TID_JACKET_NEW_53,Surgeon's Shirt
TID_JACKET_NEW_54,Scrub Top
TID_JACKET_NEW_55,Golf Polo
TID_JACKET_NEW_56,Casual Sweater
TID_JACKET_NEW_57,Clean Suit Jacket
TID_JACKET_NEW_58,Surgeon's Coat
TID_JACKET_NEW_59,Hospital White Jacket
TID_JACKET_NEW_60,Orderly's Shirt
TID_JACKET_NEW_61,Nurse's Jacket
TID_JACKET_NEW_62,Surgical Shirt
TID_JACKET_NEW_63,Nursing Scrub Shirt
TID_JACKET_NEW_64,Lay Healer's Shirt
TID_JACKET_NEW_65,Physician's Top
TID_JACKET_NEW_66,Emergency Ward Shirt
TID_JACKET_NEW_67,Doctor's Scrub Shirt
TID_JACKET_NEW_68,Healer's Shirt
TID_JACKET_NEW_69,Physician's Shirt
TID_JACKET_NEW_70,Marrow Top
TID_JACKET_NEW_71,Scalpel Shirt
TID_JACKET_NEW_72,Exclusive Jacket
TID_JACKET_NEW_73,Medic Vest
TID_JACKET_NEW_74,Medic Shirt
TID_JACKET_NEW_75,Surgeon's Scrub Shirt
TID_JACKET_NEW_76,Medical Shirt
TID_JACKET_NEW_77,Conference Shirt
TID_JACKET_NEW_78,Schweiz Jacket
