Name,Text
TID_WEAPON_KNIFE_0,Simple Knife
TID_WEAPON_KNIFE_1,Typical Knife
TID_WEAPON_KNIFE_2,Everyday Knife
TID_WEAPON_KNIFE_3,Plain Knife
TID_WEAPON_KNIFE_4,Popular Jungle Knife
TID_WEAPON_KNIFE_5,Standard Knife
TID_WEAPON_KNIFE_6,Common Jungle Knife
TID_WEAPON_KNIFE_7,Normal Knife
TID_WEAPON_KNIFE_8,Universal Knife
TID_WEAPON_KNIFE_9,Simple Jungle Knife
TID_WEAPON_KNIFE_10,Regular Knife
TID_WEAPON_KNIFE_11,Typical Jungle Knife
TID_WEAPON_KNIFE_12,Crappy Knife
TID_WEAPON_KNIFE_13,Battered Knife
TID_WEAPON_KNIFE_14,Cracked Knife
TID_WEAPON_KNIFE_15,Antiquated Knife
TID_WEAPON_KNIFE_16,Broken Knife
TID_WEAPON_KNIFE_17,Cracked Jungle Knife
TID_WEAPON_KNIFE_18,Piece of Crap Knife
TID_WEAPON_KNIFE_19,Corroded Knife
TID_WEAPON_KNIFE_20,Crude Knife
TID_WEAPON_KNIFE_21,Broken Jungle Knife
TID_WEAPON_KNIFE_22,Corroded Jungle Knife
TID_WEAPON_KNIFE_23,Credible Knife
TID_WEAPON_KNIFE_24,Lame Knife
TID_WEAPON_KNIFE_25,Brittle Knife
TID_WEAPON_KNIFE_26,Crude Jungle Knife
TID_WEAPON_KNIFE_27,Lousy Knife
TID_WEAPON_KNIFE_28,Bottle
TID_WEAPON_KNIFE_29,Marvelous Knife
TID_WEAPON_KNIFE_30,Mighty Knife
TID_WEAPON_KNIFE_31,Mighty Jungle Knife
TID_WEAPON_KNIFE_32,Righteous Knife
TID_WEAPON_KNIFE_33,Righteous Jungle Knife
TID_WEAPON_KNIFE_34,Victorious Jungle Knife
TID_WEAPON_KNIFE_35,Victorious Knife
TID_WEAPON_KNIFE_36,First-Class Knife
TID_WEAPON_KNIFE_37,Singular Knife
TID_WEAPON_KNIFE_38,First-Class Jungle Knife
TID_WEAPON_KNIFE_39,Singular Jungle Knife
TID_WEAPON_KNIFE_40,Excellent Jungle Knife
TID_WEAPON_KNIFE_41,Outstanding Jungle Knife
TID_WEAPON_KNIFE_42,Okayish Knife
TID_WEAPON_KNIFE_43,Great Knife
TID_WEAPON_KNIFE_44,Good Jungle Knife
TID_WEAPON_KNIFE_45,Illegal Knife
TID_WEAPON_KNIFE_46,Cool Knife
TID_WEAPON_KNIFE_47,Good Knife
TID_WEAPON_KNIFE_48,Fine Knife
TID_WEAPON_KNIFE_49,Fine Jungle Knife
TID_WEAPON_KNIFE_50,Credible Jungle Knife
TID_WEAPON_KNIFE_51,Street Wise Jungle Knife
TID_WEAPON_KNIFE_52,Street Wise Knife
TID_WEAPON_KNIFE_53,Nifty Knife
TID_WEAPON_KNIFE_54,Ideal Knife
TID_WEAPON_KNIFE_55,Elegant Knife
TID_WEAPON_KNIFE_56,Worthy Jungle Knife
TID_WEAPON_KNIFE_57,Labytech LK-10
TID_WEAPON_KNIFE_58,Labytech LK-30
TID_WEAPON_KNIFE_59,Labytech LK-28
TID_WEAPON_KNIFE_60,Labytech LK-22
TID_WEAPON_KNIFE_61,Labytech LK-17
TID_WEAPON_KNIFE_62,Labytech LK-12
TID_WEAPON_KNIFE_63,Labytech LK-02
TID_WEAPON_KNIFE_64,Labytech LK-06
TID_WEAPON_KNIFE_65,Labytech LK-13
TID_WEAPON_KNIFE_66,Labytech LK-21
TID_WEAPON_KNIFE_67,Labytech LK-29
TID_WEAPON_KNIFE_68,Knife X-3
TID_WEAPON_KNIFE_69,Knife X-7
TID_WEAPON_KNIFE_70,Knife X-12
TID_WEAPON_KNIFE_71,Knife X-17
TID_WEAPON_KNIFE_72,Knife X-20
TID_WEAPON_KNIFE_73,Knife X-25
TID_WEAPON_KNIFE_74,Knife X-30
TID_WEAPON_KNIFE_75,Champ's Shank
TID_WEAPON_KNIFE_76,Sunny Jungle Knife
