Name,Text
TID_LEVEL_0,B2: Idas North East
TID_LEVEL_1,Tourist Harbor
TID_LEVEL_2,Old_Central Waterfront (E1)
TID_LEVEL_3,Old_Hospital (E3)
TID_LEVEL_4,B1: Idas East
TID_LEVEL_5,A1: Idas West
TID_LEVEL_6,A2: Idas North West
TID_LEVEL_7,Idas Harbor Square
TID_LEVEL_8,Old_Wares (I4)
TID_LEVEL_9,Old Town DAPD (B1)
TID_LEVEL_10,Old_Western Waterfront (D1)
TID_LEVEL_11,Old Northern Waterfront (F1)
TID_LEVEL_12,Old Town Wares (B2)
TID_LEVEL_13,Old Workers Lane Wares A3
TID_LEVEL_14,Old Loading Docks (B3)
TID_LEVEL_15,Old Tobacco Wares (C3)
TID_LEVEL_16,Old Bricks (D3)
TID_LEVEL_17,Old Central of Lights (F3)
TID_LEVEL_18,Old Northern Central of Lights (G3)
TID_LEVEL_19,Old Eastern Docking Coast (H3)
TID_LEVEL_20,Old Steves Garage Area (A4)
TID_LEVEL_21,Old Booze Wares (B4)
TID_LEVEL_22,Old Workers Quarters (C4)
TID_LEVEL_23,Old Capardis Cargo (D4)
TID_LEVEL_24,Old Pharmaceutical Wares (E4)
TID_LEVEL_25,Old F4_Deadly_Warehouse
TID_LEVEL_26,Casino Royale
TID_LEVEL_27,Blackbeard's Base
TID_LEVEL_28,Prison
TID_LEVEL_29,Wetlands
TID_LEVEL_30,Achilles
TID_LEVEL_31,Maze Pit
TID_LEVEL_32,OLD: Immigration Area
TID_LEVEL_33,Pipe Square
TID_LEVEL_34,Drug Field East
TID_LEVEL_35,The Pit
TID_LEVEL_36,Drydock
TID_LEVEL_37,Import Area
TID_LEVEL_38,Omega Island Harbor
TID_LEVEL_39,Old_E6
TID_LEVEL_40,Old F6
TID_LEVEL_41,Old G6
TID_LEVEL_42,Old H6
TID_LEVEL_43,Internment
TID_LEVEL_44,Magazine
TID_LEVEL_45,DefaultWaterLevel
TID_LEVEL_46,Excluded2
TID_LEVEL_47,Excluded3
TID_LEVEL_48,Excluded4
TID_LEVEL_49,Troll's Lair
TID_LEVEL_50,Excluded6
TID_LEVEL_51,Shelly Beach
TID_LEVEL_52,Eureka Research
TID_LEVEL_53,Dreamlab
TID_LEVEL_54,Weed Patch
TID_LEVEL_55,Storehouse
TID_LEVEL_56,Anchorage
TID_LEVEL_57,Loading Bay
TID_LEVEL_58,Container Yard
TID_LEVEL_59,Car Park
TID_LEVEL_60,Pirate Bay
TID_LEVEL_61,Dawnbreak Square
TID_LEVEL_62,Truck Dock
TID_LEVEL_63,Messina Desert
TID_LEVEL_64,Oasis Health Station
TID_LEVEL_65,Motor Pool
TID_LEVEL_66,Holiday Resort
TID_LEVEL_67,Alloy Plaza
TID_LEVEL_68,Refinery
TID_LEVEL_69,Lovens Park North
TID_LEVEL_70,Freedom Island
TID_LEVEL_71,Seawater Intake
TID_LEVEL_72,Fresh Water Reservoir
TID_LEVEL_73,Water Purification Facility
TID_LEVEL_74,East Canal
TID_LEVEL_75,Raw Materials
TID_LEVEL_76,Barracks
TID_LEVEL_77,Power Plant East
TID_LEVEL_78,Power Plant South
TID_LEVEL_79,Power Plant West
TID_LEVEL_80,Power Plant North
TID_LEVEL_81,Wells Wharf
TID_LEVEL_82,Foundry Way
TID_LEVEL_83,Desert Highway
TID_LEVEL_84,Paradise Power
TID_LEVEL_85,Camping Grounds
TID_LEVEL_86,Muck Beach
TID_LEVEL_54_INSTANCE_0,Piggy Bob
TID_LEVEL_87,Berlin Street Hospital
TID_LEVEL_88,Orleans Street
TID_LEVEL_89,Amsterdam Street
TID_LEVEL_90,Copenhagen Street
TID_LEVEL_91,West Canal
TID_LEVEL_92,WIP Lava Street
TID_LEVEL_93,WIP Volcano Square
