Name,District,MainFaction,Type,Tutorial,Hub,Harbor,MX,MY,CharacterDefaultExpLevel,IsAlternativeStartupLevel,IsStartupLevel,IsDefaultWaterLevel,InstanceCount,AB,RandomEnemyPointCount,RequiredItems
B2: Idas North East,Island 1: Idas,,,,,,2,0,10,,,,,B,15,
Tourist Harbor,,Hooligans,deprecated,,,,15,5,,,,,,,,
Old_Central Waterfront (E1),,Hooligans,deprecated,,,,,,2,,,,,,,
Old_Hospital (E3),,Hooligans,deprecated,,,,,,5,,,,,,,
B1: Idas East,Island 1: Idas,,,,,,2,1,10,,,,,B,15,
A1: Idas West,Island 1: Idas,,,,,,0,1,10,,,,,,15,
A2: Idas North West,Island 1: Idas,,,,,,0,0,10,,,,,,15,
Idas Harbor Square,Island 1: Idas,,Hospital,,TRUE,TRUE,1,1,10,,,,,,,
Old_Wares (I4),,Hooligans,deprecated,,,,,,7,,,,,,,
Old Town DAPD (B1),,Hooligans,deprecated,,,,,,,,,,,,,
Old_Western Waterfront (D1),,Hooligans,deprecated,,,,,,,,,,,,,
Old Northern Waterfront (F1),,Hooligans,deprecated,,,,,,3,,,,,,,
Old Town Wares (B2),,Hooligans,deprecated,,,,,,6,,,,,,,
Old Workers Lane Wares A3,,Hooligans,deprecated,,,,,,6,,,,,,,
Old Loading Docks (B3),,Hooligans,deprecated,,,,,,10,,,,,,,
Old Tobacco Wares (C3),,Hooligans,deprecated,,,,,,11,,,,,,,
Old Bricks (D3),,Hooligans,deprecated,,,,,,10,,,,,,,
Old Central of Lights (F3),,Hooligans,deprecated,,,,,,9,,,,,,,
Old Northern Central of Lights (G3),,Hooligans,deprecated,,,,,,9,,,,,,,
Old Eastern Docking Coast (H3),,Hooligans,deprecated,,,,,,,,,,,,,
Old Steves Garage Area (A4),,Hooligans,deprecated,,,,,,9,,,,,,,
Old Booze Wares (B4),,Hooligans,deprecated,,,,,,11,,,,,,,
Old Workers Quarters (C4),,Hooligans,deprecated,,,,,,10,,,,,,,
Old Capardis Cargo (D4),,Hooligans,deprecated,,,,,,9,,,,,,,
Old Pharmaceutical Wares (E4),,Hooligans,deprecated,,,,,,,,,,,,,
Old F4_Deadly_Warehouse,,Hooligans,deprecated,,,,,,4,,,,,,,
Casino Royale,Old World Town,Eastern Queens,,,,,15,15,20,,,,1,,,
Blackbeard's Base,Paradise Island,Mad Dogs,,,,,6,11,14,,,,1,,,
Prison,Harbor Island,Labycore,,,,,14,8,30,,,,1,,,
Wetlands,Omega Island,Undead,,,,,19,1,30,,,,1,,,Beta Key of Awesomeness
Achilles,Island: Achilles,Labycore,,,,true,,,6,,,,,,20,
Maze Pit,Old World Town,Resistance,,,TRUE,,15,16,30,,,,,,,
OLD: Immigration Area,,13 Diablos,deprecated,,,,,,,,,,,,,
Pipe Square,Pearl Island,Labycore,deprecated,,,,19,8,3,,,,,,,
Drug Field East,Harbor Island,Mad Dogs,deprecated,,,,19,7,8,,,,1,,,
The Pit,Paradise Island,Resistance,,,TRUE,,7,12,10,,,,,,,
Drydock,Harbor Island,Mad Dogs,,,,,8,10,9,,,,,,,
Import Area,Harbor Island,Mad Dogs,,,,,8,9,8,,,,1,,,
Omega Island Harbor,Omega Island,Undead,,,,,19,,30,,,,1,,,Beta Key of Awesomeness
Old_E6,,Hooligans,deprecated,,,,,,,,,,,,,
Old F6,,Hooligans,deprecated,,,,,,,,,,,,,
Old G6,,Hooligans,deprecated,,,,,,,,,,,,,
Old H6,,Hooligans,deprecated,,,,,,,,,,,,,
