Name,Text
TID_HINT_0,Hint: Click enemies to attack.
TID_HINT_1,Hint: Press 'I' to display your character sheet and open your bag.
TID_HINT_2,Hint: Place your items on the Quickbar to use them effectively in combat.
TID_HINT_3,Hint: Hire your friends as mercenaries to help you! Click the HIRE button next to their profile picture at the bottom of the screen.
TID_HINT_4,Hint: Click the minimap or press 'M' to open the World Map.
TID_HINT_5,Hint: Press <enter> to chat.
TID_HINT_6,Hint: Press <spacebar> to switch between your melee and ranged weapon.
TID_HINT_7,"Hint: To see what another player is wearing, select the player with a mouse click, then click the 'Menu' button next to their profile picture."
TID_HINT_8,Hint: You can equip any item by double clicking it in your bag screen.
TID_HINT_9,"Hint: You can use the number keys (1,2,3 and so on) to activate items on your quickbar."
TID_HINT_10,"Hint: Meeting areas can hold up to 25 players at a time. If more players enter, a new \qclone\q of the meeting area is created."
TID_HINT_11,Hint: Crafting allows you to create useful items out of various ingredients.
TID_HINT_12,Hint: Click the Crafting button on the bottom right of your screen (or press the 'C' key) to open the crafting menu.
TID_HINT_13,Hint: Visit the shop to stock up for boss fights!
TID_HINT_14,"Hint: Labycore's latest innovation, experience boosters, can be purchased from the quick store. Click 'SHOP' in the bottom menu bar to get yours!"
TID_HINT_15,"Hint: Tough fight? Use special weapons like Bazookas, Flamethrowers and Air Strikes to kick some butt!"
TID_HINT_16,"Hint: Use your Medikits when you're hurt, and toss plenty of grenades when fighting. You'll level up quicker and get better items!"
TID_HINT_17,Hint: Hire a mercenary to enjoy co-op action even when your friends are offline.
TID_HINT_18,"Hint: When you level up, remember to keep your gear up to date! Higher level weapons and items are a lot more powerful."
TID_HINT_19,"Hint: Remember to visit the shop (key: S) to buy special weapons, cool items and new crafting plans!"
TID_HINT_20,Hint: Item and weapon icons with blue or purple background are the most powerful.
TID_HINT_21,"Hint: Color of an item icon defines its' quality and power: White [normal], Green [good], Blue [great], Purple [epic!]."
TID_HINT_22,"Hint: To create additional character or switch to another one, go to 'SETTINGS' and click 'CHANGE CHARACTER'"
TID_HINT_23,*** Go to the Pirate Bay or Maze Pit to get new crafting plans for more damage ***
TID_HINT_24,*** Real damage is done with new craftable bullets to guns and special add-ons to melee weapons ***
