Name,ArmorClassBonus,WeaponClass,RequiredLevel,Rarity,DiamondsOnly,LootDisabled,EpicMeleeWeaponConstantTrail,Tier,Enhancement,DropOnlyTo,Model,Mesh,ModelTexture,ShopRecommend,CriticalChance,LootMinLevel,LootMaxLevel,LootResource,LootExportName,YELLOW_TEXT_TID,Muzzle,MuzzleGlow,BulletTrail,BulletFlash,MeleeTrail,Icon,PostToSocialNetworks,DiamondCostExact,ShopRangeMin,ShopRangeMax,PlaceableInEditor
Pipe,Unarmored,Pipe,3,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,regularpipe,graphics/3d/weapons/textures/regularpipe.png,,,,,,,,,,,,,,,,,,
Knife,Unarmored,Knife,5,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_knife,graphics/3d/weapons/textures/knife.png,,,,,,,,,,,,,,,,,,
Baseball Bat,Unarmored,Bat,7,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,tools_bat,graphics/3d/weapons/textures/bat.png,,,,,,,,,,,,,,,,,,
Cleaver,Unarmored,Cleaver,9,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_Cleaver,graphics/3d/weapons/textures/cleaver.png,,,,,,,,,,,,,,,,,,
Bowie Knife,Unarmored,Jungle Knife,11,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife,graphics/3d/weapons/textures/jungle_knife.png,,,,,,,,,,,,,,,,,,
Crocodile Knife,Unarmored,Jungle Knife,14,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_jungleKnife,graphics/3d/weapons/textures/jungle_knife.png,,,,,,,,,,,,,,,,,,
Flat Iron,Armored,Flat Iron,15,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,flat_iron,graphics/3d/weapons/textures/flat_iron.png,,,,,,,,,,,,,,,,,,
Sabre,Unarmored,Sword,18,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,blades_katana,graphics/3d/weapons/textures/katana.png,,,,,,,,,,,,,,,,,,
Hobby Saw,Mechanical,Power Cutter,19,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,Power Cutter,graphics/3d/weapons/textures/powercutter.png,,,,,,,,,,,,,180,,,,,
Steel Mace,Armored,Bat,21,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,tools_bat,graphics/3d/weapons/textures/bat_02.png,,,,,,,,,,,,,,,,,,
Molecular Sword,Unarmored,Sword,22,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked.png,,,,,,,,,,,,,,,,,,
Power Cutter,Mechanical,Jigsaw,23,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,Jigsaw,graphics/3d/weapons/textures/jigsaw.png,,,,,,,,,,,,,,,,,,
Street Whacker,Armored,2-handed Basher,25,Common,,TRUE,,,,,graphics/3d/weapons/weapons_rare.SUP,edge_club,graphics/3d/weapons/textures/edge_club_rare_01.png,,,,,,,,,,,,,183,,,,,
Modified Cutter,Mechanical,Jigsaw,26,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,circularsaw,graphics/3d/weapons/textures/circularsaw.png,,,,,,,,,,,,,169,,,,,
Nano Sword,Unarmored,Sword,27,Common,,TRUE,,,,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked.png,,,,,,,,,,,,,,,,,,
TacKnife,Unarmored,Knife,4,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,big_knife,graphics/3d/weapons/textures/big_knife.png,,,,,,,,,,,,,,,,,,
Two-by-Four,Unarmored,Plank,4,Uncommon,,TRUE,,,of Determination,,graphics/3d/weapons/weapons.SUP,Plank,graphics/3d/weapons/textures/plank.png,,1,,,,,,,,,,,,,,,,
Johnny's Credible Cleaver,Unarmored,Axe,6,Uncommon,,TRUE,,,of the Troublemaker,,graphics/3d/weapons/weapons.SUP,blades_Cleaver,graphics/3d/weapons/textures/cleaver_04.png,,,,,,,,,,,,,109,,,,,
Modified Katana,Unarmored,Sword,8,Uncommon,,TRUE,,,of Guts,,graphics/3d/weapons/weapons.SUP,katana_spiked,graphics/3d/weapons/textures/katana_spiked.png,,1,,,,,,,,,,,,,,,,
