Name,Text
TID_MELEE_NEW_0,Pipe
TID_MELEE_NEW_1,Knife
TID_MELEE_NEW_2,Baseball Bat
TID_MELEE_NEW_3,Cleaver
TID_MELEE_NEW_4,Bowie Knife
TID_MELEE_NEW_5,Crocodile Knife
TID_MELEE_NEW_6,Flat Iron
TID_MELEE_NEW_7,Sabre
TID_MELEE_NEW_8,Hobby Saw
TID_MELEE_NEW_9,Steel Mace
TID_MELEE_NEW_10,Molecular Sword
TID_MELEE_NEW_11,Power Cutter
TID_MELEE_NEW_12,Street Whacker
TID_MELEE_NEW_13,Modified Cutter
TID_MELEE_NEW_14,Nano Sword
TID_MELEE_NEW_15,TacKnife
TID_MELEE_NEW_16,Two-by-Four
TID_MELEE_NEW_17,Johnny's Credible Cleaver
TID_MELEE_NEW_18,Modified Katana
TID_MELEE_NEW_19,Jungle Knife
TID_MELEE_NEW_20,Wrench
TID_MELEE_NEW_21,Broadsword
TID_MELEE_NEW_22,Shovel
TID_MELEE_NEW_23,Massive Hammer
TID_MELEE_NEW_24,Hedge Trimmer
TID_MELEE_NEW_25,Power Sword
TID_MELEE_NEW_26,Hydraulic Hammer
TID_MELEE_NEW_27,Street Bread Trimmer
TID_MELEE_NEW_28,Charged Sword
TID_MELEE_NEW_29,Chainsaw
TID_MELEE_NEW_30,Fangsaw
TID_MELEE_NEW_31,Booming Hammer
TID_MELEE_NEW_32,Steel Cutter
TID_MELEE_NEW_33,Pavement Crusher
TID_MELEE_NEW_34,Blood Sputterer
TID_MELEE_NEW_35,Brain Surgeon
TID_MELEE_NEW_36,Gut Surgeon
TID_MELEE_NEW_37,Cosmetic Surgeon
TID_MELEE_NEW_38,Vibroblade
TID_MELEE_NEW_39,Tooth Pick
TID_MELEE_NEW_40,Battle Blade
TID_MELEE_NEW_41,The Punisher
TID_MELEE_NEW_42,Voodoo Stick
TID_MELEE_NEW_43,Jungle Sweep
TID_MELEE_NEW_44,Muddy Shovel
TID_MELEE_NEW_45,Revenger's Knife
TID_MELEE_NEW_46,Cleaver Deluxe
TID_MELEE_NEW_47,Electrocutter
TID_MELEE_NEW_48,Jade Handle
TID_MELEE_NEW_49,Decapitator
TID_MELEE_NEW_50,Wall Crusher
TID_MELEE_NEW_51,LabyBlade X-29
TID_MELEE_NEW_52,Nano Scythe
TID_MELEE_NEW_53,MC Hammer
TID_MELEE_NEW_54,Lucky Lumberjack
TID_MELEE_NEW_55,Crowbar
TID_MELEE_NEW_56,Trailblade
