Name,Text
TID_WEAPON_MINIGUN_0,Basic Minigun
TID_WEAPON_MINIGUN_1,Average Minigun
TID_WEAPON_MINIGUN_2,Everyday Minigun
TID_WEAPON_MINIGUN_3,Popular Minigun
TID_WEAPON_MINIGUN_4,Regular Minigun
TID_WEAPON_MINIGUN_5,Common Minigun
TID_WEAPON_MINIGUN_6,Pig_Minigun
TID_WEAPON_MINIGUN_7,Turret_Minigun
TID_WEAPON_MINIGUN_8,Weldingbot_Minigun
TID_WEAPON_MINIGUN_9,Crazy Minigun
TID_WEAPON_MINIGUN_10,Extreme Minigun
TID_WEAPON_MINIGUN_11,Greater Minigun
TID_WEAPON_MINIGUN_12,Wacky Minigun
TID_WEAPON_MINIGUN_13,High-Power Minigun
TID_WEAPON_MINIGUN_14,Exquisite Minigun
TID_WEAPON_MINIGUN_15,Tough Minigun
TID_WEAPON_MINIGUN_16,Brutal Minigun
TID_WEAPON_MINIGUN_17,Superior Minigun
TID_WEAPON_MINIGUN_18,Gruesome Minigun
TID_WEAPON_MINIGUN_19,Assault Minigun
TID_WEAPON_MINIGUN_20,Jagged Minigun
TID_WEAPON_MINIGUN_21,Radical Minigun
TID_WEAPON_MINIGUN_22,Awesome Minigun
TID_WEAPON_MINIGUN_23,Marvelous Minigun
TID_WEAPON_MINIGUN_24,Fine Minigun
TID_WEAPON_MINIGUN_25,Advanced Minigun
TID_WEAPON_MINIGUN_26,Credible Minigun
TID_WEAPON_MINIGUN_27,Street Wise Minigun
TID_WEAPON_MINIGUN_28,Street Credible Minigun
TID_WEAPON_MINIGUN_29,Worthy Minigun
TID_WEAPON_MINIGUN_30,Massive Minigun
TID_WEAPON_MINIGUN_31,Nifty Minigun
TID_WEAPON_MINIGUN_32,Good Minigun of Suffer
TID_WEAPON_MINIGUN_33,Great Minigun
TID_WEAPON_MINIGUN_34,Illegal Minigun
TID_WEAPON_MINIGUN_35,Old Minigun
TID_WEAPON_MINIGUN_36,SonicGun
TID_WEAPON_MINIGUN_37,Flame Thrower Type: LAB-001
TID_WEAPON_MINIGUN_38,Flame Thrower Type: LAB-002
TID_WEAPON_MINIGUN_39,Bazooka Type: 5ty-G3
TID_WEAPON_MINIGUN_40,Warehousebot_Minigun
TID_WEAPON_MINIGUN_41,Victorious Minigun
TID_WEAPON_MINIGUN_42,Solar Minigun
TID_WEAPON_MINIGUN_43,Pretty Roger's Minigun
