Name,Text
TID_MISSION_GROUP_0,Daily
TID_MISSION_GROUP_1,Warm Welcome
TID_MISSION_GROUP_2,Prison Break
TID_MISSION_GROUP_3,The Underground Movement
TID_MISSION_GROUP_4,The Fugitive
TID_MISSION_GROUP_5,Rabid Pack
TID_MISSION_GROUP_6,Homegrown
TID_MISSION_GROUP_7,The Initiation
TID_MISSION_GROUP_8,Networking
TID_MISSION_GROUP_9,Human Trafficking
TID_MISSION_GROUP_10,Guns and Ammo
TID_MISSION_GROUP_11,Stick it to the Man
TID_MISSION_GROUP_12,High-Value Targets
TID_MISSION_GROUP_13,Harbor Side Quests
TID_MISSION_GROUP_14,Better Living Through Chemistry
TID_MISSION_GROUP_15,Molehills
TID_MISSION_GROUP_16,Power to the People
TID_MISSION_GROUP_17,Island Paradise
TID_MISSION_GROUP_18,Crushed By The Wheels
TID_MISSION_GROUP_19,"Sick, Sick, Sick"
TID_MISSION_GROUP_20,Power Trip
TID_MISSION_GROUP_21,Supply Lines
TID_MISSION_GROUP_22,Turf Wars
TID_MISSION_GROUP_23,Catfight
TID_MISSION_GROUP_24,Femmes Fatales
TID_MISSION_GROUP_25,An Old Grudge
TID_MISSION_GROUP_26,Old Town Side Quests
TID_MISSION_GROUP_27,Desert Raiders
TID_MISSION_GROUP_28,New Breed
TID_MISSION_GROUP_29,Desert Rage
TID_MISSION_GROUP_30,Death from below
TID_MISSION_GROUP_31,Fresh Off The Boat
TID_MISSION_GROUP_32,Deeper Underground
TID_MISSION_GROUP_33,Labycore R&D
TID_MISSION_GROUP_34,Beach Party
TID_MISSION_GROUP_35,"Gear Up, Beat Em Up"
TID_MISSION_GROUP_36,Inhuman Genome Project
TID_MISSION_GROUP_37,DIY
TID_MISSION_GROUP_38,Critter Bash
TID_MISSION_GROUP_39,Eureka!
TID_MISSION_GROUP_40,Beached
TID_MISSION_GROUP_41,Mafia
TID_MISSION_GROUP_42,Undead
TID_MISSION_GROUP_43,Reinforce stronghold
TID_MISSION_GROUP_44,"Noobs, check them out"
TID_MISSION_GROUP_45,Lost & Found
TID_MISSION_GROUP_46,Zombie trap
TID_MISSION_GROUP_47,Roadhouse
TID_MISSION_GROUP_48,Lovens Road
TID_MISSION_GROUP_49,DTM
TID_MISSION_GROUP_50,Fixer
TID_MISSION_GROUP_51,Northern Harbour
TID_MISSION_GROUP_52,Refugee Camp
TID_MISSION_GROUP_53,Updated Crafting
TID_MISSION_GROUP_54,Updated Crafting II
TID_MISSION_GROUP_55,Dawnbreak Avenue
TID_MISSION_GROUP_56,Palm Beach Trouble
TID_MISSION_GROUP_57,Help for the Raiders
TID_MISSION_GROUP_58,Blood Countess
TID_MISSION_GROUP_59,Boss Keys
TID_MISSION_GROUP_60,Specialization
TID_MISSION_GROUP_61,Omega
