Name,CashReward,CompletedImage,Act
Daily,,,
Warm Welcome,,graphics/feed-images/mission_group_accomplished-01.png,1
Prison Break,,graphics/feed-images/mission_group_accomplished-01.png,1
The Underground Movement,,graphics/feed-images/mission_group_accomplished-01.png,1
The Fugitive,,graphics/feed-images/mission_group_accomplished-01.png,1
Rabid Pack,,graphics/feed-images/mission_group_accomplished-01.png,2
Homegrown,,graphics/feed-images/mission_group_accomplished-01.png,2
The Initiation,,graphics/feed-images/mission_group_accomplished-01.png,2
Networking,,graphics/feed-images/mission_group_accomplished-01.png,2
Human Trafficking,,graphics/feed-images/mission_group_accomplished-01.png,2
Guns and Ammo,,graphics/feed-images/mission_group_accomplished-01.png,2
Stick it to the Man,,graphics/feed-images/mission_group_accomplished-01.png,2
High-Value Targets,,graphics/feed-images/mission_group_accomplished-01.png,3
Harbor Side Quests,,graphics/feed-images/mission_group_accomplished-01.png,2
Better Living Through Chemistry,,graphics/feed-images/mission_group_accomplished-01.png,4
Molehills,,graphics/feed-images/mission_group_accomplished-01.png,4
Power to the People,,graphics/feed-images/mission_group_accomplished-01.png,4
Island Paradise,,graphics/feed-images/mission_group_accomplished-01.png,3
Crushed By The Wheels,,graphics/feed-images/mission_group_accomplished-01.png,4
"Sick, Sick, Sick",,graphics/feed-images/mission_group_accomplished-01.png,4
Power Trip,,graphics/feed-images/mission_group_accomplished-01.png,4
Supply Lines,,graphics/feed-images/mission_group_accomplished-01.png,4
Turf Wars,,graphics/feed-images/mission_group_accomplished-01.png,5
Catfight,,graphics/feed-images/mission_group_accomplished-01.png,5
Femmes Fatales,,graphics/feed-images/mission_group_accomplished-01.png,5
An Old Grudge,,graphics/feed-images/mission_group_accomplished-01.png,5
Old Town Side Quests,,graphics/feed-images/mission_group_accomplished-01.png,5
Desert Raiders,,graphics/feed-images/mission_group_accomplished-01.png,3
New Breed,,graphics/feed-images/mission_group_accomplished-01.png,3
Desert Rage,,graphics/feed-images/mission_group_accomplished-01.png,3
Death from below,,graphics/feed-images/mission_group_accomplished-01.png,4
Fresh Off The Boat,,graphics/feed-images/mission_group_accomplished-01.png,1
Deeper Underground,,graphics/feed-images/mission_group_accomplished-01.png,4
Labycore R&D,,graphics/feed-images/mission_group_accomplished-01.png,5
Beach Party,,graphics/feed-images/mission_group_accomplished-01.png,1
"Gear Up, Beat Em Up",,graphics/feed-images/mission_group_accomplished-01.png,5
Inhuman Genome Project,,graphics/feed-images/mission_group_accomplished-01.png,4
DIY,,graphics/feed-images/mission_group_accomplished-01.png,1
Critter Bash,,graphics/feed-images/mission_group_accomplished-01.png,1
Eureka!,,graphics/feed-images/mission_group_accomplished-01.png,1
Beached,,graphics/feed-images/mission_group_accomplished-01.png,1
Mafia,,graphics/feed-images/mission_group_accomplished-01.png,1
Undead,,graphics/feed-images/mission_group_accomplished-01.png,5
Reinforce stronghold,,graphics/feed-images/mission_group_accomplished-01.png,5
"Noobs, check them out",,graphics/feed-images/mission_group_accomplished-01.png,5
Lost & Found,,graphics/feed-images/mission_group_accomplished-01.png,5
Zombie trap,,graphics/feed-images/mission_group_accomplished-01.png,4
Roadhouse,,graphics/feed-images/mission_group_accomplished-01.png,4
Lovens Road,,graphics/feed-images/mission_group_accomplished-01.png,1
DTM,,graphics/feed-images/mission_group_accomplished-01.png,5
Fixer,,graphics/feed-images/mission_group_accomplished-01.png,5
Northern Harbour,,graphics/feed-images/mission_group_accomplished-01.png,1
Refugee Camp,,graphics/feed-images/mission_group_accomplished-01.png,1
Updated Crafting,,graphics/feed-images/mission_group_accomplished-01.png,1
Updated Crafting II,,graphics/feed-images/mission_group_accomplished-01.png,1
Dawnbreak Avenue,,graphics/feed-images/mission_group_accomplished-01.png,1
Palm Beach Trouble,,graphics/feed-images/mission_group_accomplished-01.png,1
Help for the Raiders,,graphics/feed-images/mission_group_accomplished-01.png,5
Blood Countess,,graphics/feed-images/mission_group_accomplished-01.png,5
Boss Keys,,graphics/feed-images/mission_group_accomplished-01.png,5
Specialization,,graphics/feed-images/mission_group_accomplished-01.png,5
Omega,,graphics/feed-images/mission_group_accomplished-01.png,5
