Name,RequiredExpLevel,RecommendedExpLevel,Difficulty,TutorialFlow,GiverLevel,GiverObjectType,MissionLevel,ReceiverLevel,ReceiverObjectType,Dependency,TaskType,TaskObject,TaskObjectCount,TaskLootSourceObject,TaskLevel,CustomReward,XPReward,CashReward,DailyMission,RequiredCharacterClass,Deprecated,EnablesTutorial,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,Item,ItemEnhancement,ItemCount,Item_Bodyguard,ItemEnhancement_Bodyguard,Item_Hunter,ItemEnhancement_Hunter,Item_Doctor,ItemEnhancement_Doctor,MissionGroup,RewardIngredient,RewardIngredientAmount,MidTermObjectivePath
REPLACE_ME5,,,Easy,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Gasoline Order,2,4,Medium,,Achilles,Nicholas Morgil,Achilles,Achilles,Nicholas Morgil,,loot,Gasoline,3,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
Welcome to the Resistance,1,3,Easy,,Pipe Square,John Casmir,Pipe Square,Pipe Square,Lemmy Colorado,,talk,Lemmy Colorado,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Police Truck,2,4,Medium,,Freedom Woods,Lemmy Colorado,Freedom Woods,Freedom Woods,Lemmy Colorado,,use,Useable_labycorecar,2,,,,,,,,TRUE,,Small Medikit,,2,,,,,,,,,,,,,,,,The Fugitive,,,
"Drugs, Up In Smoke",2,4,Medium,,Achilles,Nicholas Morgil,Achilles,Achilles,Nicholas Morgil,Gasoline Order,use,Crop,3,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,Rabid Pack,,,
Brutal Security,2,4,Medium,,Freedom Woods,Lemmy Colorado,Freedom Woods,Freedom Woods,Lemmy Colorado,Police Truck,escort,Lindsay,1,,,,,,,,TRUE,,Small Molotov Cocktail,,3,,,,,,,,,,,,,,,,The Fugitive,,,
Refuel,15,17,Medium,,Truck Dock,Xavier Chiarello,Truck Dock,Truck Dock,Xavier Chiarello,,loot,Gasoline,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Prison Break,,,
Out Of The Woods,2,4,Easy,,Freedom Woods,Stan Kirby,Pulpy Way,Pulpy Way,Lloyd Brown,Police Truck,talk,Lloyd Brown,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Fugitive,,,
REPLACE_ME4,,,Medium,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
"Rebel, Rebel",3,5,Easy,,Pulpy Way,Michael McFly,Eureka Research,Eureka Research,,,talk,Avis Hyman,1,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,The Underground Movement,,,
